cap,seed,startDefense,endDefense,delta,grazingPressure,finalPop,plantGen
48,62,0.30712,0.04749,-0.25963,0.003985,48,15
48,63,0.30716,0.38236,0.07520,0.005466,48,15
48,64,0.27809,0.06663,-0.21147,0.004496,48,17
48,65,0.30719,0.37847,0.07129,0.005345,48,19
48,66,0.31583,0.09997,-0.21586,0.004388,48,19
48,67,0.29965,0.07503,-0.22463,0.003582,48,14
48,68,0.30951,0.04970,-0.25981,0.004776,48,16
48,69,0.30286,0.52367,0.22081,0.005440,48,15
48,70,0.30207,0.68594,0.38387,0.005682,48,15
48,71,0.28742,0.04991,-0.23751,0.003701,48,15
