arm,seed,population,plantPatches,plantGenerations,plantBirths,founderGrowth,finalGrowth,founderSeedInvestment,finalSeedInvestment,founderWaterEfficiency,finalWaterEfficiency,founderNutrition,finalNutrition,founderDefense,finalDefense,founderDispersal,finalDispersal,founderMoistureTolerance,finalMoistureTolerance,founderTemperatureTolerance,finalTemperatureTolerance,founderNutrientUptake,finalNutrientUptake,founderSeedlingResilience,finalSeedlingResilience
contest,68,48,23,15,195,0.53413,0.56214,0.55233,0.51765,0.61887,0.62457,0.70337,0.62723,0.30252,0.35556,0.52765,0.61049,0.42215,0.37548,0.55784,0.57946,0.48591,0.40012,0.41897,0.40029
contest,69,48,23,12,182,0.58395,0.42861,0.45405,0.51227,0.56435,0.62285,0.65499,0.64606,0.24945,0.19170,0.47150,0.53558,0.56899,0.60787,0.48842,0.47418,0.54159,0.54163,0.47268,0.59739
contest,70,48,23,13,196,0.61917,0.59540,0.53303,0.51619,0.47232,0.38749,0.64700,0.68312,0.36123,0.41069,0.52762,0.59635,0.46836,0.60859,0.47665,0.49174,0.53402,0.66168,0.55347,0.56372
contest,71,48,23,13,174,0.49784,0.46387,0.47844,0.64421,0.51717,0.40124,0.63536,0.80455,0.31637,0.12778,0.45474,0.50384,0.48286,0.33713,0.50773,0.39369,0.56230,0.47734,0.54541,0.57443
contest,72,48,21,19,200,0.56880,0.62979,0.46942,0.57255,0.50449,0.66286,0.65004,0.68914,0.19589,0.17831,0.46220,0.52738,0.47064,0.41656,0.54368,0.56793,0.46437,0.50941,0.43598,0.50231
contest,73,48,23,13,186,0.55928,0.52966,0.52802,0.51919,0.57125,0.54434,0.67834,0.68766,0.29607,0.27699,0.52439,0.64782,0.56046,0.54641,0.52529,0.64757,0.53534,0.53549,0.49179,0.59800
contest,74,48,23,18,164,0.57414,0.58388,0.46020,0.57710,0.50874,0.38562,0.70106,0.63750,0.32593,0.27795,0.54751,0.58802,0.51591,0.55715,0.53624,0.51254,0.47221,0.49849,0.53325,0.76408
contest,75,48,21,15,191,0.52658,0.57854,0.47665,0.51717,0.53264,0.58198,0.70781,0.67788,0.33165,0.23375,0.48301,0.58881,0.50958,0.41638,0.53347,0.57452,0.44122,0.49948,0.51883,0.52033
contest,76,48,22,14,185,0.51756,0.47823,0.53078,0.63328,0.51405,0.52746,0.67566,0.61419,0.32493,0.19807,0.50172,0.68127,0.51733,0.46946,0.47405,0.40372,0.43344,0.37130,0.51098,0.52895
contest,77,48,22,14,180,0.55310,0.59420,0.49787,0.60223,0.40909,0.48730,0.57231,0.68940,0.32498,0.28900,0.44753,0.55302,0.47363,0.51314,0.54870,0.46029,0.42792,0.42708,0.50937,0.46257
contest,78,48,22,15,180,0.50349,0.45380,0.47114,0.65748,0.51234,0.56130,0.61892,0.60788,0.33718,0.41351,0.54717,0.66486,0.53989,0.64720,0.39809,0.47160,0.49617,0.60865,0.55326,0.64342
contest,79,48,21,20,210,0.55105,0.72208,0.47101,0.58231,0.49097,0.61607,0.72741,0.88146,0.35835,0.55284,0.55549,0.83139,0.53482,0.66403,0.54684,0.42532,0.55977,0.49720,0.50304,0.56172
contest,80,48,22,14,180,0.45749,0.49293,0.46229,0.57541,0.52505,0.57817,0.65348,0.66791,0.29942,0.32914,0.53706,0.54099,0.53539,0.50735,0.50690,0.61890,0.53846,0.51234,0.52138,0.42287
contest,81,48,23,13,179,0.54125,0.59197,0.47486,0.55770,0.57267,0.53923,0.72363,0.69166,0.35006,0.29172,0.41610,0.51361,0.52425,0.70022,0.56974,0.52287,0.52210,0.50468,0.42643,0.40304
contest,82,48,21,16,198,0.55373,0.63594,0.52022,0.67982,0.55831,0.59430,0.64713,0.56979,0.22150,0.39001,0.48938,0.62574,0.49547,0.62763,0.50880,0.44539,0.57999,0.55316,0.51706,0.54284
contest,83,48,24,16,208,0.58435,0.65440,0.54109,0.41852,0.46513,0.53622,0.70964,0.60922,0.31543,0.39908,0.50273,0.62829,0.49019,0.42635,0.49717,0.49585,0.57203,0.52485,0.44867,0.36855
contest,84,48,23,14,182,0.52731,0.50263,0.54386,0.67895,0.51477,0.46053,0.69426,0.61077,0.29913,0.26396,0.52987,0.55414,0.52220,0.55921,0.49999,0.55158,0.54366,0.48547,0.48242,0.55265
contest,85,48,24,14,182,0.54465,0.44701,0.51398,0.45030,0.54092,0.81419,0.61901,0.64688,0.24020,0.24404,0.51529,0.68884,0.41207,0.33093,0.49283,0.50294,0.52657,0.55263,0.49763,0.55910
contest,86,48,22,13,188,0.57084,0.48892,0.46880,0.31032,0.51281,0.51165,0.69297,0.73189,0.27742,0.39028,0.44526,0.56115,0.53646,0.50511,0.44388,0.41244,0.43580,0.43276,0.47334,0.47382
contest,87,48,23,15,181,0.54884,0.56076,0.54591,0.48865,0.49152,0.35912,0.69119,0.70308,0.26060,0.33947,0.49340,0.63714,0.49918,0.50734,0.56765,0.55810,0.47174,0.53412,0.48302,0.45863
contest,88,48,23,15,184,0.57032,0.59106,0.49023,0.47236,0.43256,0.39591,0.72754,0.63636,0.25685,0.22138,0.55726,0.54837,0.50595,0.47330,0.42019,0.49865,0.40245,0.51661,0.46006,0.51076
contest,89,48,23,15,194,0.51436,0.52693,0.51150,0.41397,0.51891,0.57770,0.65276,0.66978,0.30881,0.22521,0.50287,0.52148,0.46065,0.44487,0.45411,0.51954,0.45402,0.49075,0.51938,0.46174
contest,90,48,23,15,180,0.61058,0.63396,0.46992,0.41236,0.52044,0.63359,0.64060,0.60440,0.34335,0.36422,0.49421,0.57687,0.46357,0.49337,0.39117,0.37994,0.49081,0.60575,0.53858,0.59241
contest,91,48,23,13,177,0.50607,0.48935,0.48448,0.65245,0.43367,0.48405,0.66849,0.61603,0.32183,0.34115,0.49189,0.60484,0.52370,0.59946,0.45165,0.39706,0.55859,0.64925,0.53614,0.64272
contest,92,48,20,12,161,0.50965,0.43546,0.55844,0.53242,0.48764,0.56128,0.58956,0.70221,0.37691,0.39667,0.45901,0.47193,0.56476,0.49196,0.51100,0.50911,0.56386,0.57607,0.49162,0.39592
contest,93,48,22,14,187,0.55257,0.58658,0.52657,0.49810,0.49710,0.52715,0.69029,0.80556,0.24753,0.31687,0.52885,0.65429,0.47579,0.49977,0.57641,0.51556,0.52088,0.51546,0.44132,0.59186
contest,94,48,22,13,218,0.54972,0.49395,0.50310,0.33639,0.48029,0.42899,0.69790,0.74229,0.28634,0.32156,0.56283,0.65250,0.50702,0.47472,0.46967,0.51253,0.45812,0.46416,0.44479,0.57022
contest,95,48,23,15,191,0.52811,0.52829,0.48966,0.45503,0.51581,0.62290,0.63476,0.61992,0.21292,0.29274,0.47343,0.62623,0.49465,0.49909,0.48102,0.47202,0.43583,0.44754,0.40515,0.40831
contest,96,48,20,14,189,0.55353,0.53725,0.54745,0.50590,0.53359,0.60121,0.74292,0.73613,0.29163,0.36005,0.48748,0.59366,0.46527,0.57422,0.51924,0.52253,0.41802,0.46117,0.58216,0.51525
contest,97,48,24,15,187,0.48664,0.52751,0.45511,0.56451,0.52309,0.44299,0.71380,0.78854,0.31380,0.17618,0.47709,0.66553,0.42036,0.31424,0.52355,0.47406,0.51892,0.50069,0.53431,0.45403
contest,98,48,23,14,160,0.54136,0.43486,0.54231,0.51742,0.47051,0.57019,0.55866,0.55641,0.27527,0.17859,0.43084,0.48883,0.46134,0.33478,0.42881,0.36605,0.52403,0.58499,0.43472,0.41769
contest,99,48,24,17,173,0.51721,0.54929,0.46210,0.55090,0.56823,0.56056,0.70475,0.79461,0.26308,0.30005,0.46944,0.63096,0.54425,0.61827,0.54421,0.47730,0.46157,0.43899,0.52910,0.53925
contest,100,48,23,14,185,0.55936,0.45427,0.47397,0.49226,0.45409,0.43584,0.64114,0.66859,0.25066,0.24398,0.53684,0.59181,0.45587,0.51647,0.54342,0.53254,0.43075,0.44293,0.55091,0.58786
contest,101,48,23,14,193,0.63466,0.60689,0.53963,0.54825,0.52921,0.81699,0.65970,0.58529,0.26628,0.32208,0.49546,0.54652,0.43769,0.37208,0.37919,0.32813,0.48906,0.40549,0.47456,0.48209
contest,102,48,22,15,174,0.58341,0.49926,0.53109,0.46414,0.54709,0.54860,0.71454,0.75529,0.31310,0.20547,0.47983,0.50138,0.48333,0.52279,0.50609,0.58115,0.55511,0.54919,0.54544,0.53567
contest,103,48,23,16,197,0.55739,0.53170,0.50675,0.52279,0.54298,0.51617,0.60944,0.60560,0.29431,0.33485,0.48893,0.59311,0.50391,0.51634,0.46340,0.53287,0.47078,0.53753,0.45828,0.53796
contest,104,48,24,15,195,0.58602,0.50851,0.57475,0.50043,0.46700,0.58851,0.66601,0.67097,0.22954,0.26841,0.53713,0.63296,0.47209,0.48801,0.51916,0.42902,0.43390,0.46449,0.35289,0.39450
contest,105,48,20,14,179,0.52718,0.70976,0.55136,0.51830,0.51872,0.54908,0.67141,0.77737,0.27416,0.24729,0.43870,0.59556,0.46821,0.53723,0.56284,0.64121,0.50677,0.50388,0.54135,0.51647
contest,106,48,22,12,194,0.56865,0.56232,0.52495,0.59151,0.63060,0.61733,0.72259,0.76538,0.39903,0.44292,0.56670,0.65542,0.48331,0.46354,0.58772,0.57554,0.55597,0.60828,0.43287,0.49661
contest,107,48,24,16,192,0.53016,0.59759,0.53653,0.58588,0.58783,0.70395,0.66741,0.66519,0.29829,0.42546,0.51532,0.68792,0.54689,0.61798,0.43594,0.46331,0.50783,0.61667,0.52456,0.49434
contest,108,48,23,16,189,0.58408,0.56691,0.55141,0.67289,0.47981,0.47413,0.65434,0.80746,0.29587,0.35315,0.50993,0.67459,0.44793,0.49815,0.46902,0.44735,0.42452,0.40857,0.55071,0.64729
contest,109,48,22,14,179,0.45488,0.31672,0.50973,0.54468,0.58209,0.60783,0.64778,0.68087,0.26402,0.30672,0.49184,0.59761,0.50151,0.47253,0.48721,0.38465,0.55903,0.48300,0.52392,0.58634
contest,110,48,22,13,198,0.56811,0.54106,0.53071,0.49915,0.47346,0.41418,0.66208,0.78313,0.25333,0.21264,0.52479,0.63570,0.45350,0.43377,0.45835,0.44627,0.47311,0.44548,0.49017,0.45106
contest,111,48,23,15,172,0.57535,0.58528,0.54153,0.56457,0.48055,0.43881,0.63357,0.57544,0.27526,0.36405,0.43115,0.55264,0.53568,0.53754,0.44791,0.35401,0.43026,0.30408,0.50576,0.59148
contest,112,48,24,13,181,0.53051,0.58490,0.52750,0.57748,0.50070,0.42204,0.72573,0.77741,0.40802,0.43997,0.46664,0.63662,0.56144,0.46066,0.53457,0.61308,0.46531,0.55993,0.45029,0.48520
