sites,arm,seed,hash,occupancy,final_population,extinct,frozen,births,deaths,plant_count,plant_births,highest_plant_generation,growth_founder,growth_final,growth_delta,seed_investment_founder,seed_investment_final,seed_investment_delta,water_efficiency_founder,water_efficiency_final,water_efficiency_delta,nutrition_founder,nutrition_final,nutrition_delta,defense_founder,defense_final,defense_delta,dispersal_founder,dispersal_final,dispersal_delta,moisture_tolerance_founder,moisture_tolerance_final,moisture_tolerance_delta,temperature_tolerance_founder,temperature_tolerance_final,temperature_tolerance_delta,nutrient_uptake_founder,nutrient_uptake_final,nutrient_uptake_delta,seedling_resilience_founder,seedling_resilience_final,seedling_resilience_delta,seed_production_rate_founder,seed_production_rate_final,seed_production_rate_delta
24site,contest-off,42,14552101816820048278,0.909722,48,false,false,150,114,23,206,14,0.500000,0.544043,0.044043,0.500000,0.690466,0.190466,0.500000,0.526585,0.026585,0.500000,0.234374,-0.265626,0.500000,0.381261,-0.118739,0.500000,0.438285,-0.061715,0.500000,0.496185,-0.003815,0.500000,0.584126,0.084126,0.500000,0.750490,0.250490,0.500000,0.411531,-0.088469,0.500000,0.352487,-0.147513
24site,contest-off,43,14197239496077694629,0.909722,48,false,false,145,109,21,229,17,0.500000,0.585990,0.085990,0.500000,0.553868,0.053868,0.500000,0.515302,0.015302,0.500000,0.445826,-0.054174,0.500000,0.380054,-0.119946,0.500000,0.489461,-0.010539,0.500000,0.559298,0.059298,0.500000,0.615951,0.115951,0.500000,0.498226,-0.001774,0.500000,0.440563,-0.059437,0.500000,0.459241,-0.040759
24site,contest-off,44,12227233375447478540,0.914931,48,false,false,151,115,23,232,17,0.500000,0.538945,0.038945,0.500000,0.765757,0.265757,0.500000,0.332610,-0.167390,0.500000,0.446990,-0.053010,0.500000,0.438006,-0.061994,0.500000,0.579784,0.079784,0.500000,0.618424,0.118424,0.500000,0.626880,0.126880,0.500000,0.275039,-0.224961,0.500000,0.370804,-0.129196,0.500000,0.350925,-0.149075
24site,contest-off,45,168083004422717244,0.907986,47,false,false,149,114,23,251,18,0.500000,0.880566,0.380566,0.500000,0.324570,-0.175430,0.500000,0.552450,0.052450,0.500000,0.545044,0.045044,0.500000,0.492481,-0.007519,0.500000,0.788645,0.288645,0.500000,0.730078,0.230078,0.500000,0.181780,-0.318220,0.500000,0.500002,0.000002,0.500000,0.334947,-0.165053,0.500000,0.614185,0.114185
24site,contest-off,46,6879244634711091817,0.935070,48,false,false,140,104,22,240,16,0.500000,0.609336,0.109336,0.500000,0.711200,0.211200,0.500000,0.372007,-0.127993,0.500000,0.311861,-0.188139,0.500000,0.624883,0.124883,0.500000,0.732726,0.232726,0.500000,0.425705,-0.074295,0.500000,0.786898,0.286898,0.500000,0.335119,-0.164881,0.500000,0.253146,-0.246854,0.500000,0.396392,-0.103608
24site,contest-off,47,18234561692654314230,0.907639,48,false,false,143,107,20,214,15,0.500000,0.689916,0.189916,0.500000,0.712839,0.212839,0.500000,0.258075,-0.241925,0.500000,0.386820,-0.113180,0.500000,0.427011,-0.072989,0.500000,0.569331,0.069331,0.500000,0.543419,0.043419,0.500000,0.647365,0.147365,0.500000,0.262545,-0.237455,0.500000,0.341727,-0.158273,0.500000,0.458571,-0.041429
24site,contest-off,48,1712242720043465541,0.928125,48,false,false,134,98,24,222,16,0.500000,0.565523,0.065523,0.500000,0.746172,0.246172,0.500000,0.284263,-0.215737,0.500000,0.379005,-0.120995,0.500000,0.427825,-0.072175,0.500000,0.656006,0.156006,0.500000,0.592802,0.092802,0.500000,0.632981,0.132981,0.500000,0.315072,-0.184928,0.500000,0.386497,-0.113503,0.500000,0.262289,-0.237711
24site,contest-off,49,2821249051000802409,0.913542,48,false,false,158,122,22,244,12,0.500000,0.400095,-0.099905,0.500000,0.500336,0.000336,0.500000,0.485140,-0.014860,0.500000,0.444897,-0.055103,0.500000,0.644472,0.144472,0.500000,0.675432,0.175432,0.500000,0.332087,-0.167913,0.500000,0.506161,0.006161,0.500000,0.376448,-0.123552,0.500000,0.449092,-0.050908,0.500000,0.601709,0.101709
24site,contest-off,50,14643525569196657475,0.892708,48,false,false,141,105,23,215,14,0.500000,0.554334,0.054334,0.500000,0.530023,0.030023,0.500000,0.736023,0.236023,0.500000,0.384531,-0.115469,0.500000,0.410715,-0.089285,0.500000,0.489286,-0.010714,0.500000,0.591667,0.091667,0.500000,0.655117,0.155117,0.500000,0.653157,0.153157,0.500000,0.170069,-0.329931,0.500000,0.442162,-0.057838
24site,contest-off,51,5257982699579292710,0.916667,48,false,false,147,111,24,224,14,0.500000,0.460558,-0.039442,0.500000,0.465284,-0.034716,0.500000,0.561090,0.061090,0.500000,0.688319,0.188319,0.500000,0.373298,-0.126702,0.500000,0.639268,0.139268,0.500000,0.398090,-0.101910,0.500000,0.459661,-0.040339,0.500000,0.539790,0.039790,0.500000,0.627444,0.127444,0.500000,0.405285,-0.094715
24site,contest-off,52,15946597305579365653,0.915625,48,false,false,131,95,22,212,15,0.500000,0.488277,-0.011723,0.500000,0.669261,0.169261,0.500000,0.283334,-0.216666,0.500000,0.439267,-0.060733,0.500000,0.503733,0.003733,0.500000,0.516746,0.016746,0.500000,0.608748,0.108748,0.500000,0.660612,0.160612,0.500000,0.312228,-0.187772,0.500000,0.441604,-0.058396,0.500000,0.495317,-0.004683
24site,contest-off,53,8649780438695080434,0.921528,48,false,false,142,106,22,231,19,0.500000,0.562731,0.062731,0.500000,0.862227,0.362227,0.500000,0.432547,-0.067453,0.500000,0.381091,-0.118909,0.500000,0.369860,-0.130140,0.500000,0.682424,0.182424,0.500000,0.692322,0.192322,0.500000,0.745906,0.245906,0.500000,0.368663,-0.131337,0.500000,0.491584,-0.008416,0.500000,0.339073,-0.160927
24site,contest-off,54,14432202653882858653,0.912847,48,false,false,143,107,22,203,19,0.500000,0.610747,0.110747,0.500000,0.605684,0.105684,0.500000,0.639701,0.139701,0.500000,0.433108,-0.066892,0.500000,0.359762,-0.140238,0.500000,0.557096,0.057096,0.500000,0.474218,-0.025782,0.500000,0.724561,0.224561,0.500000,0.560813,0.060813,0.500000,0.531018,0.031018,0.500000,0.439152,-0.060848
24site,contest-off,55,4062249512524750087,0.901736,48,false,false,151,115,24,239,13,0.500000,0.382905,-0.117095,0.500000,0.439665,-0.060335,0.500000,0.454097,-0.045903,0.500000,0.472187,-0.027813,0.500000,0.534617,0.034617,0.500000,0.653636,0.153636,0.500000,0.240407,-0.259593,0.500000,0.420985,-0.079015,0.500000,0.576357,0.076357,0.500000,0.575801,0.075801,0.500000,0.552778,0.052778
24site,contest-off,56,1562815775894491350,0.896528,48,false,false,148,112,22,210,17,0.500000,0.742395,0.242395,0.500000,0.669796,0.169796,0.500000,0.405353,-0.094647,0.500000,0.346703,-0.153297,0.500000,0.282892,-0.217108,0.500000,0.624495,0.124495,0.500000,0.577206,0.077206,0.500000,0.753508,0.253508,0.500000,0.342696,-0.157304,0.500000,0.379613,-0.120387,0.500000,0.648436,0.148436
24site,contest-off,57,3779353141733973628,0.922222,48,false,false,151,115,24,235,18,0.500000,0.690314,0.190314,0.500000,0.529248,0.029248,0.500000,0.579716,0.079716,0.500000,0.243873,-0.256127,0.500000,0.216501,-0.283499,0.500000,0.736865,0.236865,0.500000,0.643945,0.143945,0.500000,0.695503,0.195503,0.500000,0.636348,0.136348,0.500000,0.346077,-0.153923,0.500000,0.391304,-0.108696
24site,contest-off,58,15082615545269236153,0.916320,48,false,false,139,103,22,227,17,0.500000,0.540764,0.040764,0.500000,0.413076,-0.086924,0.500000,0.470763,-0.029237,0.500000,0.466093,-0.033907,0.500000,0.403389,-0.096611,0.500000,0.558825,0.058825,0.500000,0.426167,-0.073833,0.500000,0.445283,-0.054717,0.500000,0.355558,-0.144442,0.500000,0.439882,-0.060118,0.500000,0.471156,-0.028844
24site,contest-off,59,14697179379588944082,0.915625,48,false,false,137,101,24,238,16,0.500000,0.692625,0.192625,0.500000,0.538649,0.038649,0.500000,0.381296,-0.118704,0.500000,0.326429,-0.173571,0.500000,0.570876,0.070876,0.500000,0.653989,0.153989,0.500000,0.660907,0.160907,0.500000,0.523382,0.023382,0.500000,0.378789,-0.121211,0.500000,0.505039,0.005039,0.500000,0.514776,0.014776
24site,contest-off,60,1820336672303600795,0.910069,48,false,false,141,105,23,214,16,0.500000,0.735315,0.235315,0.500000,0.736700,0.236700,0.500000,0.480397,-0.019603,0.500000,0.357087,-0.142913,0.500000,0.506814,0.006814,0.500000,0.665726,0.165726,0.500000,0.448215,-0.051785,0.500000,0.567007,0.067007,0.500000,0.335375,-0.164625,0.500000,0.421671,-0.078329,0.500000,0.557870,0.057870
24site,contest-off,61,7381431112886944319,0.923959,48,false,false,132,96,24,228,15,0.500000,0.487261,-0.012739,0.500000,0.724339,0.224339,0.500000,0.324730,-0.175270,0.500000,0.448558,-0.051442,0.500000,0.409960,-0.090040,0.500000,0.643426,0.143426,0.500000,0.507278,0.007278,0.500000,0.603270,0.103270,0.500000,0.341785,-0.158215,0.500000,0.493335,-0.006665,0.500000,0.497596,-0.002404
24site,contest-off,62,6932402828332921433,0.912500,48,false,false,143,107,23,232,18,0.500000,0.616952,0.116952,0.500000,0.688936,0.188936,0.500000,0.477179,-0.022821,0.500000,0.343071,-0.156929,0.500000,0.455448,-0.044552,0.500000,0.535937,0.035937,0.500000,0.679589,0.179589,0.500000,0.612144,0.112144,0.500000,0.294928,-0.205072,0.500000,0.418318,-0.081682,0.500000,0.435067,-0.064933
24site,contest-off,63,5840554683748834429,0.910764,48,false,false,148,112,23,227,14,0.500000,0.573024,0.073024,0.500000,0.664522,0.164521,0.500000,0.288142,-0.211859,0.500000,0.529870,0.029870,0.500000,0.471086,-0.028914,0.500000,0.622999,0.122999,0.500000,0.549193,0.049193,0.500000,0.663565,0.163565,0.500000,0.323977,-0.176023,0.500000,0.472093,-0.027907,0.500000,0.401549,-0.098451
24site,contest-off,64,18227369788983169878,0.915278,48,false,false,146,110,21,222,17,0.500000,0.428490,-0.071510,0.500000,0.615536,0.115536,0.500000,0.404770,-0.095230,0.500000,0.454993,-0.045007,0.500000,0.414560,-0.085440,0.500000,0.690642,0.190642,0.500000,0.520040,0.020040,0.500000,0.662433,0.162433,0.500000,0.380767,-0.119233,0.500000,0.537472,0.037472,0.500000,0.452658,-0.047342
24site,contest-off,65,9146460646725304863,0.899306,48,false,false,177,141,23,240,18,0.500000,0.716888,0.216888,0.500000,0.390016,-0.109984,0.500000,0.435013,-0.064987,0.500000,0.383148,-0.116852,0.500000,0.495387,-0.004613,0.500000,0.606975,0.106975,0.500000,0.613335,0.113335,0.500000,0.508204,0.008204,0.500000,0.514607,0.014607,0.500000,0.405382,-0.094618,0.500000,0.417624,-0.082376
24site,contest-off,66,9421379937050480290,0.919445,48,false,false,133,97,24,240,15,0.500000,0.640386,0.140386,0.500000,0.496185,-0.003815,0.500000,0.406739,-0.093261,0.500000,0.432860,-0.067140,0.500000,0.372088,-0.127912,0.500000,0.644144,0.144144,0.500000,0.671937,0.171937,0.500000,0.439576,-0.060424,0.500000,0.535742,0.035742,0.500000,0.423255,-0.076745,0.500000,0.515420,0.015420
24site,contest-off,67,1431730539033015872,0.931250,48,false,false,144,108,23,245,13,0.500000,0.328818,-0.171182,0.500000,0.516040,0.016040,0.500000,0.409600,-0.090400,0.500000,0.610507,0.110507,0.500000,0.586121,0.086121,0.500000,0.742096,0.242096,0.500000,0.279381,-0.220619,0.500000,0.271782,-0.228218,0.500000,0.364198,-0.135802,0.500000,0.574679,0.074679,0.500000,0.570614,0.070614
24site,contest-off,68,7287651520579615543,0.913889,47,false,false,138,103,22,216,16,0.500000,0.682516,0.182516,0.500000,0.827856,0.327856,0.500000,0.256479,-0.243521,0.500000,0.451982,-0.048018,0.500000,0.508330,0.008330,0.500000,0.574185,0.074185,0.500000,0.615141,0.115141,0.500000,0.754036,0.254036,0.500000,0.265195,-0.234805,0.500000,0.467038,-0.032962,0.500000,0.530405,0.030405
24site,contest-off,69,17381659510225681905,0.913542,48,false,false,141,105,24,244,16,0.500000,0.609312,0.109312,0.500000,0.725485,0.225485,0.500000,0.601780,0.101780,0.500000,0.232042,-0.267958,0.500000,0.445129,-0.054871,0.500000,0.607776,0.107776,0.500000,0.516559,0.016559,0.500000,0.541179,0.041179,0.500000,0.559529,0.059529,0.500000,0.285564,-0.214436,0.500000,0.528000,0.028000
24site,contest-off,70,5110452219082154738,0.912153,48,false,false,142,106,24,209,19,0.500000,0.544993,0.044993,0.500000,0.715021,0.215021,0.500000,0.616101,0.116101,0.500000,0.211165,-0.288835,0.500000,0.210140,-0.289860,0.500000,0.520144,0.020144,0.500000,0.745059,0.245059,0.500000,0.574693,0.074693,0.500000,0.715799,0.215799,0.500000,0.297482,-0.202518,0.500000,0.358850,-0.141150
24site,contest-off,71,13286118019391770987,0.925347,48,false,false,137,101,24,218,16,0.500000,0.654733,0.154733,0.500000,0.703998,0.203998,0.500000,0.355908,-0.144092,0.500000,0.382578,-0.117422,0.500000,0.412314,-0.087686,0.500000,0.586749,0.086749,0.500000,0.597783,0.097783,0.500000,0.721823,0.221823,0.500000,0.280307,-0.219693,0.500000,0.306546,-0.193454,0.500000,0.376313,-0.123687
24site,contest-off,72,9455611616226066328,0.912500,48,false,false,135,99,23,257,17,0.500000,0.786929,0.286929,0.500000,0.305041,-0.194959,0.500000,0.348978,-0.151022,0.500000,0.353684,-0.146316,0.500000,0.526821,0.026821,0.500000,0.661864,0.161864,0.500000,0.670722,0.170722,0.500000,0.385100,-0.114900,0.500000,0.437578,-0.062422,0.500000,0.521252,0.021252,0.500000,0.570077,0.070077
24site,contest-off,73,11578106537351523616,0.919097,48,false,false,143,107,24,224,17,0.500000,0.505107,0.005107,0.500000,0.471808,-0.028192,0.500000,0.647216,0.147216,0.500000,0.489665,-0.010335,0.500000,0.400943,-0.099057,0.500000,0.569563,0.069563,0.500000,0.593939,0.093939,0.500000,0.522353,0.022353,0.500000,0.546919,0.046919,0.500000,0.591931,0.091931,0.500000,0.415007,-0.084993
24site,contest-off,74,5052136914309182692,0.907639,48,false,false,138,102,22,211,18,0.500000,0.704352,0.204352,0.500000,0.809079,0.309079,0.500000,0.342667,-0.157333,0.500000,0.283663,-0.216337,0.500000,0.496751,-0.003249,0.500000,0.627360,0.127360,0.500000,0.629969,0.129969,0.500000,0.701542,0.201542,0.500000,0.348894,-0.151106,0.500000,0.381434,-0.118566,0.500000,0.583284,0.083284
24site,contest-off,75,5738961868621785547,0.914931,48,false,false,168,132,22,236,15,0.500000,0.590478,0.090478,0.500000,0.637033,0.137033,0.500000,0.509065,0.009065,0.500000,0.358460,-0.141540,0.500000,0.419268,-0.080732,0.500000,0.578194,0.078194,0.500000,0.596564,0.096564,0.500000,0.656482,0.156482,0.500000,0.507874,0.007874,0.500000,0.304594,-0.195406,0.500000,0.445025,-0.054975
24site,contest-off,76,15426068978463260858,0.906944,48,false,false,147,111,24,238,15,0.500000,0.537207,0.037207,0.500000,0.559038,0.059038,0.500000,0.379924,-0.120076,0.500000,0.418303,-0.081697,0.500000,0.481717,-0.018283,0.500000,0.530707,0.030707,0.500000,0.543856,0.043856,0.500000,0.527588,0.027588,0.500000,0.404031,-0.095969,0.500000,0.373280,-0.126720,0.500000,0.607883,0.107883
24site,contest-off,77,11388286207817832214,0.902431,48,false,false,136,100,21,204,13,0.500000,0.560688,0.060688,0.500000,0.737279,0.237279,0.500000,0.408041,-0.091959,0.500000,0.553685,0.053685,0.500000,0.334859,-0.165141,0.500000,0.553983,0.053983,0.500000,0.538444,0.038444,0.500000,0.597361,0.097361,0.500000,0.440724,-0.059276,0.500000,0.524683,0.024683,0.500000,0.378504,-0.121496
24site,contest-off,78,3792748003371280604,0.911111,48,false,false,137,101,24,253,16,0.500000,0.672181,0.172181,0.500000,0.405207,-0.094793,0.500000,0.448965,-0.051035,0.500000,0.455278,-0.044722,0.500000,0.583172,0.083172,0.500000,0.626898,0.126898,0.500000,0.717300,0.217300,0.500000,0.381969,-0.118031,0.500000,0.556323,0.056323,0.500000,0.468490,-0.031510,0.500000,0.535914,0.035914
24site,contest-off,79,8616982608488383088,0.919792,48,false,false,137,101,23,230,15,0.500000,0.585743,0.085743,0.500000,0.648449,0.148449,0.500000,0.583590,0.083590,0.500000,0.417923,-0.082077,0.500000,0.478339,-0.021661,0.500000,0.595194,0.095194,0.500000,0.593569,0.093569,0.500000,0.619500,0.119500,0.500000,0.395950,-0.104050,0.500000,0.344534,-0.155466,0.500000,0.467833,-0.032167
24site,contest-off,80,2886585083009482490,0.891320,48,false,false,146,110,23,226,14,0.500000,0.758053,0.258053,0.500000,0.782707,0.282707,0.500000,0.426247,-0.073753,0.500000,0.362897,-0.137103,0.500000,0.502578,0.002578,0.500000,0.580571,0.080571,0.500000,0.625499,0.125499,0.500000,0.607038,0.107038,0.500000,0.265065,-0.234935,0.500000,0.349157,-0.150843,0.500000,0.488336,-0.011664
24site,contest-off,81,3960489858079424847,0.902084,48,false,false,163,127,24,224,15,0.500000,0.460731,-0.039269,0.500000,0.641746,0.141746,0.500000,0.429270,-0.070730,0.500000,0.353635,-0.146365,0.500000,0.598143,0.098143,0.500000,0.558261,0.058261,0.500000,0.725855,0.225855,0.500000,0.585015,0.085015,0.500000,0.488578,-0.011422,0.500000,0.374375,-0.125625,0.500000,0.579077,0.079077
24site,contest-off,82,3339442156775143424,0.927431,48,false,false,139,103,23,220,16,0.500000,0.473768,-0.026232,0.500000,0.932368,0.432368,0.500000,0.683371,0.183371,0.500000,0.261967,-0.238033,0.500000,0.578841,0.078841,0.500000,0.655315,0.155315,0.500000,0.460854,-0.039146,0.500000,0.521672,0.021672,0.500000,0.712614,0.212614,0.500000,0.231500,-0.268500,0.500000,0.398680,-0.101320
24site,contest-off,83,9785084382755043720,0.927778,48,false,false,137,101,24,233,15,0.500000,0.338058,-0.161942,0.500000,0.554898,0.054898,0.500000,0.512874,0.012874,0.500000,0.493071,-0.006929,0.500000,0.517312,0.017312,0.500000,0.733016,0.233016,0.500000,0.500350,0.000350,0.500000,0.486021,-0.013979,0.500000,0.470728,-0.029272,0.500000,0.496991,-0.003009,0.500000,0.571613,0.071613
24site,contest-off,84,8831318292104785471,0.922222,48,false,false,143,107,24,217,16,0.500000,0.543047,0.043047,0.500000,0.737084,0.237084,0.500000,0.452810,-0.047190,0.500000,0.352704,-0.147296,0.500000,0.575554,0.075554,0.500000,0.633793,0.133793,0.500000,0.597986,0.097986,0.500000,0.713423,0.213423,0.500000,0.372082,-0.127918,0.500000,0.347684,-0.152316,0.500000,0.418171,-0.081829
24site,contest-off,85,14147175770119147470,0.920486,48,false,false,151,115,23,233,14,0.500000,0.462591,-0.037409,0.500000,0.562748,0.062748,0.500000,0.648932,0.148932,0.500000,0.406495,-0.093505,0.500000,0.475656,-0.024344,0.500000,0.629978,0.129978,0.500000,0.388484,-0.111516,0.500000,0.563116,0.063116,0.500000,0.555341,0.055341,0.500000,0.448703,-0.051297,0.500000,0.468340,-0.031660
24site,contest-off,86,7954067135118712875,0.904514,48,false,false,144,108,23,215,15,0.500000,0.564779,0.064779,0.500000,0.636469,0.136469,0.500000,0.579594,0.079594,0.500000,0.326537,-0.173463,0.500000,0.364349,-0.135651,0.500000,0.460263,-0.039737,0.500000,0.601666,0.101666,0.500000,0.638595,0.138595,0.500000,0.550903,0.050903,0.500000,0.299712,-0.200288,0.500000,0.472717,-0.027283
24site,contest-off,87,13077298470683252454,0.900695,48,false,false,144,108,20,209,19,0.500000,0.628610,0.128610,0.500000,0.686361,0.186361,0.500000,0.612374,0.112374,0.500000,0.215593,-0.284407,0.500000,0.359478,-0.140522,0.500000,0.470316,-0.029684,0.500000,0.535763,0.035763,0.500000,0.687559,0.187559,0.500000,0.571352,0.071352,0.500000,0.325691,-0.174309,0.500000,0.533613,0.033613
24site,contest-off,88,1681766137519960283,0.901389,48,false,false,138,102,23,212,15,0.500000,0.553375,0.053375,0.500000,0.654457,0.154457,0.500000,0.331163,-0.168837,0.500000,0.412867,-0.087133,0.500000,0.465293,-0.034707,0.500000,0.491168,-0.008832,0.500000,0.604673,0.104673,0.500000,0.622910,0.122910,0.500000,0.446920,-0.053080,0.500000,0.464305,-0.035695,0.500000,0.450009,-0.049991
24site,contest-off,89,14866401246382148462,0.905903,48,false,false,140,104,23,218,15,0.500000,0.666074,0.166074,0.500000,0.618846,0.118846,0.500000,0.621329,0.121329,0.500000,0.386716,-0.113284,0.500000,0.350000,-0.150000,0.500000,0.578481,0.078481,0.500000,0.507448,0.007448,0.500000,0.598470,0.098470,0.500000,0.779295,0.279295,0.500000,0.472073,-0.027927,0.500000,0.306277,-0.193723
24site,contest-off,90,17807673205734774772,0.908333,48,false,false,137,101,23,227,16,0.500000,0.578681,0.078681,0.500000,0.556215,0.056215,0.500000,0.629083,0.129083,0.500000,0.355688,-0.144312,0.500000,0.447660,-0.052340,0.500000,0.543116,0.043116,0.500000,0.573218,0.073218,0.500000,0.544443,0.044443,0.500000,0.721867,0.221867,0.500000,0.309890,-0.190110,0.500000,0.338940,-0.161060
24site,contest-off,91,10845508817151905189,0.930903,48,false,false,147,111,20,236,20,0.500000,0.682456,0.182456,0.500000,0.730572,0.230572,0.500000,0.457889,-0.042111,0.500000,0.364045,-0.135955,0.500000,0.412971,-0.087029,0.500000,0.733047,0.233047,0.500000,0.598427,0.098427,0.500000,0.778155,0.278155,0.500000,0.472734,-0.027266,0.500000,0.402870,-0.097130,0.500000,0.450108,-0.049892
24site,contest-off,92,14183655938156349270,0.915972,48,false,false,141,105,23,203,16,0.500000,0.537705,0.037705,0.500000,0.648980,0.148980,0.500000,0.723388,0.223388,0.500000,0.443222,-0.056778,0.500000,0.306608,-0.193392,0.500000,0.535335,0.035335,0.500000,0.648492,0.148492,0.500000,0.581260,0.081260,0.500000,0.671549,0.171549,0.500000,0.434833,-0.065167,0.500000,0.395738,-0.104262
24site,contest-off,93,3289408374610914319,0.917014,48,false,false,144,108,23,236,15,0.500000,0.341377,-0.158623,0.500000,0.582432,0.082432,0.500000,0.626926,0.126926,0.500000,0.378539,-0.121461,0.500000,0.521473,0.021473,0.500000,0.644111,0.144111,0.500000,0.386633,-0.113367,0.500000,0.562016,0.062016,0.500000,0.664292,0.164292,0.500000,0.408056,-0.091944,0.500000,0.374827,-0.125173
24site,contest-off,94,11579302546319118284,0.908333,48,false,false,139,103,19,219,15,0.500000,0.673003,0.173003,0.500000,0.686892,0.186892,0.500000,0.402511,-0.097489,0.500000,0.437395,-0.062605,0.500000,0.447936,-0.052064,0.500000,0.560552,0.060552,0.500000,0.537406,0.037406,0.500000,0.580221,0.080221,0.500000,0.408598,-0.091402,0.500000,0.373611,-0.126389,0.500000,0.416210,-0.083790
24site,contest-off,95,15521662000224217744,0.931945,48,false,false,153,117,24,276,15,0.500000,0.399489,-0.100511,0.500000,0.515955,0.015955,0.500000,0.321234,-0.178766,0.500000,0.563874,0.063874,0.500000,0.770553,0.270553,0.500000,0.831308,0.331308,0.500000,0.334327,-0.165673,0.500000,0.277299,-0.222701,0.500000,0.537476,0.037476,0.500000,0.521367,0.021367,0.500000,0.689459,0.189459
24site,contest-off,96,13429756487704285397,0.891320,48,false,false,159,123,19,268,17,0.500000,0.772613,0.272613,0.500000,0.226520,-0.273480,0.500000,0.426698,-0.073302,0.500000,0.439564,-0.060436,0.500000,0.582200,0.082200,0.500000,0.659590,0.159590,0.500000,0.719655,0.219655,0.500000,0.353508,-0.146492,0.500000,0.523686,0.023686,0.500000,0.386110,-0.113890,0.500000,0.608228,0.108228
24site,contest-off,97,4356511690499553405,0.921181,48,false,false,150,114,22,217,15,0.500000,0.504857,0.004857,0.500000,0.599768,0.099768,0.500000,0.470409,-0.029591,0.500000,0.363016,-0.136984,0.500000,0.359920,-0.140080,0.500000,0.567468,0.067468,0.500000,0.588637,0.088637,0.500000,0.559085,0.059085,0.500000,0.552443,0.052443,0.500000,0.342619,-0.157381,0.500000,0.427585,-0.072415
24site,contest-off,98,5190640222697680315,0.911459,48,false,false,160,124,21,226,16,0.500000,0.682183,0.182183,0.500000,0.562977,0.062977,0.500000,0.341269,-0.158731,0.500000,0.467948,-0.032052,0.500000,0.311630,-0.188370,0.500000,0.608789,0.108789,0.500000,0.654531,0.154531,0.500000,0.595153,0.095153,0.500000,0.221414,-0.278586,0.500000,0.335734,-0.164266,0.500000,0.343744,-0.156256
24site,contest-off,99,15988892555686833318,0.901389,48,false,false,150,114,22,210,16,0.500000,0.679184,0.179184,0.500000,0.615748,0.115748,0.500000,0.526509,0.026509,0.500000,0.386823,-0.113177,0.500000,0.431083,-0.068917,0.500000,0.574455,0.074455,0.500000,0.597140,0.097140,0.500000,0.369150,-0.130850,0.500000,0.453944,-0.046056,0.500000,0.482105,-0.017895,0.500000,0.452649,-0.047351
24site,contest-off,100,9784109071258176331,0.919097,48,false,false,142,106,23,218,14,0.500000,0.434637,-0.065363,0.500000,0.516416,0.016416,0.500000,0.614587,0.114587,0.500000,0.346468,-0.153532,0.500000,0.391809,-0.108191,0.500000,0.497672,-0.002328,0.500000,0.551092,0.051092,0.500000,0.506606,0.006606,0.500000,0.633289,0.133289,0.500000,0.486495,-0.013505,0.500000,0.401577,-0.098423
24site,contest-off,101,1343120686912983291,0.920139,48,false,false,140,104,23,229,20,0.500000,0.645698,0.145698,0.500000,0.835307,0.335307,0.500000,0.368115,-0.131885,0.500000,0.431302,-0.068698,0.500000,0.374447,-0.125553,0.500000,0.670254,0.170254,0.500000,0.535687,0.035687,0.500000,0.751674,0.251674,0.500000,0.059633,-0.440368,0.500000,0.389332,-0.110668,0.500000,0.528243,0.028243
24site,contest-off,102,16765133728680884216,0.894445,48,false,false,139,103,24,208,13,0.500000,0.560195,0.060195,0.500000,0.651704,0.151704,0.500000,0.308962,-0.191038,0.500000,0.410468,-0.089532,0.500000,0.463321,-0.036679,0.500000,0.553969,0.053969,0.500000,0.510637,0.010637,0.500000,0.738001,0.238001,0.500000,0.446588,-0.053412,0.500000,0.431931,-0.068069,0.500000,0.451324,-0.048676
24site,contest-off,103,16723842948033504546,0.921181,48,false,false,141,105,24,242,16,0.500000,0.571629,0.071629,0.500000,0.520365,0.020365,0.500000,0.445747,-0.054253,0.500000,0.376616,-0.123384,0.500000,0.455692,-0.044308,0.500000,0.668599,0.168599,0.500000,0.484749,-0.015251,0.500000,0.657701,0.157701,0.500000,0.336888,-0.163112,0.500000,0.470421,-0.029579,0.500000,0.493521,-0.006479
24site,contest-off,104,11033956536674038977,0.914236,48,false,false,139,103,24,236,16,0.500000,0.649954,0.149954,0.500000,0.587246,0.087246,0.500000,0.230352,-0.269648,0.500000,0.344971,-0.155029,0.500000,0.463698,-0.036302,0.500000,0.628318,0.128318,0.500000,0.505564,0.005564,0.500000,0.607817,0.107817,0.500000,0.341998,-0.158002,0.500000,0.415230,-0.084770,0.500000,0.415458,-0.084542
24site,contest-off,105,13110583695233153616,0.915972,48,false,false,141,105,24,236,16,0.500000,0.615776,0.115776,0.500000,0.415562,-0.084438,0.500000,0.533858,0.033858,0.500000,0.404637,-0.095363,0.500000,0.585750,0.085750,0.500000,0.710752,0.210752,0.500000,0.606356,0.106356,0.500000,0.315732,-0.184268,0.500000,0.528726,0.028726,0.500000,0.487566,-0.012434,0.500000,0.692800,0.192800
24site,contest-off,106,11974217048833579150,0.905903,48,false,false,158,122,22,246,19,0.500000,0.688731,0.188731,0.500000,0.523447,0.023447,0.500000,0.282204,-0.217796,0.500000,0.401768,-0.098232,0.500000,0.611284,0.111284,0.500000,0.633829,0.133829,0.500000,0.459154,-0.040846,0.500000,0.529077,0.029077,0.500000,0.343746,-0.156254,0.500000,0.414830,-0.085170,0.500000,0.454027,-0.045973
