scenario,seed,home_range,hash,final_population,births,deaths,food_consumed,water_consumed,site_transitions,same_site_repeats,same_site_fraction,mean_distinct_sites,mean_distance_from_centre,multi_food_candidate_fraction,mean_speed,mean_familiarity,familiar_multi_candidate_fraction
stable,60,off,18063589584670470790,39,72,36,1230.0940,398.7500,1648,1648,1.000000,1.000000,1.757771,0.000000,1.316309,0.000000,0.000000
stable,60,on,8788645845593023883,39,72,36,1202.5671,405.3125,1542,1542,1.000000,1.000000,1.700037,0.000000,1.217726,0.878300,0.000000
stable,61,off,17664085781602212363,40,60,24,1023.6766,343.1875,1457,1457,1.000000,1.000000,1.665070,0.000000,1.170658,0.000000,0.000000
stable,61,on,3507694746009482257,40,61,25,982.6938,357.6875,1303,1303,1.000000,1.000000,1.549675,0.000000,0.999550,0.898123,0.000000
stable,62,off,1719653910282311612,40,69,33,1200.2976,413.9375,1329,1329,1.000000,1.000000,1.585683,0.000000,1.087510,0.000000,0.000000
stable,62,on,3080637364991230429,40,69,33,1157.8367,425.6250,1159,1159,1.000000,1.000000,1.528883,0.000000,0.911723,0.889707,0.000000
stable,63,off,18282241644347880023,40,74,38,1354.6233,445.4375,1804,1804,1.000000,1.000000,1.661308,0.000000,1.255202,0.000000,0.000000
stable,63,on,14771051464196132793,40,72,36,1328.6182,448.3750,1655,1655,1.000000,1.000000,1.612460,0.000000,1.180569,0.886763,0.000000
stable,64,off,1498951934494021616,40,56,20,1003.0255,370.8750,1196,1196,1.000000,1.000000,1.628633,0.000000,1.098043,0.000000,0.000000
stable,64,on,357548217522373504,40,56,20,941.7250,386.3125,955,955,1.000000,1.000000,1.540639,0.000000,0.869422,0.903213,0.000000
stable,65,off,4310351363271073392,40,65,29,1039.4634,329.1875,1341,1341,1.000000,0.985507,1.587495,0.000000,1.103940,0.000000,0.000000
stable,65,on,14460315601340676084,40,69,33,1045.6040,349.0625,1352,1352,1.000000,1.000000,1.565530,0.000000,1.064600,0.876362,0.000000
stable,66,off,3563049658630559801,40,68,32,1205.0006,359.2500,1585,1585,1.000000,1.000000,1.773316,0.000000,1.377336,0.000000,0.000000
stable,66,on,3328278080387372263,40,68,32,1178.3690,364.0000,1516,1516,1.000000,0.986111,1.711714,0.000000,1.297646,0.890040,0.000000
stable,67,off,13140776182175619657,40,62,26,1026.8198,323.9375,1099,1099,1.000000,0.984848,1.596145,0.000000,0.962312,0.000000,0.000000
stable,67,on,9988098452582091781,40,62,26,985.9650,336.4375,984,984,1.000000,1.000000,1.437596,0.000000,0.788466,0.886966,0.000000
stable,68,off,15237070842348194067,39,52,16,1195.1534,374.8750,1361,1361,1.000000,1.000000,1.547931,0.000000,1.130916,0.000000,0.000000
stable,68,on,17910877576820398115,39,51,15,1119.5278,388.7500,1092,1092,1.000000,1.000000,1.406149,0.000000,0.861862,0.911919,0.000000
stable,69,off,18276871402470333017,39,68,32,1397.3745,374.8125,1395,1395,1.000000,0.986111,1.527301,0.000000,1.051119,0.000000,0.000000
stable,69,on,16145721291328321054,39,65,29,1293.7314,373.5625,1161,1161,1.000000,0.985507,1.429167,0.000000,0.817875,0.896126,0.000000
stable,70,off,18180631992481870284,40,51,15,1295.2114,433.0625,1426,1426,1.000000,1.000000,1.571365,0.000000,1.078062,0.000000,0.000000
stable,70,on,598390335271621738,40,50,14,1197.8044,422.7500,1121,1121,1.000000,1.000000,1.426865,0.000000,0.933374,0.911297,0.000000
stable,71,off,5147095513898633335,40,66,30,1102.0554,350.9375,1613,1613,1.000000,1.000000,1.744136,0.000000,1.288536,0.000000,0.000000
stable,71,on,8277709311413540343,40,59,23,1065.8230,354.9375,1486,1486,1.000000,1.000000,1.672970,0.000000,1.139589,0.893408,0.000000
scarcity,42,off,317184772437341411,0,13,17,82.7357,58.0625,279,279,1.000000,1.000000,2.195298,0.000000,1.787370,0.000000,0.000000
scarcity,42,on,317184772437341411,0,13,17,82.7166,61.4375,294,294,1.000000,1.000000,2.175454,0.000000,1.804057,0.810915,0.000000
scarcity,43,off,7854066615734618366,0,12,16,77.5834,54.8750,227,227,1.000000,1.000000,2.239503,0.000000,1.546137,0.000000,0.000000
scarcity,43,on,4587560227308251070,0,12,16,77.5557,56.7500,232,232,1.000000,1.000000,2.228719,0.000000,1.550379,0.796040,0.000000
scarcity,44,off,822660927721147313,0,13,17,73.8722,55.8125,256,256,1.000000,1.000000,2.186901,0.000000,1.570685,0.000000,0.000000
scarcity,44,on,10550998077604103601,0,13,17,73.7162,55.8750,260,260,1.000000,1.000000,2.167091,0.000000,1.599553,0.788525,0.000000
scarcity,45,off,14383140120349625288,0,12,16,75.7387,54.0625,201,201,1.000000,1.000000,2.281166,0.000000,1.440702,0.000000,0.000000
scarcity,45,on,17328622231696314092,0,12,16,75.6737,55.0000,198,198,1.000000,1.000000,2.270147,0.000000,1.430114,0.801118,0.000000
scarcity,46,off,5449210397823497739,0,15,19,81.2922,56.1250,236,236,1.000000,1.000000,2.273565,0.000000,1.505310,0.000000,0.000000
scarcity,46,on,5449210397823497739,0,15,19,81.2484,60.6250,244,244,1.000000,1.000000,2.250796,0.000000,1.480458,0.776991,0.000000
scarcity,47,off,12610055780303362150,0,12,16,83.5026,53.3750,226,226,1.000000,1.000000,2.211041,0.000000,1.569440,0.000000,0.000000
scarcity,47,on,1926424986586093298,0,12,16,84.6936,55.5000,241,241,1.000000,1.000000,2.240256,0.000000,1.542617,0.807398,0.000000
scarcity,48,off,12455489469791223625,0,12,16,70.3940,47.1250,271,271,1.000000,1.000000,2.153294,0.000000,1.596925,0.000000,0.000000
scarcity,48,on,18241965373315697429,0,12,16,70.2517,47.0000,258,258,1.000000,1.000000,2.178346,0.000000,1.559928,0.767205,0.000000
scarcity,49,off,3477869659772660780,0,12,16,73.7393,57.8750,232,232,1.000000,1.000000,2.261973,0.000000,1.564179,0.000000,0.000000
scarcity,49,on,3477869659772660780,0,12,16,73.7194,58.4375,244,244,1.000000,1.000000,2.226928,0.000000,1.567389,0.787877,0.000000
scarcity,50,off,15435179725945102783,0,10,14,75.3338,52.8750,231,231,1.000000,1.000000,2.126394,0.000000,1.684484,0.000000,0.000000
scarcity,50,on,749207535510032987,0,11,15,74.7581,55.8750,249,249,1.000000,1.000000,2.076540,0.000000,1.666912,0.800460,0.000000
scarcity,51,off,15055256894905701434,0,14,18,84.5701,58.7500,257,257,1.000000,1.000000,2.218349,0.000000,1.540677,0.000000,0.000000
scarcity,51,on,5600837243860593670,0,12,16,84.5897,55.0000,252,252,1.000000,1.000000,2.236614,0.000000,1.578025,0.806725,0.000000
scarcity,52,off,1320308513699650249,0,13,17,87.3475,72.8750,265,265,1.000000,1.000000,2.236788,0.000000,1.468477,0.000000,0.000000
