arm,seed,population,plantPatches,plantGenerations,plantBirths,founderGrowth,finalGrowth,founderSeedInvestment,finalSeedInvestment,founderWaterEfficiency,finalWaterEfficiency,founderNutrition,finalNutrition,founderDefense,finalDefense,founderDispersal,finalDispersal,founderMoistureTolerance,finalMoistureTolerance,founderTemperatureTolerance,finalTemperatureTolerance,founderNutrientUptake,finalNutrientUptake,founderSeedlingResilience,finalSeedlingResilience
contest,42,48,21,13,195,0.58193,0.58078,0.44741,0.49437,0.50266,0.57354,0.72797,0.78100,0.31490,0.32471,0.49474,0.55674,0.47024,0.41918,0.45573,0.52745,0.49048,0.38175,0.50368,0.52082
contest,43,48,23,16,202,0.58513,0.58140,0.48045,0.59893,0.50661,0.48378,0.62356,0.62330,0.34570,0.36085,0.48445,0.54892,0.46005,0.49224,0.57536,0.58513,0.50839,0.52817,0.52898,0.61701
contest,44,48,24,16,198,0.56185,0.60123,0.49594,0.49241,0.57368,0.57097,0.57621,0.61392,0.22067,0.34731,0.51307,0.68974,0.52618,0.53056,0.46143,0.40080,0.52174,0.56241,0.57704,0.65133
contest,45,48,23,15,210,0.56052,0.50298,0.45715,0.52283,0.50860,0.57963,0.55251,0.59179,0.31881,0.22889,0.56099,0.65538,0.59964,0.63349,0.52860,0.45542,0.51426,0.55276,0.51818,0.45560
contest,46,48,24,14,187,0.56718,0.59694,0.50438,0.62171,0.45156,0.33398,0.60114,0.56534,0.33185,0.30613,0.44651,0.53568,0.45845,0.43412,0.53869,0.63837,0.39127,0.43552,0.46622,0.45015
contest,47,48,23,13,194,0.49407,0.41834,0.48889,0.50650,0.44804,0.41411,0.69594,0.66058,0.33240,0.44780,0.52559,0.58705,0.41175,0.38512,0.47912,0.46221,0.52331,0.46169,0.53083,0.51450
contest,48,48,22,15,183,0.55549,0.53123,0.50251,0.53492,0.44247,0.47139,0.64097,0.65689,0.28743,0.24521,0.56249,0.62181,0.49792,0.54398,0.50538,0.57148,0.50027,0.54859,0.53393,0.56762
contest,49,48,21,14,213,0.56272,0.60464,0.45326,0.39435,0.55592,0.54137,0.65201,0.73931,0.30358,0.33805,0.44467,0.53099,0.46123,0.46682,0.53838,0.55449,0.50867,0.56521,0.39756,0.38141
contest,50,48,24,16,179,0.51071,0.53855,0.52759,0.62694,0.53089,0.45352,0.74842,0.72866,0.23896,0.10606,0.54288,0.59690,0.56362,0.58221,0.51236,0.43137,0.47968,0.33263,0.54196,0.61604
contest,51,48,21,16,186,0.52763,0.61114,0.51197,0.66017,0.46969,0.50558,0.66689,0.58178,0.31691,0.49678,0.55039,0.73018,0.56249,0.69947,0.50191,0.56042,0.54781,0.53651,0.58186,0.72091
contest,52,48,23,17,181,0.57420,0.68153,0.52459,0.60539,0.46111,0.49650,0.71880,0.70555,0.30174,0.43431,0.47099,0.46260,0.48651,0.49075,0.58270,0.71051,0.45110,0.43569,0.44916,0.47375
contest,53,48,22,16,182,0.44605,0.37783,0.45903,0.49839,0.42899,0.44184,0.69627,0.65482,0.31930,0.35918,0.48697,0.71434,0.47012,0.57270,0.50090,0.62448,0.56698,0.56962,0.51130,0.59512
contest,54,48,24,15,181,0.53164,0.25762,0.56011,0.49267,0.49069,0.55567,0.62841,0.73183,0.30597,0.25994,0.52542,0.68970,0.46913,0.36030,0.46637,0.43024,0.48264,0.31655,0.55825,0.72835
contest,55,48,24,15,193,0.61932,0.58515,0.47070,0.56091,0.49829,0.62387,0.60587,0.71466,0.33533,0.23997,0.55316,0.65211,0.53124,0.35243,0.50649,0.70264,0.48239,0.61709,0.51861,0.55499
contest,56,48,24,15,177,0.49925,0.52519,0.45184,0.67342,0.50735,0.56668,0.69694,0.71957,0.29297,0.16670,0.53254,0.64130,0.45188,0.63452,0.47351,0.47164,0.52189,0.56987,0.54013,0.70746
contest,57,48,22,17,204,0.52385,0.61996,0.49191,0.50569,0.49133,0.59385,0.60511,0.51505,0.31846,0.33522,0.48965,0.64671,0.50500,0.48691,0.56479,0.38033,0.54367,0.46866,0.53216,0.53784
contest,58,48,22,14,195,0.57054,0.48804,0.49621,0.55817,0.49325,0.59448,0.73126,0.73664,0.39727,0.30326,0.50216,0.52007,0.54219,0.55664,0.47566,0.38347,0.47419,0.42644,0.48715,0.50554
contest,59,48,22,21,205,0.59902,0.77926,0.48230,0.66410,0.45174,0.37039,0.58643,0.74894,0.27141,0.23006,0.54417,0.73956,0.54843,0.61660,0.51646,0.40470,0.49147,0.53962,0.47227,0.67831
contest,60,48,24,15,186,0.52977,0.58738,0.52002,0.64142,0.54976,0.48904,0.62704,0.60882,0.31342,0.27283,0.54927,0.56496,0.61418,0.62789,0.47620,0.44461,0.50209,0.47102,0.45849,0.52298
contest,61,48,22,15,175,0.53429,0.42744,0.38681,0.38834,0.50775,0.51000,0.59941,0.54409,0.32767,0.37987,0.53582,0.53261,0.46071,0.41211,0.48403,0.48997,0.47497,0.48812,0.52067,0.57366
contest,62,48,22,20,205,0.61373,0.75608,0.57942,0.68839,0.47458,0.62875,0.64195,0.55630,0.31142,0.13500,0.57155,0.73483,0.51333,0.35616,0.51903,0.53590,0.51913,0.46335,0.54033,0.72317
contest,63,48,24,18,218,0.49865,0.50084,0.54551,0.60838,0.54514,0.55424,0.65457,0.93150,0.20171,0.19914,0.59244,0.90760,0.47545,0.61805,0.50128,0.58567,0.55480,0.49609,0.46812,0.37884
contest,64,48,24,17,191,0.60025,0.43240,0.45105,0.49775,0.49464,0.47235,0.59822,0.59470,0.19549,0.10627,0.53395,0.60578,0.46221,0.46459,0.52330,0.52141,0.46913,0.39532,0.54920,0.52154
contest,65,48,23,15,190,0.54044,0.55091,0.48128,0.47944,0.51543,0.49579,0.62431,0.56193,0.37930,0.54680,0.55835,0.55175,0.52451,0.59340,0.46932,0.49517,0.45837,0.57688,0.51711,0.51352
