arm,seed,sample,sample_count,tick,population,extinct_at_end,at_cap,peak_population,starvation_deaths,dehydration_deaths,age_deaths,health_deaths,predation_deaths,starvation_deaths_interval,total_deaths_interval,plant_patches,seed_eligible_patches,plant_biomass,plant_growth_cumulative,plant_offtake_cumulative,plant_mortality_cumulative,mean_energy_fraction,behavior_hash
control,42,1,9,2666,33,1,0,405,0,0,7,0,0,0,7,19,17,1219.7919,2545.2883,477.06,1280.4219,0.676,663693199115149672
control,42,2,9,5333,21,1,0,405,0,0,34,1,0,0,28,21,21,1499.7098,5355.0547,1004.211,3283.1252,0.7316,8749232511596628477
control,42,3,9,8000,41,1,0,405,0,0,47,1,0,0,13,21,20,1442.5822,7917.6592,1682.3851,5224.687,0.7493,2398820246688588669
control,42,4,9,10666,95,1,0,405,0,0,67,1,0,0,20,21,20,1425.8917,11218.9941,2928.6709,7296.4849,0.8118,14862290136685383325
control,42,5,9,13333,292,1,0,405,0,0,104,1,0,0,37,22,15,1234.6053,16858.4785,6518.0283,9538.1572,0.7994,11858461812988805018
control,42,6,9,16000,405,1,0,405,66,5,194,1,0,66,161,13,4,280.2796,23507.0547,13146.0791,10513.6572,0.4865,11556731938149306849
control,42,7,9,18666,0,1,0,405,405,6,262,3,0,339,410,0,0,0,24298.6582,14099.0234,10632.4971,,16797685849383950813
control,42,8,9,21333,0,1,0,405,405,6,262,3,0,0,0,0,0,0,24298.6582,14099.0234,10632.4971,,5468502583210805996
control,42,9,9,24000,0,1,0,405,405,6,262,3,0,0,0,0,0,0,24298.6582,14099.0234,10632.4971,,17345731890923036819
control,43,1,9,2666,33,1,0,466,0,0,2,0,0,0,2,20,19,1390.4008,2903.282,437.8221,1507.0623,0.7746,12720279107201594471
control,43,2,9,5333,48,1,0,466,0,0,22,0,0,0,20,22,21,1492.7588,5703.6934,1277.4072,3365.499,0.7775,9434095741834570325
control,43,3,9,8000,98,1,0,466,0,0,46,0,0,0,24,23,23,1646.0583,9230.2578,2715.7051,5300.6909,0.786,1252717325826628341
control,43,4,9,10666,264,1,0,466,0,0,95,0,0,0,49,23,18,1294.0861,14985.1445,6418.5005,7704.9072,0.7981,6924354888114866199
control,43,5,9,13333,466,1,0,466,19,0,218,0,0,19,142,12,0,1.9045,21985.9355,13390.8906,9025.3516,0.4785,9341551043989470322
control,43,6,9,16000,0,1,0,466,416,0,287,0,0,397,466,0,0,0,22250.0957,13648.457,9033.8701,,15534581249349050266
control,43,7,9,18666,0,1,0,466,416,0,287,0,0,0,0,0,0,0,22250.0957,13648.457,9033.8701,,314300072271414268
control,43,8,9,21333,0,1,0,466,416,0,287,0,0,0,0,0,0,0,22250.0957,13648.457,9033.8701,,17271496039118394065
control,43,9,9,24000,0,1,0,466,416,0,287,0,0,0,0,0,0,0,22250.0957,13648.457,9033.8701,,1477588243540831322
control,44,1,9,2666,27,1,0,347,0,0,4,0,0,0,4,20,17,1277.7307,2621.9651,412.9985,1363.241,0.6629,5034689100409092640
control,44,2,9,5333,29,1,0,347,0,0,28,0,0,0,24,22,21,1504.5223,5390.7656,1014.683,3303.6025,0.8053,16081379964055265186
control,44,3,9,8000,73,1,0,347,0,0,50,0,0,0,22,22,21,1502.7655,8409.5645,2096.6394,5242.3296,0.7955,14997355007239317536
control,44,4,9,10666,223,1,0,347,0,0,92,0,0,0,42,22,18,1356.7588,13711.7832,5222.9175,7564.4429,0.826,11446073979526470927
control,44,5,9,13333,347,1,0,347,7,0,228,0,0,7,143,16,3,276.5306,20628.1113,11926.4863,8856.3896,0.6897,5790913618017596234
control,44,6,9,16000,1,1,0,347,255,0,350,0,0,248,370,0,0,0,21842.3164,13341.0732,8932.3594,0,4314715689474874712
control,44,7,9,18666,0,1,0,347,256,0,350,0,0,1,1,0,0,0,21842.3164,13341.0732,8932.3594,,6007064711148318563
control,44,8,9,21333,0,1,0,347,256,0,350,0,0,0,0,0,0,0,21842.3164,13341.0732,8932.3594,,8702725125248541034
control,44,9,9,24000,0,1,0,347,256,0,350,0,0,0,0,0,0,0,21842.3164,13341.0732,8932.3594,,12826559735756943041
control,45,1,9,2666,43,1,0,355,0,0,3,0,0,0,3,20,17,1334.5923,2803.0298,465.5697,1434.8827,0.7862,8128795302396400032
control,45,2,9,5333,67,1,0,355,0,0,33,0,0,0,30,22,20,1458.1879,6071.9995,1612.4858,3433.3096,0.692,17123454713982619134
control,45,3,9,8000,135,1,0,355,0,0,76,0,0,0,43,24,22,1596.6218,9967.834,3523.8774,5278.8286,0.8008,16917208178134199174
control,45,4,9,10666,355,1,0,355,0,0,156,0,0,0,80,22,10,756.4743,15893.5088,8636.8457,6932.2344,0.7492,12491554010345374220
control,45,5,9,13333,9,1,0,355,348,0,249,0,0,348,441,2,0,0.2126,17630.7188,10810.707,7252.144,0.1448,10558935943570166307
control,45,6,9,16000,0,1,0,355,357,0,249,0,0,9,9,0,0,0,17642.8145,10822.2949,7252.938,,4391481060497087179
control,45,7,9,18666,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,11267666571177301481
control,45,8,9,21333,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,6470614882671230944
control,45,9,9,24000,0,1,0,355,357,0,249,0,0,0,0,0,0,0,17642.8145,10822.2949,7252.938,,2503094663859968651
control,46,1,9,2666,38,1,0,310,0,0,1,0,0,0,1,19,16,1201.8654,2660.8313,456.6954,1434.2722,0.7607,4441152790850637421
control,46,2,9,5333,71,1,0,310,0,0,25,0,0,0,24,23,22,1567.2313,6041.8511,1610.549,3296.042,0.7952,17359265765853734264
control,46,3,9,8000,148,1,0,310,0,0,70,0,0,0,45,23,21,1546.2313,10543.2793,4138.6279,5290.1353,0.7787,6394922779392765112
control,46,4,9,10666,310,1,0,310,0,0,159,0,0,0,89,23,17,1273.2219,18350.6797,10134.3428,7374.001,0.7728,17390061866872637884
control,46,5,9,13333,280,1,0,310,59,0,321,0,0,59,221,6,0,1.3094,24494.2988,16551.25,8370.5693,0.0178,529553257484964088
control,46,6,9,16000,0,1,0,310,304,0,356,0,0,245,280,0,0,0,24598.3223,16650.7383,8376.4834,,17352022577302795619
control,46,7,9,18666,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,12187688344645844929
control,46,8,9,21333,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,11310736722557176452
control,46,9,9,24000,0,1,0,310,304,0,356,0,0,0,0,0,0,0,24598.3223,16650.7383,8376.4834,,10301027906935576227
control,47,1,9,2666,34,1,0,390,0,0,3,0,0,0,3,17,14,1024.4694,2528.7817,442.4991,1493.8011,0.5781,5256432244155209504
control,47,2,9,5333,48,1,0,390,0,0,20,3,0,0,20,24,23,1680.5542,5775.293,1239.6134,3287.0818,0.8235,14379528570384974108
control,47,3,9,8000,114,1,0,390,0,0,43,5,0,0,25,23,21,1504.3907,9456.9268,3024.0078,5360.3311,0.7052,5561145951907881939
control,47,4,9,10666,196,1,0,390,0,0,94,9,0,0,55,24,17,1293.8429,14841.4893,6472.373,7506.7725,0.799,1116547314645045085
control,47,5,9,13333,291,1,0,390,1,0,180,10,0,1,88,18,9,736.3297,21591.9004,12016.6201,9271.832,0.5105,6843105890659672187
control,47,6,9,16000,174,1,0,390,112,1,293,11,0,111,226,13,7,544.9648,26672.3145,16816.6406,9741.6758,0.74,11598338808174522373
control,47,7,9,18666,390,1,0,390,114,1,394,11,0,2,103,21,15,1167.431,34100.9453,22177.2148,11187.9082,0.8194,9759345324471070767
