schema=1
code_revision=0914369
scenario_id=p6-defense-calibration-regen2.25
scenario_layout_fingerprint=10343396763847525330
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,neutral_marker
slope-off,150,9971998649111188512,44,0,0.6671,4.6156,0.5374,0.4043,0.5348,0.5648,0.5290,0.4753,0.4959,0.4844,0.4874,0.4685,0.5696,0.5154,0.5133,0.1720,0.7297,0.7419,0.6790,0.4866
slope-off,152,14526470287191245560,168,0,0.6009,0.7770,0.1645,0.5156,0.4575,0.4654,0.4372,0.4906,0.5453,0.4978,0.5271,0.5227,0.5142,0.4749,0.5059,0.2249,0.6662,0.5876,0.5107,0.5054
slope-off,153,1730343237780225777,21,0,0.4581,3.5823,0.4244,0.5389,0.5283,0.4413,0.4669,0.5081,0.4604,0.5424,0.5179,0.5454,0.4970,0.5062,0.4903,0.9235,0.8561,0.1125,0.4323,0.4834
slope-off,167,6988652782680284366,87,0,0.6444,4.1450,0.3082,0.5164,0.4657,0.5252,0.4677,0.4460,0.5200,0.5559,0.4773,0.5140,0.4925,0.5089,0.5164,0.2790,0.6071,0.2655,0.1585,0.4455
slope-off,176,2499712330066975516,215,0,0.0739,9.8656,0.3146,0.5022,0.4794,0.4754,0.4962,0.5339,0.4731,0.5267,0.5050,0.5338,0.4444,0.5011,0.5050,0.1363,0.6840,0.2142,0.3761,0.5012
slope-off,187,5317293138819445717,13,0,0.7106,3.6435,0.1718,0.5756,0.4813,0.4413,0.5200,0.4898,0.4779,0.5289,0.4602,0.4676,0.5195,0.4087,0.5510,0.3985,0.8567,0.4903,0.7478,0.4689
slope-off,193,9184467207994899536,423,0,0.4975,7.0278,0.7765,0.4911,0.5278,0.5116,0.4911,0.5142,0.5086,0.5275,0.4567,0.5094,0.4821,0.4829,0.4898,0.1094,0.7149,0.6265,0.4911,0.5134
slope-off,221,328349482500119473,289,0,0.6838,6.4221,0.5569,0.4932,0.5193,0.4688,0.5083,0.5383,0.4844,0.5265,0.4848,0.5190,0.5396,0.4996,0.3867,0.2532,0.5543,0.1951,0.6087,0.5295
slope-off,228,16018821021465732362,48,0,0.0218,20.7192,0.3819,0.4998,0.4860,0.5033,0.4974,0.4910,0.5315,0.5447,0.5107,0.4958,0.4554,0.5236,0.4705,0.1484,0.7254,0.5266,0.4024,0.5092
slope-off,229,2376253039320690247,43,0,0.7602,16.8167,0.4006,0.5227,0.4901,0.4882,0.5460,0.4275,0.4300,0.4450,0.4097,0.4920,0.4981,0.5268,0.3578,0.5057,0.9569,0.1354,0.3160,0.4624
slope-off,238,3266157745188605969,90,0,0.7469,0.1987,0.0361,0.5191,0.4156,0.5123,0.4782,0.5372,0.4676,0.4890,0.4884,0.4124,0.5214,0.5662,0.5228,0.0824,0.9211,0.8290,0.3412,0.5056
slope-off,243,11757813772459767143,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,42,3307260873818650872,382,0,0.6767,4.1437,0.4139,0.4948,0.4904,0.4666,0.5088,0.5123,0.5189,0.5194,0.4982,0.4831,0.4855,0.4764,0.4640,0.1651,0.5883,0.2564,0.4257,0.4971
slope-on,52,15342278677808835037,77,0,0.7283,11.4945,0.6551,0.4378,0.5472,0.5080,0.4601,0.5468,0.4793,0.5002,0.5043,0.6076,0.4668,0.5362,0.4865,0.2979,0.6985,0.1227,0.1859,0.4912
slope-on,53,7180655031558332682,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,55,6030402261340632674,59,0,0.6156,10.0116,0.6544,0.5040,0.4959,0.4975,0.4910,0.4653,0.4803,0.4981,0.5243,0.5493,0.4417,0.4903,0.4825,0.2713,0.3687,0.5301,0.2756,0.5226
slope-on,58,6606060900491988344,125,0,0.6183,17.8360,0.3579,0.4990,0.5673,0.5164,0.4537,0.5456,0.4768,0.4934,0.4214,0.5115,0.4878,0.5007,0.4313,0.1047,0.2136,0.3435,0.5853,0.4649
slope-on,69,7108539149053996293,123,0,0.6958,4.7225,0.6410,0.5381,0.5055,0.5104,0.5095,0.5232,0.4836,0.4963,0.4913,0.5346,0.4769,0.4586,0.4748,0.3427,0.9165,0.1165,0.6825,0.5008
slope-on,74,8715150458040060749,33,0,0.6658,2.7375,0.4101,0.4992,0.5763,0.4917,0.4935,0.4810,0.5723,0.4627,0.5033,0.4873,0.4975,0.5226,0.3910,0.5341,0.6646,0.3308,0.7822,0.5494
slope-on,80,1556743855778170699,320,0,0.6267,11.5760,0.7732,0.5001,0.5210,0.5420,0.4875,0.5404,0.5177,0.5062,0.4913,0.4960,0.4839,0.4901,0.5421,0.1936,0.8806,0.2560,0.6134,0.5377
slope-on,98,14571236504760153343,412,0,0.1926,2.2079,0.2960,0.4952,0.4970,0.5066,0.4968,0.5377,0.4606,0.4662,0.5197,0.5042,0.4866,0.4663,0.4870,0.2254,0.8607,0.1614,0.1647,0.4917
slope-on,101,6265211911354105801,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,107,9545407104660300467,487,0,0.2986,15.7134,0.6853,0.4864,0.5054,0.5291,0.4885,0.5044,0.5317,0.5168,0.5361,0.4912,0.4477,0.4930,0.4659,0.1110,0.4526,0.6792,0.1591,0.5146
slope-on,114,14914415412409278894,47,0,0.6099,23.2330,0.3834,0.4908,0.5054,0.4658,0.4083,0.4959,0.4689,0.4839,0.4984,0.5747,0.4407,0.4989,0.4519,0.6358,0.8073,0.4284,0.5718,0.5396
slope-on,118,281549947780538257,240,0,0.0432,7.9619,0.3312,0.5326,0.5039,0.4804,0.4888,0.4918,0.5294,0.5214,0.5369,0.5069,0.4664,0.4401,0.4762,0.1829,0.9056,0.5658,0.4978,0.4787
slope-on,120,1086468586926243071,95,0,0.6160,6.7530,0.8990,0.4859,0.4836,0.5467,0.5511,0.5172,0.5493,0.5017,0.5198,0.5688,0.4950,0.4663,0.4683,0.3320,0.5708,0.4538,0.2086,0.5737
slope-on,128,9835961722939014167,69,0,0.6073,11.8540,0.7655,0.4972,0.4851,0.5540,0.5354,0.4706,0.5208,0.5164,0.5230,0.5315,0.4951,0.5358,0.4640,0.4800,0.7459,0.2646,0.6841,0.5518
slope-on,135,11222714707848770479,131,0,0.0232,2.8259,0.4441,0.4956,0.5140,0.5042,0.5206,0.4719,0.5059,0.5298,0.4754,0.5304,0.5053,0.4996,0.4631,0.1172,0.7600,0.4411,0.6065,0.4650
slope-on,147,4184848577137966947,18,0,0.5751,10.0113,0.3629,0.5318,0.4476,0.5614,0.6045,0.4011,0.4285,0.5624,0.4937,0.5557,0.4981,0.5240,0.5722,0.8393,0.1980,0.2185,0.6139,0.5497
slope-on,148,2503683347290879106,313,0,0.7126,12.0135,0.3368,0.4794,0.5461,0.4408,0.4524,0.5096,0.5265,0.4745,0.4981,0.4718,0.4486,0.5067,0.4834,0.1197,0.7708,0.9023,0.4840,0.4647
slope-on,150,1018903974232868090,15,0,0.5354,5.1333,0.4327,0.4796,0.5446,0.4814,0.5055,0.4643,0.5190,0.4675,0.5543,0.5451,0.5144,0.5179,0.5017,0.6812,0.7667,0.2608,0.4709,0.4791
