schema=1
code_revision=0914369
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.55
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,neutral_marker
slope-off,42,2668767222145821580,90,0,0.7565,13.7652,1.3846,0.4798,0.4736,0.3757,0.4676,0.5459,0.5396,0.5306,0.4603,0.4517,0.5944,0.5021,0.4670,0.0277,0.2645,0.5800,0.1677,0.4932
slope-off,52,9030624490507408786,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,53,2388186626043628979,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,55,2194376004737739941,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,58,16017680459436407179,76,0,0.5932,15.0278,0.6057,0.4927,0.5171,0.5042,0.4189,0.5485,0.4714,0.4544,0.4754,0.5690,0.4680,0.5042,0.4676,0.0868,0.3752,0.1763,0.7287,0.4838
slope-off,69,3342151270529590643,13,0,0.6796,2.1910,0.2394,0.5128,0.4560,0.5238,0.5268,0.4905,0.4491,0.4579,0.4130,0.5343,0.4988,0.4561,0.4204,0.7649,0.8615,0.1670,0.7949,0.4727
slope-off,74,5607227192201350901,204,0,0.7256,1.4661,0.2732,0.4617,0.5214,0.4701,0.5674,0.5066,0.5514,0.5011,0.4716,0.5399,0.4851,0.5366,0.3912,0.2467,0.8785,0.5551,0.1999,0.5058
slope-off,80,15003973150941479999,272,0,0.4137,10.4479,0.8651,0.5308,0.4543,0.5481,0.4723,0.4899,0.4893,0.5077,0.4686,0.5251,0.4656,0.4865,0.5423,0.0789,0.8508,0.2351,0.8019,0.5522
slope-off,98,3777722218817685456,127,0,0.7540,1.4514,0.2511,0.4998,0.5573,0.5181,0.4819,0.4874,0.4811,0.4748,0.5488,0.4901,0.4588,0.4602,0.4918,0.2284,0.7045,0.1893,0.5822,0.4837
slope-off,101,15089696636115516346,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,107,16524721661326097217,17,0,0.7221,15.2628,0.6961,0.4586,0.5026,0.4919,0.5045,0.5011,0.5584,0.5258,0.5190,0.4673,0.4639,0.4828,0.4640,0.3190,0.4401,0.6432,0.4664,0.5568
slope-off,114,17308328338575973608,24,0,0.6710,22.0283,0.3999,0.5359,0.4771,0.4603,0.4470,0.4602,0.4922,0.5395,0.4656,0.5920,0.4329,0.5052,0.5104,0.5121,0.7055,0.2585,0.4324,0.5947
slope-off,118,12788525499633907886,88,0,0.7280,6.3708,0.3305,0.5061,0.4953,0.4577,0.4957,0.4983,0.5196,0.4424,0.6036,0.5449,0.4516,0.4545,0.5052,0.1851,0.6587,0.5045,0.0772,0.4904
slope-off,120,626802142121250791,438,0,0.3263,5.1379,0.6763,0.5170,0.5197,0.5382,0.5537,0.4934,0.5780,0.5149,0.5168,0.5529,0.5052,0.4846,0.4469,0.2080,0.8553,0.3543,0.1918,0.5257
slope-off,128,556588085472020140,7,0,0.7285,12.9773,1.0081,0.4429,0.4894,0.5640,0.3745,0.4648,0.5450,0.4541,0.5587,0.5813,0.5896,0.5884,0.5308,0.3566,0.8174,0.3797,0.3488,0.5067
slope-off,135,8204871506608062392,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,147,218215530263186647,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,148,2685005388592267379,44,0,0.7508,5.8867,0.5846,0.5022,0.5996,0.4281,0.5136,0.4722,0.5575,0.4503,0.5170,0.4571,0.3939,0.5115,0.5002,0.1259,0.5004,0.7995,0.2518,0.4861
slope-off,150,8470783202219573338,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,152,17772137834890927937,106,0,0.7203,1.1193,0.1889,0.4940,0.5021,0.4757,0.4395,0.4994,0.5094,0.5252,0.5057,0.5056,0.4749,0.4889,0.4846,0.2049,0.8597,0.5604,0.4382,0.5421
slope-off,153,18342898428436613402,37,0,0.6929,0.1426,0.0654,0.5333,0.5464,0.4546,0.4471,0.5083,0.5469,0.5255,0.5269,0.5200,0.5042,0.5112,0.4495,0.6534,0.6144,0.1227,0.3244,0.5189
slope-off,167,2032086378150266972,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,176,11952505604730988221,176,0,0.7095,10.8889,0.3086,0.5087,0.4760,0.4675,0.4773,0.4696,0.4789,0.5115,0.5087,0.5176,0.4489,0.5586,0.4798,0.1586,0.9246,0.6304,0.8242,0.5123
slope-off,187,8763047393415748691,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,193,8220463173155164529,88,0,0.7758,7.4830,0.9392,0.5051,0.5267,0.5190,0.3554,0.5714,0.5299,0.5545,0.4801,0.5139,0.4668,0.4833,0.4900,0.0554,0.4384,0.7721,0.1799,0.5831
slope-off,221,15832016827759503071,209,0,0.6673,2.5770,0.3608,0.5644,0.5284,0.4790,0.4994,0.4914,0.4867,0.5143,0.4679,0.5046,0.5395,0.4896,0.4690,0.2235,0.6799,0.0514,0.6156,0.5188
slope-off,228,16361706065066808166,257,0,0.0511,21.2182,0.3928,0.5169,0.4934,0.4902,0.4898,0.5178,0.5315,0.5167,0.5095,0.4842,0.4434,0.4901,0.4799,0.0832,0.5804,0.3662,0.3910,0.5222
slope-off,229,9983671094773859285,19,0,0.6496,17.0327,0.3596,0.5899,0.4832,0.4538,0.4903,0.4147,0.5058,0.3740,0.4375,0.4538,0.4638,0.5391,0.4084,0.5676,0.9714,0.6524,0.0587,0.5986
slope-off,238,11851526107216133339,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,243,16431183711978069152,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,42,9516596721953753597,137,0,0.7458,0.9029,0.0889,0.3945,0.4918,0.4888,0.5577,0.4895,0.5782,0.4943,0.4723,0.4765,0.5784,0.5044,0.4565,0.0516,0.4569,0.5745,0.6334,0.4596
slope-on,52,9118286766399708378,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,53,12561886992034013550,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,55,1502603721908875021,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,58,15678252076542360195,123,0,0.6180,16.4350,0.4702,0.4815,0.5845,0.4895,0.4844,0.5483,0.5464,0.4577,0.4188,0.4771,0.5213,0.5087,0.4400,0.1114,0.6970,0.1224,0.6892,0.4574
slope-on,69,4380092502565101592,22,0,0.6402,3.2532,0.4626,0.5284,0.5265,0.4041,0.5664,0.5350,0.4312,0.4838,0.5316,0.5438,0.4988,0.4493,0.4617,0.5316,0.7068,0.1998,0.9213,0.4411
slope-on,74,6888501002354327438,132,0,0.7327,2.6740,0.2545,0.4491,0.5220,0.5023,0.4713,0.5065,0.5365,0.4896,0.4720,0.5549,0.4971,0.5140,0.4201,0.0322,0.3895,0.0685,0.6859,0.4795
slope-on,80,1104737508126178545,5,0,0.6484,6.7978,0.6431,0.4913,0.5076,0.5849,0.5501,0.4685,0.4726,0.5464,0.4869,0.4414,0.4491,0.5541,0.5837,0.4478,0.7990,0.3323,0.8724,0.5243
slope-on,98,7131983907985146456,48,0,0.7212,5.0169,0.3460,0.5587,0.4417,0.4727,0.3944,0.5182,0.4436,0.4469,0.4713,0.4630,0.5469,0.5558,0.4822,0.2457,0.6132,0.1767,0.5482,0.4696
slope-on,101,17334631578846940386,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,107,3856504739628833961,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,114,426473735798956965,17,0,0.7249,20.8014,0.4503,0.4625,0.4725,0.4164,0.4058,0.4054,0.4691,0.5232,0.5575,0.6136,0.3830,0.5315,0.4858,0.4602,0.5795,0.3125,0.6601,0.6037
slope-on,118,11462332560997233434,233,0,0.7045,7.3243,0.2594,0.4606,0.5203,0.4785,0.4675,0.4633,0.4887,0.4867,0.5124,0.5312,0.4852,0.4068,0.4588,0.1486,0.7940,0.6738,0.4723,0.4460
