schema=1
code_revision=3ea7884
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=false
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=true
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-off,187,11183259340883602627,40,0,0.7448,0.9882,0.1473,0.4615,0.4826,0.5372,0.5822,0.6004,0.4470,0.5639,0.5333,0.4500,0.5254,0.5119,0.5515,0.3865
slope-off,193,12958995260784268546,424,0,0.5306,12.8347,0.4750,0.4757,0.5419,0.5187,0.5101,0.5047,0.5082,0.5573,0.4585,0.4780,0.4630,0.4862,0.4826,0.5273
slope-off,221,10366716167213027692,208,0,0.6147,4.7471,0.4980,0.5247,0.4880,0.4842,0.4879,0.5475,0.5048,0.5168,0.4955,0.4760,0.4864,0.4816,0.4560,0.5402
slope-off,228,9828168005598956559,314,0,0.6517,23.0874,0.3935,0.4862,0.4788,0.5140,0.5324,0.5253,0.5261,0.5246,0.5044,0.4986,0.5305,0.4909,0.5124,0.5113
slope-off,229,2294974924500358717,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,238,6183771839969985270,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,243,16431183711978069152,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,42,18088766249079538363,4,0,0.7045,11.1735,1.3034,0.4605,0.4326,0.5687,0.3974,0.5786,0.4668,0.5266,0.5577,0.3912,0.5500,0.5011,0.4107,0.4684
slope-on,52,911311215952395019,289,0,0.5016,6.0756,0.6128,0.4535,0.5238,0.4392,0.5346,0.5609,0.5272,0.5187,0.5232,0.5541,0.5000,0.4880,0.5256,0.5069
slope-on,53,1164136596590254935,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,55,14549605007545714684,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,58,4826704291655456180,163,0,0.4859,17.9661,0.3279,0.4538,0.5689,0.5314,0.4590,0.5404,0.4736,0.4956,0.5053,0.5197,0.4952,0.5181,0.4958,0.4488
slope-on,69,1258771300392615816,285,0,0.6466,2.7069,0.3971,0.5498,0.5073,0.4976,0.5053,0.5073,0.4768,0.4521,0.4752,0.4928,0.4785,0.4474,0.5046,0.5226
slope-on,74,9441881040740151402,177,0,0.7017,1.1408,0.3231,0.4893,0.4810,0.4524,0.4908,0.4875,0.5263,0.4736,0.4772,0.4794,0.4956,0.5598,0.4193,0.4951
slope-on,80,10154144818546359417,372,0,0.4787,9.4934,0.7214,0.4949,0.5061,0.5775,0.5162,0.4801,0.5006,0.5003,0.4806,0.4991,0.4927,0.5302,0.5197,0.5323
