schema=1
code_revision=0914369
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.35
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,neutral_marker
slope-off,42,17877655376783913824,450,0,0.3784,2.7146,0.3903,0.4927,0.5040,0.4516,0.4983,0.5254,0.5480,0.5242,0.4958,0.5158,0.5014,0.4619,0.4991,0.2744,0.5881,0.3074,0.5523,0.4943
slope-off,52,1848592054086169367,39,0,0.5999,5.0217,0.4666,0.4107,0.4825,0.4395,0.5109,0.5933,0.4947,0.5306,0.5405,0.5830,0.5203,0.4186,0.5050,0.2552,0.8893,0.9119,0.5189,0.5005
slope-off,53,17507477773329004580,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,55,12711561492566593810,21,0,0.6958,12.0941,0.6676,0.5452,0.5361,0.5541,0.4343,0.5102,0.4376,0.5844,0.5790,0.4965,0.4727,0.5611,0.5199,0.8582,0.5416,0.6681,0.1754,0.5971
slope-off,58,16335483993620013315,314,0,0.6968,16.1866,0.4325,0.4716,0.5361,0.5140,0.5012,0.5078,0.4966,0.4701,0.4663,0.5182,0.5172,0.4888,0.4664,0.2518,0.5700,0.1655,0.8007,0.5161
slope-off,69,3998510755011329272,198,0,0.6520,1.7250,0.2208,0.5212,0.4804,0.4728,0.4953,0.5013,0.4632,0.4885,0.4845,0.5043,0.5048,0.4667,0.4259,0.5639,0.9305,0.0738,0.4948,0.5008
slope-off,74,5229371735122130249,167,0,0.0846,2.6463,0.2433,0.4986,0.5011,0.4811,0.5090,0.5100,0.5511,0.4816,0.5188,0.5330,0.4934,0.5410,0.4144,0.2992,0.8867,0.3828,0.4665,0.4916
slope-off,80,4610694129956041153,84,0,0.5759,13.4659,0.7081,0.5004,0.4925,0.5167,0.5174,0.4941,0.4599,0.4735,0.4819,0.5235,0.4978,0.5058,0.4827,0.4330,0.8247,0.4134,0.8065,0.5573
slope-off,98,16871785132900034687,35,0,0.4272,2.8709,0.3081,0.4338,0.5081,0.4662,0.4039,0.6231,0.4097,0.3871,0.5322,0.4924,0.5174,0.4549,0.5246,0.7905,0.2328,0.7450,0.2921,0.4985
slope-off,101,7085699202614174658,38,0,0.6211,1.9879,0.2418,0.5050,0.4155,0.5138,0.5348,0.4258,0.4765,0.5180,0.5164,0.5236,0.4320,0.4532,0.5508,0.5221,0.9205,0.6280,0.9129,0.5607
slope-off,107,18093963458287467395,379,0,0.0579,13.7882,0.7052,0.4455,0.5076,0.5429,0.5255,0.4904,0.5292,0.5575,0.4952,0.5018,0.4927,0.4751,0.4606,0.1061,0.3896,0.5210,0.1632,0.4985
slope-off,114,17265985409718824963,310,0,0.4214,23.5166,0.3880,0.5232,0.4942,0.4748,0.4841,0.4766,0.5161,0.5052,0.5153,0.5554,0.5126,0.5238,0.4519,0.3484,0.8217,0.3956,0.5497,0.5182
slope-off,118,6075714662298824921,307,0,0.6023,6.5871,0.3065,0.4815,0.5149,0.4625,0.4924,0.5032,0.5051,0.4634,0.4980,0.5305,0.4680,0.4404,0.4798,0.2369,0.8596,0.6287,0.3282,0.5034
slope-off,120,7241663463455650382,32,0,0.4561,4.4847,0.8046,0.4829,0.5349,0.5381,0.5409,0.4830,0.5492,0.5478,0.4848,0.5315,0.4681,0.4951,0.5300,0.7537,0.7876,0.5010,0.4485,0.5473
slope-off,128,16420481899007060718,158,0,0.6955,15.5844,0.5642,0.4944,0.4862,0.5474,0.3771,0.4665,0.5083,0.4975,0.5243,0.5785,0.4934,0.5056,0.4932,0.3945,0.8729,0.1213,0.3409,0.4879
slope-off,135,5738307624360034989,274,0,0.6814,5.2703,0.2914,0.5004,0.4895,0.5042,0.5349,0.4804,0.4816,0.5284,0.4843,0.5012,0.5116,0.4954,0.4577,0.1490,0.7020,0.7935,0.5558,0.4844
slope-off,147,3465668653810658289,271,0,0.6606,9.5738,0.2987,0.4923,0.5248,0.4791,0.5290,0.4892,0.4363,0.4956,0.5255,0.5548,0.4817,0.4942,0.4678,0.1109,0.7188,0.2244,0.6844,0.5525
slope-off,148,12544335045312048712,47,0,0.5920,10.5387,0.3893,0.4909,0.4778,0.4363,0.4306,0.5138,0.4985,0.4962,0.4795,0.4292,0.4518,0.5123,0.5045,0.5261,0.6761,0.3642,0.3909,0.5169
slope-off,150,4999645741308059017,41,0,0.5649,4.9223,0.3949,0.4402,0.5312,0.5809,0.5073,0.4772,0.5142,0.5053,0.4739,0.4552,0.5465,0.4941,0.5009,0.4798,0.6180,0.6695,0.8910,0.5553
