arm,seed,mean_site_occupancy,trait_delta,dispersal_delta,final_population,highest_plant_generation,state_hash
drift-seed-production-disabled,118,0.385663,-0.031423,0.163065,48,19,1693330256399637863
drift-seed-production-disabled,119,0.298171,0.070366,0.104632,48,16,2872189192242937625
drift-seed-production-disabled,120,0.314363,-0.024992,0.071096,48,16,18325470918201102239
drift-seed-production-disabled,121,0.261828,0.033968,0.054237,48,15,2654738774778964634
drift-seed-production-disabled,122,0.342633,-0.009606,0.169958,48,18,17406108133565579644
drift-seed-production-disabled,123,0.278520,0.028972,0.035821,48,18,1230181045725420720
drift-seed-production-disabled,124,0.316843,0.001440,0.115420,48,20,2407540010727499558
drift-seed-production-disabled,125,0.341896,-0.020771,0.127656,48,15,3616417069335730943
drift-seed-production-disabled,126,0.372135,0.029847,0.141241,48,17,13185872354038263869
drift-seed-production-disabled,127,0.322401,0.012325,0.124484,48,16,1863358844119570481
drift-seed-production-disabled,128,0.311109,0.005989,0.125761,48,18,14768081334702648242
drift-seed-production-disabled,129,0.318132,0.103513,0.134431,48,17,9132580998660558003
drift-seed-production-disabled,130,0.339782,-0.030818,0.211578,48,17,10071288152625765916
drift-seed-production-disabled,131,0.325881,0.022684,0.114489,48,17,16550924060141950022
drift-seed-production-disabled,132,0.326700,0.032196,0.076498,48,13,10885211806337839134
drift-seed-production-disabled,133,0.269827,-0.108847,0.061624,48,17,9020746540613746485
drift-seed-production-disabled,134,0.289683,-0.022752,0.082700,48,15,6039754262548789851
drift-seed-production-disabled,135,0.309553,0.002016,0.100170,48,16,3374147561866475867
drift-seed-production-disabled,136,0.389676,0.134017,0.154436,48,17,4474510764680622665
drift-seed-production-disabled,137,0.312695,0.044048,0.055594,48,15,13506117146346863969
drift-seed-production-disabled,138,0.417887,-0.017682,0.208355,48,19,14296290332324257384
drift-seed-production-disabled,139,0.335673,0.150981,0.165628,48,16,6850570765846497742
drift-seed-production-disabled,140,0.344679,-0.053374,0.134381,48,17,2620643506993374430
drift-seed-production-disabled,141,0.311235,0.060731,0.100300,48,15,5249219360084821168
drift-seed-production-disabled,142,0.421524,0.018592,0.130424,48,19,3398567573341017820
drift-seed-production-disabled,143,0.375109,0.028317,0.178093,48,21,12467597372690779122
drift-seed-production-disabled,144,0.361774,-0.065296,0.107487,48,16,11827941732223143588
drift-seed-production-disabled,145,0.391432,0.005513,0.113000,48,17,9167573185054704813
drift-seed-production-disabled,146,0.275997,0.002089,0.055572,48,15,18209368134919824073
drift-seed-production-disabled,147,0.290823,0.025748,0.106799,48,16,6641965624168447818
drift-seed-production-disabled,148,0.357067,-0.027080,0.103504,48,16,10639099458443331932
drift-seed-production-disabled,149,0.346681,-0.032225,0.130297,48,19,7417075589762649692
drift-seed-production-disabled,150,0.372452,0.163272,0.177467,48,17,9721458883190858241
drift-seed-production-disabled,151,0.355417,0.033221,0.114695,48,19,13671426361770956619
drift-seed-production-disabled,152,0.308255,0.040450,0.125729,48,16,3092063894786791118
drift-seed-production-disabled,153,0.367847,-0.014836,0.133703,48,18,8512427147180400352
drift-seed-production-disabled,154,0.304613,-0.036263,0.113876,48,16,17860996053070990534
drift-seed-production-disabled,155,0.309304,-0.001431,0.149439,48,17,7527939941529337683
drift-seed-production-disabled,156,0.434601,-0.059670,0.145198,48,17,1381069610183485255
drift-seed-production-disabled,157,0.307838,0.160513,0.128047,48,18,3600911135314197115
drift-seed-production-disabled,158,0.339009,0.001663,0.122292,48,15,13842677414053501074
drift-seed-production-disabled,159,0.312390,-0.029932,0.091258,48,16,12105575580911017292
drift-seed-production-disabled,160,0.300947,-0.058402,0.055208,48,17,1414893644222613997
drift-seed-production-disabled,161,0.302594,-0.063502,0.083488,48,14,15891286473269986114
growth,42,0.368764,-0.003684,0.116258,48,14,941061041851419050
growth,43,0.362205,-0.027189,0.223032,48,26,17541102027901861499
growth,44,0.363519,-0.024826,0.154497,48,20,1741490159052669774
growth,45,0.334512,-0.004459,0.082815,48,14,8963985766595291500
growth,46,0.291622,-0.015726,0.065256,48,13,4101015385596426938
growth,47,0.305984,0.071773,0.130947,48,17,9952505526440057690
