MANIPULATION hashes differed 120/120
MANIPULATION mate-seek decision-ticks off=5520825 on=6223462 delta=12.73%
MANIPULATION flee decision-ticks off=5752666 on=4270468 delta=-25.77%
EXTINCT off=75/120 on=66/120
BIRTHS mean off=279.56 on=292.37 delta=12.808 t=2.04 up=72 down=48 tied=0

# schema=1
# code_revision=ZZZ probe at head 71624ff
# scenario_id=p4-watchable-starter-habitat
# scenario_layout_fingerprint=12748958029872398774
# scenario_resource_count=4
# first_seed=42
# seed_count=120
# ticks=12000
# WorldSeed=42
# InitialPopulation=12
# MaximumPopulation=84
# FounderProfile=PredationVariation
# DecisionPolicyVersion=IntentUtilityV1
# BaseFrequencyHz=20
# CognitionEnabled=true
# PhysiologyEnabled=true
# PlantCohortsEnabled=true
# PredationEconomicsEnabled=false
# ForagingEconomicsEnabled=false
# DecisionStaggerEnabled=false
# MultiThreatPerceptionEnabled=false
# RestBehaviorEnabled=false
# JuvenileCapabilityEnabled=false
# ParentalFollowingEnabled=false
# KinRecognitionEnabled=false
# LearnedResourceQualityEnabled=false
# MateSelectionEnabled=true
# PlantSiteCompetitionEnabled=false
# PlantMortalityEnabled=false
# PlantDefenseDeterrenceEnabled=false
# PlantQualityPreferenceEnabled=false
# PlantTemperatureAdaptationEnabled=false
# PlantFertilityAdaptationEnabled=false
# ProceduralEnvironmentFieldsEnabled=false
# ElevationFieldEnabled=false
# PlantEstablishmentContestEnabled=false
# PlantInvaderEstablishmentContestEnabled=false
# PlantSeedProductionRateEnabled=false
# SafetyGatedMateRendezvousEnabled=false
# HomeRangeAffinityEnabled=false
# PlantSeedProductionRateDispersalCharge=2
# PlantDefenseDeterrenceStrength=0.75
# ThreatFalloffDistance=10
arm,seed,births,deaths,predation_deaths,starvation_deaths,final_population,mate_seek_ticks,flee_ticks,creature_ticks,state_hash
gate-on,75,270,282,2,32,0,25890,55890,535358,397766060990712993
gate-off,76,266,278,13,21,0,38410,39120,531793,12440845155819350665
gate-on,76,263,275,4,28,0,44130,52220,545663,10218328471558979768
gate-off,77,257,269,12,17,0,25400,50945,508498,4758189342270217081
gate-on,77,221,152,1,0,81,18849,36807,377164,15887304428778624947
gate-off,78,310,317,5,24,5,41660,52265,615838,9766993286578542733
gate-on,78,263,275,6,25,0,25290,59660,520538,14819583750415546673
gate-off,79,248,176,0,0,84,64574,16201,435602,16108872441703645449
gate-on,79,8,20,0,0,0,330,8340,36298,13576256492247195118
gate-off,80,276,288,2,32,0,37530,26370,545818,2439344747832216905
gate-on,80,303,315,0,37,0,42700,30750,602108,14235373698107214933
gate-off,81,271,283,0,32,0,36460,23360,536678,3397005408837784296
gate-on,81,340,352,6,39,0,69190,16080,660248,11019090659251265953
gate-off,82,247,255,13,29,4,27680,113290,527087,15242178608307873834
gate-on,82,251,263,7,22,0,42340,52105,513443,13867402650189247169
gate-off,83,320,325,12,16,7,44010,125590,638355,14702897799717050025
gate-on,83,376,356,0,12,32,97200,14030,748390,17009622207009598263
gate-off,84,247,259,18,12,0,17700,103680,493248,1947017704185338129
gate-on,84,313,325,0,43,0,53220,36360,619928,9068882936460832297
gate-off,85,385,313,1,0,84,76014,33390,692902,13037193912964258325
gate-on,85,355,284,2,0,83,79316,8805,636896,18148851828822151475
gate-off,86,311,239,2,0,84,51106,22815,560617,6794718165946920720
gate-on,86,267,195,2,0,84,33862,62348,457097,9808020127102515619
gate-off,87,251,263,5,29,0,21810,60985,497908,14724824093931345228
gate-on,87,256,268,3,25,0,34340,46410,506683,6924554786909289928
gate-off,88,281,293,6,32,0,38920,41055,548678,7173749014290236414
gate-on,88,260,272,1,29,0,33710,26195,505343,17532940220802731941
gate-off,89,278,290,2,35,0,49180,68960,547258,12003156163944118336
gate-on,89,342,315,0,6,39,99390,34990,683277,11952194103428352236
gate-off,90,4,16,2,0,0,150,6040,27598,12735058104365205202
gate-on,90,1,13,1,0,0,40,5470,22778,17335853275247617205
gate-off,91,270,282,10,21,0,37900,59655,553703,5203776970178989326
gate-on,91,274,286,6,25,0,49040,70820,562998,13136771500942694147
gate-off,92,289,301,5,30,0,37600,49265,567013,11713367799550621373
gate-on,92,308,320,5,35,0,46680,33510,597768,7643239346141938214
gate-off,93,271,283,6,25,0,38390,33860,542953,15052159241882305128
gate-on,93,274,286,1,33,0,35860,28060,530938,3852161284421600276
gate-off,94,303,315,11,17,0,46410,57530,598758,3653443440543907916
gate-on,94,324,336,1,31,0,54670,37430,647798,5115730684164385728
gate-off,95,298,310,7,24,0,45840,39775,585413,18280865400762630657
gate-on,95,325,337,3,45,0,54000,34490,643488,15546514503625180663
gate-off,96,243,255,4,28,0,26770,22805,480633,15573467368112255789
gate-on,96,265,277,3,32,0,40890,24705,521163,3084117528781759771
gate-off,97,13,25,2,0,0,360,10240,44178,6711885556943095160
gate-on,97,9,21,2,0,0,290,8435,36453,8313316343994757762
gate-off,98,252,264,6,31,0,39470,40810,498558,5440386277510122571
gate-on,98,302,314,9,29,0,63480,39230,591798,3950252708442090920
gate-off,99,346,351,6,20,7,70870,14940,702865,8612946445521645705
gate-on,99,282,294,0,30,0,26940,16680,573288,955172636077050302
gate-off,100,428,356,2,0,84,127561,7545,793197,10710903327275947560
gate-on,100,414,342,1,0,84,109122,3835,781317,2088004681885636905
gate-off,101,19,31,0,0,0,690,17810,57518,9611265978281241820
gate-on,101,265,216,2,0,61,43410,36611,529469,9440974296317745650
gate-off,102,283,295,1,35,0,53530,23550,566468,14807318332213476239
gate-on,102,275,203,1,0,84,72117,8490,512322,1144084750907664530
gate-off,103,257,269,11,15,0,33290,43530,522308,6503196386077563254
gate-on,103,295,307,3,31,0,44670,19240,582603,9816294750456526142
gate-off,104,256,268,6,16,0,43950,57580,515373,15951683617482151410
gate-on,104,278,290,7,27,0,43990,25925,576078,11827606899582443238
gate-off,105,275,287,0,34,0,39290,28950,540048,4367192094924664224
gate-on,105,294,305,3,29,1,42310,66635,590884,4443158352615432939
gate-off,106,278,290,15,16,0,36190,50355,551673,16794646383849079762
gate-on,106,345,355,0,32,2,81570,20990,685120,5976202078369050276
gate-off,107,383,311,2,0,84,110878,8215,684677,17710170339156075789
gate-on,107,368,298,3,0,82,121107,10570,666350,12559059883721337505
gate-off,108,383,324,0,0,71,114830,37951,730689,17418166458611499751
gate-on,108,268,280,1,37,0,36880,45930,522768,15038366518095104345
gate-off,109,253,265,3,19,0,24270,47615,500218,14647970899944734048
gate-on,109,318,259,1,0,71,46720,36610,587829,5073316917465324668
gate-off,110,294,295,5,21,11,34350,71915,575979,17390820751378853205
gate-on,110,252,180,1,0,84,57402,12695,470017,3628507091328890837
gate-off,111,341,353,4,39,0,63890,24190,674243,2275798930449237448
gate-on,111,276,288,7,15,0,41460,19045,540168,5316381137112247901
gate-off,112,12,24,2,0,0,370,12410,42268,3027598496556444070
gate-on,112,326,254,3,0,84,55982,55076,573987,7121109346168991211
gate-off,113,322,330,1,34,4,69550,38340,640362,15505559319083644196
gate-on,113,275,287,0,33,0,52500,22220,540588,12525498350228075556
gate-off,114,339,349,7,39,2,57190,45335,693210,4418869185329067668
gate-on,114,276,288,7,22,0,43840,47330,569198,6490717808923993842
gate-off,115,256,268,12,17,0,41570,58750,510598,15361262836802175231
gate-on,115,272,201,3,0,83,26468,72085,465441,16473323495262109250
gate-off,116,265,193,0,0,84,15294,79894,455532,7957405055130815359
gate-on,116,320,330,3,33,2,47160,56611,626995,17615423443458949263
gate-off,117,313,325,12,20,0,44120,77860,621758,5165834235837388131
gate-on,117,264,276,2,32,0,28610,38880,515013,10653836691377071907
gate-off,118,365,375,0,42,2,97230,15290,734170,9357945634898144654
gate-on,118,243,255,3,29,0,24570,43265,483693,16120560113081856975
gate-off,119,295,307,12,19,0,40530,56585,579343,5347020242086451829
gate-on,119,310,322,1,34,0,55570,43595,604433,15829812853942585969
gate-off,120,316,274,2,1,54,77710,59341,645862,17774709888638027663
gate-on,120,320,248,5,0,84,64882,56677,585337,8425322120922977184
gate-off,121,361,340,6,3,33,68630,39758,710166,9512187352068634372
