schema=1
code_revision=9a7284d
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=true
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.55
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,13235039137386458938,89,0,0.7865,13.5111,1.2014,0.4677,0.4712,0.4321,0.4968,0.4751,0.5964,0.5269,0.4716,0.4993,0.5747,0.4803,0.4857,0.0448,0.2352,0.6206,0.2022,0.7806,0.2940,0.4695
slope-off,52,9030624490507408786,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,53,2388186626043628979,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,55,5814117259433623644,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,58,6221923732943035801,79,0,0.7642,14.7079,0.5730,0.4740,0.5727,0.5039,0.5233,0.6308,0.5321,0.4665,0.4621,0.5270,0.4737,0.5529,0.4638,0.1157,0.3269,0.2187,0.7350,0.3945,0.2175,0.4809
slope-off,69,13960180114849278407,20,0,0.6977,1.4675,0.2894,0.5970,0.4799,0.4563,0.6002,0.5523,0.4939,0.4805,0.5620,0.5121,0.4635,0.4471,0.3792,0.6900,0.8725,0.1026,0.5132,0.1512,0.9122,0.4825
slope-off,74,11385791968314879671,246,0,0.7428,0.8850,0.2548,0.4601,0.5080,0.4833,0.5501,0.4951,0.5238,0.4932,0.4734,0.5281,0.4998,0.5333,0.3941,0.2438,0.8971,0.5615,0.2087,0.8217,0.6807,0.4922
slope-off,80,16519509574212103746,148,0,0.6238,16.6706,0.9009,0.5233,0.4759,0.5763,0.4783,0.4904,0.4779,0.4477,0.4707,0.4837,0.4967,0.5083,0.5351,0.1457,0.8507,0.5273,0.8661,0.7327,0.6302,0.5581
slope-off,98,16696222752536388038,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,101,15089696636115516346,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
