schema=1
code_revision=9a7284d
scenario_id=p6-defense-calibration-regen3.00
scenario_layout_fingerprint=5940183082593059794
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,148,16426098478788036991,68,0,0.6472,11.4098,0.3795,0.5380,0.5008,0.4466,0.4418,0.5383,0.4696,0.4292,0.5111,0.5250,0.4586,0.5743,0.5002,0.4870,0.8040,0.2139,0.3096,0.9175,0.9302,0.4955
slope-off,150,8743404064391872795,56,0,0.6998,6.6529,0.5829,0.4543,0.5555,0.5295,0.5730,0.4832,0.4930,0.4439,0.4942,0.5337,0.5486,0.5152,0.4632,0.1410,0.8012,0.8194,0.2217,0.7328,0.6655,0.4762
slope-off,152,16650372582634771384,34,0,0.5445,2.7202,0.3933,0.5112,0.4676,0.4402,0.4651,0.4997,0.5021,0.4726,0.4949,0.5359,0.4656,0.5353,0.5099,0.4770,0.2698,0.5237,0.4192,0.6590,0.5874,0.5283
slope-off,153,10439338654870786076,16,0,0.6980,0.5823,0.2215,0.4711,0.5582,0.4684,0.4312,0.5526,0.5534,0.5220,0.5219,0.5374,0.5087,0.5346,0.4762,0.5670,0.7499,0.8740,0.9845,0.1464,0.8240,0.5394
slope-off,167,4673175840330948128,88,0,0.6762,4.1434,0.3513,0.5137,0.4842,0.5116,0.4049,0.4474,0.4643,0.5250,0.4740,0.5047,0.4823,0.5644,0.5435,0.4171,0.8039,0.0924,0.1297,0.2441,0.0442,0.4828
slope-off,176,1213768036491747085,289,0,0.6699,10.8843,0.2565,0.5438,0.4909,0.5094,0.4627,0.4687,0.4371,0.5153,0.5241,0.4871,0.3888,0.5820,0.4253,0.2907,0.8854,0.4154,0.3718,0.5621,0.5027,0.5373
slope-off,187,16877960194212830975,37,0,0.7440,1.7102,0.2443,0.5579,0.4765,0.4722,0.5028,0.5204,0.4385,0.5326,0.4777,0.4362,0.4428,0.4838,0.6318,0.3365,0.8667,0.2045,0.7214,0.7419,0.4497,0.5046
slope-off,193,9491224600708811639,100,0,0.6772,9.0261,0.4955,0.4931,0.5189,0.5161,0.4872,0.5338,0.5236,0.5091,0.4826,0.4924,0.4342,0.4692,0.4633,0.2344,0.4227,0.4339,0.6406,0.6609,0.6519,0.5382
slope-off,221,10020640731527165355,338,0,0.6382,5.5046,0.5429,0.5383,0.5033,0.4904,0.4965,0.5263,0.4867,0.5132,0.4804,0.4983,0.4936,0.4792,0.4561,0.3788,0.8066,0.2686,0.5088,0.8414,0.5943,0.5337
slope-off,228,12861695683842191003,40,0,0.6086,22.4527,0.3726,0.4872,0.4560,0.4803,0.4913,0.4822,0.5296,0.4860,0.4690,0.5187,0.5295,0.5007,0.4911,0.5399,0.8159,0.4056,0.5843,0.4341,0.7690,0.5123
slope-off,229,9610256221926039458,89,0,0.7282,13.5941,0.5690,0.5334,0.4228,0.4739,0.4434,0.3760,0.5352,0.4433,0.4901,0.4822,0.4862,0.5639,0.4485,0.4844,0.9634,0.0414,0.3652,0.4056,0.8275,0.5660
slope-off,238,16811998689351930590,96,0,0.7373,0.5097,0.1611,0.5238,0.4347,0.4942,0.4770,0.5485,0.4487,0.5255,0.4879,0.4030,0.5365,0.5508,0.5248,0.0861,0.8899,0.8471,0.3447,0.3594,0.9483,0.4929
slope-off,243,15380108034361987454,75,0,0.6240,18.3251,0.5900,0.4570,0.5651,0.5222,0.5667,0.5153,0.4856,0.5428,0.5252,0.5589,0.5322,0.5154,0.4311,0.4291,0.2385,0.0705,0.6590,0.5329,0.3876,0.5358
slope-on,42,2171104202281329613,294,0,0.6885,5.2821,0.4203,0.4657,0.4967,0.4951,0.4981,0.4882,0.5428,0.5329,0.4898,0.4861,0.5323,0.4930,0.4527,0.1603,0.6614,0.2226,0.3912,0.5248,0.6943,0.4764
slope-on,52,8365282299205868327,20,0,0.6226,5.2533,0.5046,0.4316,0.5201,0.4569,0.4971,0.5819,0.4819,0.5178,0.5080,0.6278,0.4701,0.4980,0.5061,0.3609,0.6374,0.7247,0.4376,0.6358,0.0786,0.5228
slope-on,53,11218876810652251714,159,0,0.7271,13.8429,0.4068,0.5054,0.5229,0.5123,0.4850,0.4377,0.5165,0.4835,0.5310,0.4968,0.5036,0.4967,0.4491,0.1039,0.8511,0.4268,0.8314,0.1961,0.4237,0.4949
slope-on,55,998608774567030942,379,0,0.6629,9.2341,0.6200,0.4956,0.5053,0.4895,0.5288,0.5127,0.5111,0.5081,0.5869,0.5308,0.4459,0.5035,0.4840,0.0679,0.5857,0.6901,0.7985,0.5227,0.5775,0.5402
slope-on,58,6602219844362187449,179,0,0.6434,12.0750,0.6708,0.4758,0.5459,0.5192,0.5301,0.4978,0.4929,0.4480,0.5253,0.5138,0.4708,0.5029,0.4572,0.2035,0.4910,0.2526,0.3217,0.5999,0.7349,0.4741
slope-on,69,7265304420742108484,33,0,0.6693,2.6060,0.3911,0.5146,0.5082,0.5033,0.4550,0.5017,0.4989,0.4985,0.4835,0.5188,0.4273,0.5137,0.4014,0.6848,0.7247,0.3057,0.9159,0.6701,0.5820,0.5273
slope-on,74,10961405929356902701,89,0,0.7408,1.3698,0.2332,0.5365,0.4711,0.4672,0.5469,0.5308,0.5628,0.4787,0.4780,0.5043,0.5245,0.5337,0.4002,0.1997,0.7256,0.3778,0.4067,0.6114,0.6636,0.4816
slope-on,80,12015406475134315435,103,0,0.6870,6.5802,0.5223,0.5224,0.4994,0.5453,0.5283,0.4711,0.4974,0.4968,0.4749,0.5049,0.5020,0.5234,0.5048,0.3801,0.8491,0.2214,0.7908,0.6301,0.8406,0.4755
slope-on,98,4133021430942442784,496,0,0.7105,3.2921,0.3407,0.4894,0.4870,0.5146,0.4699,0.5204,0.4681,0.4908,0.4963,0.5023,0.4968,0.5047,0.5065,0.1578,0.7624,0.5417,0.2124,0.3293,0.8868,0.4606
slope-on,101,13830946627085397306,34,0,0.4824,2.5111,0.2713,0.5383,0.4984,0.4579,0.4708,0.4358,0.4971,0.4942,0.5108,0.5535,0.4845,0.5091,0.5068,0.9266,0.8870,0.2519,0.6337,0.4893,0.0931,0.5385
slope-on,107,10254445939826383844,269,0,0.7026,14.6997,0.7336,0.4790,0.5132,0.5577,0.4635,0.4767,0.5812,0.5573,0.5015,0.4841,0.4877,0.5441,0.4176,0.0597,0.4220,0.6371,0.1320,0.4563,0.6758,0.4944
slope-on,114,8442942387641695977,257,0,0.5959,22.3139,0.4182,0.5295,0.4528,0.4731,0.4688,0.4911,0.4442,0.5121,0.5237,0.5394,0.4389,0.5105,0.4446,0.4177,0.7526,0.2127,0.4342,0.5699,0.4031,0.5410
slope-on,118,10135271399807012293,339,0,0.6716,7.2751,0.2878,0.4658,0.5148,0.4736,0.4931,0.4727,0.5142,0.4942,0.5178,0.5257,0.4567,0.4312,0.5120,0.1325,0.6324,0.3960,0.6467,0.6541,0.6572,0.4771
slope-on,120,9921212839104325434,22,0,0.5916,6.0866,0.6819,0.4598,0.5573,0.5818,0.5517,0.4735,0.5408,0.4881,0.5562,0.5238,0.4224,0.4558,0.4823,0.6302,0.6088,0.4970,0.4098,0.6333,0.6563,0.5001
slope-on,128,5696758134664516903,177,0,0.6610,14.2114,0.5725,0.4608,0.4853,0.5279,0.4009,0.5019,0.5625,0.5034,0.5382,0.5268,0.5220,0.5361,0.5125,0.3455,0.9005,0.1640,0.6017,0.4550,0.8564,0.5173
slope-on,135,14680832729930243785,171,0,0.6971,1.5742,0.2208,0.5223,0.4887,0.5008,0.5123,0.4798,0.4685,0.5320,0.4500,0.5087,0.5712,0.4824,0.4660,0.0548,0.7080,0.7606,0.5370,0.1607,0.6924,0.5006
slope-on,147,16724699838491566461,201,0,0.6193,11.6100,0.3390,0.5360,0.5230,0.5466,0.5539,0.4784,0.4652,0.5715,0.4640,0.5289,0.4848,0.5192,0.4569,0.2028,0.8226,0.7069,0.7279,0.4568,0.4260,0.4799
