schema=1
code_revision=0914369
scenario_id=p6-defense-calibration-regen1.75
scenario_layout_fingerprint=3109172337936597970
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,neutral_marker
slope-off,42,5878662540899405785,255,0,0.6639,9.0003,0.6859,0.4652,0.4855,0.4380,0.4771,0.5174,0.5449,0.4917,0.4842,0.4865,0.5548,0.4962,0.4355,0.0966,0.5190,0.3042,0.3406,0.4773
slope-off,52,12707916516326553639,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,53,185360415748396343,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,55,10870467518003689220,18,0,0.6736,7.6178,0.5976,0.4644,0.5014,0.4980,0.5423,0.5207,0.4786,0.5372,0.5509,0.4964,0.5282,0.4962,0.4695,0.4412,0.6201,0.1514,0.0300,0.5140
slope-off,58,942381098708617137,176,0,0.5825,10.3224,0.8792,0.4813,0.5197,0.5000,0.4556,0.5621,0.5085,0.4758,0.4700,0.5080,0.5089,0.5162,0.4455,0.1337,0.5608,0.3122,0.6134,0.4890
slope-off,69,14690349922352890318,35,0,0.5181,2.8526,0.3685,0.5816,0.4870,0.5112,0.4889,0.5952,0.4622,0.5007,0.4843,0.5674,0.4400,0.4090,0.5175,0.7824,0.8152,0.5806,0.5559,0.4856
slope-off,74,1119992772411446266,38,0,0.7875,0.1076,0.1518,0.4829,0.4760,0.3965,0.5714,0.4906,0.5474,0.4849,0.4558,0.4595,0.5301,0.5087,0.3736,0.0244,0.8082,0.3620,0.4143,0.4453
slope-off,80,11269116391012869394,26,0,0.5849,13.2707,0.9497,0.4886,0.5017,0.5840,0.4739,0.5346,0.5055,0.4708,0.4976,0.4987,0.4962,0.4823,0.5481,0.5169,0.5121,0.5170,0.4180,0.5995
slope-off,98,6932602187526892975,68,0,0.6320,2.7201,0.3100,0.5174,0.4964,0.5332,0.4517,0.5483,0.4630,0.5066,0.5056,0.5101,0.5013,0.4614,0.4889,0.3004,0.9388,0.8632,0.5358,0.4812
slope-off,101,10790148723931245404,13,0,0.6265,2.6187,0.2142,0.5834,0.5256,0.5043,0.6192,0.4884,0.4590,0.4394,0.6354,0.5623,0.4934,0.5203,0.5772,0.9034,0.8804,0.1503,0.4834,0.5249
