arm,seed,mean_site_occupancy,trait_delta,dispersal_delta,final_population,highest_plant_generation,state_hash
lifespan-mortality-off,119,0.423853,0.005690,0.038340,48,11,12904292489530159601
lifespan-mortality-off,120,0.528299,-0.015803,0.030800,48,11,2854260866575136155
lifespan-mortality-off,121,0.434379,0.012841,0.007043,48,10,15410454988724216061
lifespan-mortality-off,122,0.472717,-0.005383,0.013985,48,13,2272932106563208677
lifespan-mortality-off,123,0.496600,-0.029207,0.041222,48,11,9639629798765204640
lifespan-mortality-off,124,0.470952,0.016031,0.039435,48,15,5470215907449053795
lifespan-mortality-off,125,0.540664,-0.012796,0.018284,48,12,9326213844144797376
lifespan-mortality-off,126,0.494779,0.041761,0.019334,48,11,14906063949253093315
lifespan-mortality-off,127,0.459202,-0.009329,0.040288,48,12,5012516168589889208
lifespan-mortality-off,128,0.464823,-0.000611,0.018929,48,10,151696945222659889
lifespan-mortality-off,129,0.472782,0.037375,0.039346,48,10,10359458421691824688
lifespan-mortality-off,130,0.408811,-0.012920,0.025705,48,12,5254614508828957132
lifespan-mortality-off,131,0.517586,0.006094,0.034761,48,13,7416075967323370955
lifespan-mortality-off,132,0.459089,-0.013335,0.015601,48,11,6636622879923614219
lifespan-mortality-off,133,0.441428,-0.023647,-0.004715,48,11,14848189859720834575
lifespan-mortality-off,134,0.439453,0.007715,0.015605,48,12,445578673463959351
lifespan-mortality-off,135,0.528465,-0.005631,0.046598,48,15,4011498042375092074
lifespan-mortality-off,136,0.465877,-0.026114,0.076410,48,14,2549342179964662175
lifespan-mortality-off,137,0.496495,0.050280,0.022759,48,12,18127349437331919736
lifespan-mortality-off,138,0.491854,0.022275,0.065520,48,15,17588406256657574752
lifespan-mortality-off,139,0.450727,-0.004019,0.013419,48,15,11038086668993262516
lifespan-mortality-off,140,0.543827,0.041700,0.034595,48,14,13686712535331044784
lifespan-mortality-off,141,0.438615,0.025023,0.001954,48,10,4275591165467534027
lifespan-mortality-off,142,0.551959,0.012182,0.059666,48,15,17262988873844788722
lifespan-mortality-off,143,0.440969,-0.033547,0.029492,48,11,7856344094468937004
lifespan-mortality-off,144,0.495938,0.005435,0.033900,48,11,748106405412435168
lifespan-mortality-off,145,0.472850,0.005730,0.042718,48,14,9770515755664692318
lifespan-mortality-off,146,0.431188,0.013917,0.009484,48,11,8587887555260044029
lifespan-mortality-off,147,0.483606,0.033482,0.069257,48,15,6911131191989767798
lifespan-mortality-off,148,0.507072,0.004268,0.039647,48,13,4439503815429802534
lifespan-mortality-off,149,0.468099,-0.012894,0.043895,48,12,12398855394207021853
lifespan-mortality-off,150,0.486217,-0.011923,0.019990,48,12,496192830709544102
lifespan-mortality-off,151,0.399707,0.016241,0.033852,48,9,5360133041681888917
lifespan-mortality-off,152,0.408508,-0.021252,0.011158,48,9,4436841064070567808
lifespan-mortality-off,153,0.489375,0.027672,0.047562,48,12,610411400189302843
lifespan-mortality-off,154,0.475227,0.005673,0.039624,48,17,3442236272436504954
lifespan-mortality-off,155,0.525630,0.025757,0.047899,48,14,7084032623342777688
lifespan-mortality-off,156,0.623947,0.050228,0.108227,48,16,2632704490722076461
lifespan-mortality-off,157,0.486840,0.015145,0.023981,48,13,11186812876221937648
lifespan-mortality-off,158,0.428781,-0.006637,0.052397,48,10,10131165575071276991
lifespan-mortality-off,159,0.463224,0.031244,0.028475,48,13,14627748668804310576
lifespan-mortality-off,160,0.415971,-0.023320,0.018714,48,11,5034005565267118610
lifespan-mortality-off,161,0.486137,-0.002780,0.014713,48,11,13153328776333284729
lifespan-mortality-on,42,0.368764,-0.003684,0.116258,48,14,941061041851419050
lifespan-mortality-on,43,0.362205,-0.027189,0.223032,48,26,17541102027901861499
lifespan-mortality-on,44,0.363519,-0.024826,0.154497,48,20,1741490159052669774
lifespan-mortality-on,45,0.334512,-0.004459,0.082815,48,14,8963985766595291500
lifespan-mortality-on,46,0.291622,-0.015726,0.065256,48,13,4101015385596426938
lifespan-mortality-on,47,0.305984,0.071773,0.130947,48,17,9952505526440057690
lifespan-mortality-on,48,0.383829,-0.049707,0.077188,48,15,8960023985446824191
lifespan-mortality-on,49,0.273284,-0.038075,0.099822,48,17,17777500070116107385
lifespan-mortality-on,50,0.340606,-0.003634,0.082256,48,15,5628518427742554737
lifespan-mortality-on,51,0.295390,0.072699,0.071276,48,17,3493727690439210153
lifespan-mortality-on,52,0.316171,-0.056105,0.065715,48,15,14703046619300395759
lifespan-mortality-on,53,0.354481,-0.021374,0.137663,48,13,5124709064276415384
lifespan-mortality-on,54,0.335199,0.004123,0.142322,48,15,6285262691903146181
lifespan-mortality-on,55,0.332366,-0.059155,0.217828,48,19,14349869433034831901
lifespan-mortality-on,56,0.342304,-0.027903,0.066143,48,16,3071019146960162969
lifespan-mortality-on,57,0.419435,-0.045792,0.164921,48,17,254819964469624292
lifespan-mortality-on,58,0.283989,-0.046389,0.077953,48,19,4644120204266228854
lifespan-mortality-on,59,0.343790,-0.059526,0.298704,48,21,15280233706822345916
lifespan-mortality-on,60,0.294402,0.012911,0.023989,48,14,15732888498106173517
lifespan-mortality-on,61,0.314234,0.002389,0.113475,48,19,14628766127918421563
lifespan-mortality-on,62,0.280101,-0.009773,0.092121,48,17,9611473480414519165
lifespan-mortality-on,63,0.313694,-0.006783,0.089820,48,15,12867967912545455081
lifespan-mortality-on,64,0.302184,0.001387,0.156190,48,20,17113383334668902199
lifespan-mortality-on,65,0.312864,0.049616,0.084544,48,12,6240947918874320749
lifespan-mortality-on,66,0.296001,-0.079586,0.051860,48,13,10984750910448188535
lifespan-mortality-on,67,0.323590,-0.087122,0.191993,48,19,9202559540397959328
lifespan-mortality-on,68,0.293623,-0.034016,0.088320,48,14,6989285651108628709
lifespan-mortality-on,69,0.431069,-0.047257,0.147090,48,19,7466412816149475963
lifespan-mortality-on,70,0.337193,-0.114396,0.155594,48,17,12634718609818503512
lifespan-mortality-on,71,0.391679,0.007111,0.179773,48,18,6252438167235764068
lifespan-mortality-on,72,0.379311,-0.002997,0.131282,48,17,13519349209469462086
lifespan-mortality-on,73,0.387798,-0.109079,0.144461,48,18,8535884220726930871
lifespan-mortality-on,74,0.299576,-0.004430,0.032463,48,14,13097219532089678149
lifespan-mortality-on,75,0.421789,-0.004693,0.192373,48,19,7902332504267758917
lifespan-mortality-on,76,0.275750,0.022945,0.037719,48,14,3308494364201875825
lifespan-mortality-on,77,0.291250,0.030261,0.086553,48,19,15487646460841197354
lifespan-mortality-on,78,0.284838,0.072733,0.017514,48,13,9813673986366848313
lifespan-mortality-on,79,0.346315,-0.005028,0.090618,48,15,16752254156119214770
lifespan-mortality-on,80,0.338947,0.068150,0.122191,48,14,9491865782453478417
lifespan-mortality-on,81,0.344663,-0.040268,0.033048,48,13,12493349042788323386
lifespan-mortality-on,82,0.379721,-0.020746,0.085803,48,14,1373996534728420637
lifespan-mortality-on,83,0.359882,-0.040942,0.104471,48,16,1130975592260271845
lifespan-mortality-on,84,0.382446,-0.066570,0.078538,48,15,8421421248802100576
lifespan-mortality-on,85,0.278323,-0.046411,0.137225,48,18,15246189676549238608
lifespan-mortality-on,86,0.283606,-0.042394,0.109607,48,15,17468679029910679882
lifespan-mortality-on,87,0.307934,-0.018113,0.057122,48,15,6421289982141966791
lifespan-mortality-on,88,0.316333,-0.006743,0.134398,48,15,13773519109897960998
lifespan-mortality-on,89,0.372926,-0.029786,0.111631,48,16,13281591126349017253
lifespan-mortality-on,90,0.333389,0.004372,0.186069,48,19,11424543227510689320
lifespan-mortality-on,91,0.338061,-0.015829,0.126305,48,16,10831588711745594083
lifespan-mortality-on,92,0.365262,-0.070799,0.102192,48,14,10733219422999494055
lifespan-mortality-on,93,0.415021,-0.002973,0.180077,48,19,4264419194701058387
lifespan-mortality-on,94,0.315357,0.053158,0.088257,48,15,4663382843233395798
lifespan-mortality-on,95,0.329878,-0.004692,0.114354,48,15,17703203548258512301
lifespan-mortality-on,96,0.327908,0.054617,0.172772,48,20,15412563348664745296
lifespan-mortality-on,97,0.320959,-0.008778,0.056850,48,13,8500917139027329462
lifespan-mortality-on,98,0.349318,0.007885,0.125657,48,13,14060867338066975571
lifespan-mortality-on,99,0.309656,0.072694,0.049593,48,17,14867951961416168743
lifespan-mortality-on,100,0.295680,-0.037547,0.114252,48,15,17621591278262731984
lifespan-mortality-on,101,0.313924,-0.137471,0.123398,48,17,1956071410136925631
lifespan-mortality-on,102,0.259227,0.020546,0.059449,48,16,11035205815997838224
lifespan-mortality-on,103,0.422581,-0.053180,0.220272,48,18,16387560518391801710
lifespan-mortality-on,104,0.318525,-0.078523,0.118716,48,17,12265198726131252950
lifespan-mortality-on,105,0.316031,-0.080751,0.071062,48,14,7925332982528377233
lifespan-mortality-on,106,0.335786,-0.050226,0.099219,48,17,2590472554050449376
lifespan-mortality-on,107,0.323840,0.039750,0.054317,48,12,14750787926129728334
lifespan-mortality-on,108,0.297778,0.020433,0.043524,48,14,16759785214130698052
lifespan-mortality-on,109,0.306279,-0.033062,0.089341,48,12,10142074530505295805
lifespan-mortality-on,110,0.305076,-0.022330,0.059969,48,16,13289936363382165520
lifespan-mortality-on,111,0.258291,0.004184,0.046836,48,13,5880955505381008058
lifespan-mortality-on,112,0.403438,0.086727,0.141057,48,17,11998959185332330263
lifespan-mortality-on,113,0.388307,0.012555,0.165769,48,19,12484019629537133422
lifespan-mortality-on,114,0.317198,-0.002045,0.040350,48,15,3165689331208518200
lifespan-mortality-on,115,0.367268,-0.048595,0.169413,48,17,1735922043644875333
