+arm,seed,mean_occupancy,seedling_resilience_delta,dispersal_delta,final_population,highest_plant_generation,state_hash
invader-24-off,117,0.904276,0.000462,0.033066,48,13,8339816820695848483
invader-24-off,118,0.890742,0.093158,0.072159,48,15,9075892128292849473
invader-24-off,119,0.900449,0.011045,-0.028796,48,14,18353408977866199037
invader-24-off,120,0.900742,-0.021839,0.092462,48,16,4612735665506407167
invader-24-off,121,0.914555,-0.000474,-0.005227,48,14,11729630445735489935
invader-24-off,122,0.897126,0.031581,0.044791,48,13,8100133848368528648
invader-24-off,123,0.896320,0.043691,0.055543,48,14,1637149050427197164
invader-24-off,124,0.900824,-0.088852,0.254039,48,15,7908271093905668547
invader-24-off,125,0.909484,0.024726,0.081157,48,13,7986436310148785269
invader-24-off,126,0.917043,0.021426,0.080965,48,17,8056657278062370869
invader-24-off,127,0.917218,0.115789,0.106788,48,15,609232135434664835
invader-24-off,128,0.903949,0.083324,0.039245,48,17,8491447440576184032
invader-24-off,129,0.900256,0.077005,0.096644,48,16,6533371318538496000
invader-24-off,130,0.902779,0.086785,-0.007305,48,15,2271511115272011095
invader-24-off,131,0.884363,0.121245,0.002152,48,14,16923400400966322384
invader-24-off,132,0.880887,0.111874,0.049205,48,13,1515407633885910494
invader-24-off,133,0.901015,0.057125,0.026055,48,16,1988671064543311992
invader-24-off,134,0.890069,-0.002651,0.010420,48,13,12200466185268972388
invader-24-off,135,0.904221,-0.038027,0.046356,48,14,18011976816857935694
invader-24-off,136,0.903312,-0.005863,0.136945,48,13,17494700288753973985
invader-24-off,137,0.905657,0.059405,0.101413,48,14,6989657094567387884
invader-24-off,138,0.897114,0.026202,0.063823,48,17,16620447618503074512
invader-24-off,139,0.873612,-0.017063,-0.055962,48,14,4134871186584371720
invader-24-off,140,0.898230,-0.028648,0.084483,48,15,11546855959068730564
invader-24-off,141,0.890049,-0.023748,0.020700,48,15,12389281437386309758
invader-24-off,142,0.905277,0.097373,0.010274,48,15,9024831221337698321
invader-24-off,143,0.897635,0.000713,0.108183,48,12,687927931231469552
invader-24-off,144,0.896178,-0.007020,0.032484,48,12,16167185414390207177
invader-24-off,145,0.883797,0.072027,0.072438,48,17,15604282995551803696
invader-24-off,146,0.903245,0.098472,0.162431,48,17,5755731049060193823
invader-24-off,147,0.905105,0.010514,0.114379,48,14,8756214411840984580
invader-24-off,148,0.908315,-0.025176,0.047472,48,14,7973531654490901923
invader-24-off,149,0.911736,0.070845,0.047454,48,15,3045491862106982201
invader-24-off,150,0.893129,0.074050,0.020063,48,14,563922553605613815
invader-24-off,151,0.899356,-0.090294,0.043185,48,14,16003611211054705931
invader-24-off,152,0.890387,-0.017503,0.081647,48,14,17843983004705996457
