arm,seed,final_population,births,deaths,founder_deaths,founder_starvation,founder_dehydration,founder_other_deaths,first_founder_death_tick,last_founder_death_tick,stat_starvation_deaths,stat_dehydration_deaths,mean_founder_min_energy_fraction,mean_founder_min_hydration_fraction,mean_founder_mean_energy_fraction,mean_founder_mean_hydration_fraction,mean_founder_travel,mean_distance_to_water,mean_distance_to_food,adult_energy_ok_fraction,adult_hydration_ok_fraction,adult_joint_ok_fraction
shifting,49,21,45,28,4,0,0,4,2380,5200,10,0,0.3027,0.5222,0.6712,0.7259,349.1196,5.5591,2.4508,0.3264,0.7450,0.2530
shifting,50,36,47,15,4,0,0,4,2340,3990,2,0,0.2511,0.3279,0.5519,0.6247,343.4691,5.2643,2.7133,0.2281,0.5974,0.1644
shifting,51,0,21,25,4,1,0,3,2740,5400,20,0,0.2189,0.5051,0.6495,0.7537,371.4583,5.6553,2.6987,0.2251,0.6011,0.1651
shifting,52,40,49,13,4,0,0,4,2520,4640,0,0,0.3505,0.4347,0.6314,0.6706,327.3867,5.5539,2.4518,0.6674,0.6740,0.4930
shifting,53,40,43,7,4,0,0,4,3360,4390,0,0,0.2909,0.3469,0.6045,0.6873,413.7943,5.7151,2.4004,0.6459,0.7328,0.4990
shifting,54,38,62,28,4,0,0,4,2010,5370,7,0,0.4151,0.5660,0.7420,0.7684,211.1034,5.7295,2.6051,0.5528,0.7820,0.4117
shifting,55,39,43,8,4,0,0,4,2490,4370,0,0,0.3545,0.4145,0.6090,0.6514,323.5475,5.5693,2.5490,0.2756,0.4534,0.1444
shifting,56,40,49,13,4,0,0,4,2240,4820,0,0,0.4007,0.5053,0.6808,0.7475,335.0478,5.2882,2.4000,0.5010,0.6560,0.3396
shifting,57,37,55,21,4,0,0,4,2520,3960,9,0,0.3401,0.4727,0.6437,0.7227,336.7917,5.1558,2.3642,0.3434,0.6412,0.2018
shifting,58,37,41,7,4,0,0,4,1780,4900,1,0,0.3723,0.4448,0.6236,0.6762,307.2262,5.3512,2.7512,0.3754,0.5569,0.2341
shifting,59,33,34,5,4,0,0,4,2510,4600,0,0,0.5236,0.5378,0.7306,0.7583,319.1391,5.5459,2.5339,0.4807,0.5751,0.3206
shifting,60,40,78,42,4,0,0,4,2570,4130,28,1,0.2393,0.4475,0.6214,0.7327,307.7320,5.1689,2.4703,0.3864,0.7172,0.2528
shifting,61,25,55,34,4,0,0,4,2220,5220,24,0,0.2364,0.4139,0.5973,0.6605,314.2030,5.3474,2.7695,0.4689,0.7682,0.3411
shifting,62,40,56,20,4,1,0,3,3270,3960,15,0,0.1092,0.4800,0.5941,0.7356,329.5137,5.2268,2.6966,0.5060,0.8064,0.4331
shifting,63,20,22,6,4,0,0,4,2190,4510,0,0,0.3876,0.4196,0.6912,0.7251,337.8810,5.7729,2.3894,0.6849,0.6844,0.5325
shifting,64,40,42,6,4,0,0,4,4160,4730,0,0,0.4222,0.4606,0.7037,0.7279,424.2849,5.5612,2.4477,0.6582,0.6948,0.4775
shifting,65,40,42,6,4,0,0,4,2760,5080,0,0,0.2986,0.3724,0.6041,0.6558,335.8264,5.4988,2.5004,0.3884,0.4849,0.1934
shifting,66,1,3,6,4,0,0,4,2520,5030,0,0,0.4110,0.4551,0.6574,0.7174,381.1659,5.6322,2.4716,0.4928,0.5589,0.3502
shifting,67,40,41,5,4,0,0,4,3480,4770,0,0,0.3471,0.4316,0.6777,0.7213,366.1335,5.7574,2.4250,0.7361,0.6969,0.5351
shifting,68,0,0,4,4,0,0,4,1850,5220,0,0,0.3166,0.3738,0.5663,0.6378,387.7888,5.1275,2.3768,0.2963,0.3581,0.2574
shifting,69,0,1,5,4,0,0,4,3920,4650,0,0,0.3751,0.4180,0.6229,0.6647,394.2866,5.4822,2.3470,0.3273,0.3598,0.2487
shifting,70,40,40,4,4,0,0,4,1930,5170,0,0,0.2829,0.3353,0.5740,0.6445,434.8940,5.3765,2.5913,0.4598,0.5375,0.2917
shifting,71,40,70,34,4,0,0,4,2580,5330,0,0,0.4040,0.4904,0.6881,0.7538,355.1609,5.6249,2.4234,0.5723,0.6569,0.3667
ring,42,0,0,4,4,0,0,4,2070,3000,0,0,0.3887,0.4261,0.5515,0.6136,298.7509,4.7543,2.4853,0.2316,0.2656,0.2301
ring,43,40,46,10,4,0,0,4,2660,4480,0,0,0.4269,0.4706,0.6727,0.7167,354.8790,4.8599,2.1949,0.9027,0.8928,0.8365
ring,44,0,0,4,4,0,0,4,1970,4580,0,0,0.4136,0.4464,0.6485,0.7074,323.6735,4.6775,2.4009,0.5074,0.6025,0.4542
ring,45,0,0,4,4,0,0,4,1850,4140,0,0,0.6363,0.6391,0.7696,0.7712,257.4731,4.5160,2.3850,0.7086,0.6672,0.6568
ring,46,40,53,17,4,0,0,4,2510,5310,0,0,0.3699,0.4788,0.6360,0.6812,316.6296,4.5638,2.3634,0.8438,0.8312,0.7431
ring,47,0,0,4,4,0,0,4,1830,4980,0,0,0.5185,0.5438,0.6971,0.7360,349.9816,4.6706,2.5786,0.8213,0.8038,0.7556
ring,48,39,45,9,4,0,0,4,1930,5390,0,0,0.4428,0.5483,0.7018,0.7445,400.0282,4.7996,2.1381,0.8040,0.7665,0.6984
