schema=1
code_revision=64648d9
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=40
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.7
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-off,176,12484813960485137224,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,187,13109388861959938199,232,0,0.8088,2.2650,0.2452,0.4493,0.4668,0.4828,0.5471,0.4165,0.4902,0.6922,0.5639,0.4643,0.4573,0.5297,0.5466,0.5008
slope-off,193,6774576972228905432,24,0,0.0530,13.1756,0.3568,0.5359,0.5008,0.5551,0.5078,0.5462,0.5114,0.7617,0.6967,0.8040,0.3970,0.4923,0.4820,0.5385
slope-off,221,3877870685867276862,147,0,0.7974,7.2986,0.5578,0.3953,0.4675,0.7160,0.4386,0.3903,0.5515,0.8491,0.5891,0.5837,0.4557,0.4352,0.5042,0.5081
slope-off,228,46394179103745919,423,0,0.7169,20.6037,0.3873,0.3079,0.4927,0.5215,0.4394,0.4696,0.6493,0.8171,0.8849,0.5946,0.4423,0.5069,0.5009,0.5223
slope-off,229,5736040746245532324,347,0,0.7553,16.0087,0.6266,0.5231,0.4651,0.4972,0.4153,0.4131,0.5882,0.7946,0.5257,0.7024,0.4532,0.4933,0.4690,0.4934
slope-off,238,12737851954730084675,348,0,0.7776,3.2356,0.3033,0.4493,0.4923,0.4853,0.5670,0.5135,0.5932,0.7113,0.7178,0.7837,0.4712,0.5037,0.5288,0.5039
slope-off,243,14478066912808370234,349,0,0.7572,22.3811,0.4585,0.4677,0.5078,0.4546,0.4217,0.5538,0.4672,0.7510,0.8691,0.6738,0.4609,0.4727,0.4968,0.5083
slope-off,262,9210282224147552819,299,0,0.7384,10.3636,0.6805,0.6102,0.5243,0.4865,0.5107,0.5761,0.5001,0.7863,0.4874,0.7847,0.4271,0.4512,0.4772,0.5215
slope-off,283,11982660597685445677,418,0,0.6562,2.1159,0.3270,0.5266,0.4479,0.6085,0.4432,0.4966,0.4980,0.6568,0.7556,0.8489,0.4496,0.5164,0.4972,0.4933
slope-off,284,12818740009809077634,309,0,0.8219,0.4851,0.0795,0.4333,0.4865,0.4156,0.5692,0.4855,0.4854,0.5512,0.8304,0.5943,0.4160,0.4936,0.5048,0.4590
slope-off,304,12468904566473307841,185,0,0.7999,13.7783,0.4352,0.4726,0.5149,0.4985,0.4719,0.6153,0.5172,0.8145,0.4467,0.6422,0.4702,0.4717,0.4938,0.5024
slope-off,311,509990431612401738,171,0,0.5651,0.1523,0.0769,0.5512,0.6084,0.5768,0.4438,0.4837,0.5239,0.6776,0.6946,0.8883,0.4601,0.5208,0.5142,0.5307
slope-off,313,5735900708402474831,174,0,0.7968,12.5599,0.2632,0.3420,0.5534,0.4914,0.6401,0.5324,0.6201,0.6154,0.6424,0.5714,0.4736,0.4909,0.4940,0.4981
slope-off,316,1483255062409607392,500,0,0.7959,20.0702,0.4741,0.4546,0.4591,0.5035,0.4866,0.4253,0.4485,0.7155,0.5971,0.7809,0.4525,0.4980,0.5074,0.4876
slope-off,325,4369418276668408231,267,0,0.6984,2.2018,0.2850,0.5385,0.4632,0.6146,0.4319,0.4969,0.4483,0.7003,0.7949,0.6929,0.4604,0.4731,0.5211,0.5027
slope-off,328,2102722196797720660,317,0,0.7943,21.2997,0.3099,0.4366,0.5095,0.4472,0.4588,0.5287,0.4326,0.7792,0.7861,0.5932,0.4534,0.4322,0.5158,0.4511
slope-off,330,7461083448742979527,421,0,0.7376,3.4179,0.4453,0.4140,0.5099,0.5456,0.5464,0.5171,0.4612,0.7828,0.4470,0.8420,0.4631,0.4966,0.5042,0.5034
slope-on,42,4877093625968279560,204,0,0.7553,1.9600,0.4823,0.5399,0.5041,0.4116,0.4422,0.5059,0.5120,0.7374,0.6971,0.7324,0.4612,0.4740,0.5257,0.4874
slope-on,52,4960283960903194789,362,0,0.6232,6.5909,0.4389,0.5111,0.5041,0.4771,0.4609,0.5099,0.5140,0.8192,0.3430,0.8638,0.4796,0.4792,0.4753,0.5380
slope-on,53,17111217205254181811,97,0,0.7393,12.6449,0.3359,0.5368,0.5233,0.5852,0.3407,0.4925,0.5686,0.7642,0.8626,0.7343,0.4806,0.4281,0.4982,0.4630
slope-on,55,12982353693615603452,15,0,0.8363,15.0918,0.6030,0.3420,0.4291,0.4819,0.6835,0.4882,0.5509,0.7740,0.1024,0.4381,0.4267,0.4498,0.4514,0.5522
slope-on,58,8910599587505307972,261,0,0.0053,13.2955,0.6348,0.4636,0.5032,0.4923,0.4523,0.4618,0.6431,0.7810,0.8157,0.5836,0.4066,0.4962,0.5128,0.5019
slope-on,69,10875575381024609487,221,0,0.7455,2.6339,0.4621,0.5908,0.4582,0.4940,0.4465,0.3841,0.4090,0.6200,0.5715,0.7142,0.4724,0.4693,0.4543,0.4939
slope-on,74,5464299274430983250,434,0,0.6733,5.2438,0.4609,0.5372,0.5921,0.4584,0.5302,0.4457,0.5596,0.7055,0.7105,0.7386,0.4657,0.5290,0.4833,0.5205
slope-on,80,8615739302484022363,138,0,0.7861,7.2690,0.9641,0.4791,0.5265,0.5431,0.5665,0.5013,0.5614,0.8157,0.4907,0.6091,0.4791,0.4807,0.4979,0.5182
slope-on,98,1437007130021592629,167,0,0.7927,1.3620,0.2676,0.5448,0.4925,0.6152,0.5506,0.4947,0.4848,0.7018,0.6785,0.4399,0.4591,0.5000,0.4958,0.5001
slope-on,101,8658565062998560017,337,0,0.7689,1.3355,0.1825,0.6251,0.5631,0.5704,0.5401,0.3845,0.5181,0.6883,0.7021,0.7766,0.4891,0.4847,0.4854,0.5077
slope-on,107,13696744231402746581,34,0,0.7801,19.1822,0.5843,0.4619,0.3826,0.6546,0.3220,0.4688,0.5228,0.7533,0.5100,0.7580,0.4620,0.4917,0.4939,0.5547
slope-on,114,12495980045860945085,240,0,0.7632,24.9351,0.3827,0.4765,0.4622,0.5824,0.5602,0.5487,0.5735,0.8486,0.5922,0.5005,0.4751,0.5227,0.5294,0.5130
slope-on,118,3176386098407591699,232,0,0.0240,7.0991,0.2411,0.4949,0.4517,0.5355,0.4916,0.4666,0.6022,0.7823,0.7907,0.7467,0.4254,0.4553,0.5114,0.4827
slope-on,120,7335221789502599140,181,0,0.7897,4.4447,0.6834,0.4300,0.6211,0.5756,0.5319,0.4895,0.5952,0.6942,0.4322,0.6975,0.4382,0.4652,0.4885,0.5450
slope-on,128,14850947526244964904,241,0,0.7278,15.5862,0.6380,0.6027,0.6209,0.5079,0.4560,0.4949,0.4796,0.5828,0.9092,0.5987,0.4845,0.5007,0.4963,0.5143
slope-on,135,3258473865705254834,331,0,0.7675,5.1305,0.3045,0.3750,0.5120,0.4716,0.5136,0.3626,0.5685,0.7230,0.6972,0.7220,0.4703,0.5049,0.5104,0.4973
slope-on,147,675662850028777653,3,0,0.7614,13.4333,0.3566,0.6408,0.8700,0.5886,0.6641,0.5721,0.4212,0.6257,0.3953,0.5663,0.5394,0.4955,0.3907,0.5360
slope-on,148,17212079164098848938,304,0,0.6871,10.6451,0.4437,0.5379,0.5743,0.4319,0.4513,0.4456,0.5769,0.7777,0.4329,0.7984,0.4661,0.4975,0.5011,0.5347
slope-on,150,13132934740489058926,196,0,0.6027,4.4028,0.4191,0.5687,0.7160,0.5607,0.4611,0.5593,0.3784,0.6911,0.6895,0.6460,0.4448,0.5035,0.5042,0.5134
slope-on,152,4070961195933731048,143,0,0.7733,1.1898,0.2042,0.5980,0.5734,0.5030,0.3800,0.7782,0.5920,0.9158,0.7978,0.6196,0.4436,0.5283,0.5221,0.5201
slope-on,153,969372991797592777,3,0,0.1688,1.2103,0.3828,0.6173,0.4934,0.6019,0.6304,0.5100,0.5138,0.7990,0.6187,0.7182,0.5267,0.4611,0.4867,0.5153
slope-on,167,10173179845035219352,401,0,0.6563,4.1207,0.3206,0.4480,0.4371,0.4643,0.5038,0.4670,0.4542,0.7793,0.6237,0.7098,0.4441,0.5212,0.4748,0.4967
slope-on,176,4096964159878628940,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,187,949716933978316574,259,0,0.8103,2.9962,0.3372,0.4776,0.4622,0.4707,0.5818,0.4305,0.4710,0.7778,0.5746,0.4472,0.4423,0.5144,0.5452,0.4700
slope-on,193,5825089959682516210,196,0,0.1346,11.0392,0.6331,0.5887,0.4959,0.5265,0.5275,0.4426,0.5198,0.7530,0.5426,0.7811,0.4016,0.4987,0.5024,0.5268
slope-on,221,17046146953969755909,124,0,0.7826,5.1678,0.4952,0.4712,0.5820,0.7196,0.5156,0.4444,0.4924,0.7456,0.5591,0.7453,0.4979,0.4892,0.4833,0.5452
slope-on,228,6480462753849469564,62,0,0.7386,20.5396,0.3567,0.4043,0.3216,0.5832,0.5034,0.4446,0.5250,0.4919,0.7458,0.7274,0.4650,0.5060,0.5376,0.4906
slope-on,229,10917921409189801687,294,0,0.2696,15.4399,0.5023,0.5234,0.4949,0.4553,0.4832,0.4430,0.5053,0.7724,0.6170,0.8538,0.4637,0.4929,0.4879,0.4998
slope-on,238,11666434742036556829,291,0,0.7474,5.8976,0.4127,0.5019,0.4385,0.4750,0.5188,0.4415,0.5530,0.7751,0.6366,0.8655,0.4647,0.5320,0.5459,0.5242
slope-on,243,3362410726345774389,177,0,0.3741,21.1048,0.4966,0.4426,0.5479,0.4847,0.4625,0.4810,0.4651,0.6926,0.8749,0.8209,0.4377,0.4635,0.4897,0.5562
slope-on,262,8699574244027261950,311,0,0.5951,8.1565,0.4983,0.4975,0.4787,0.5235,0.4389,0.5779,0.5392,0.8060,0.5985,0.8913,0.4640,0.4731,0.4602,0.5064
slope-on,283,1807324365327273747,392,0,0.5705,3.4034,0.4395,0.5048,0.4752,0.6015,0.4779,0.5026,0.5313,0.6887,0.7754,0.8731,0.4629,0.5101,0.4867,0.5058
slope-on,284,18386996148953865633,179,0,0.7793,0.2796,0.0623,0.4319,0.3850,0.5475,0.5906,0.4939,0.4753,0.7794,0.6066,0.7839,0.4625,0.4749,0.5097,0.4963
slope-on,304,18231899312928020618,235,0,0.8221,13.3456,0.4261,0.3963,0.4376,0.4698,0.5251,0.5828,0.4975,0.7648,0.4505,0.6956,0.4325,0.4740,0.4761,0.4982
slope-on,311,1903329391013358720,311,0,0.6393,1.9470,0.5116,0.6382,0.5507,0.5555,0.4363,0.4588,0.5518,0.6811,0.6275,0.8006,0.4476,0.5245,0.5153,0.5310
slope-on,313,6594919904803167078,212,0,0.7801,12.4430,0.2215,0.4014,0.5682,0.4705,0.6166,0.4331,0.4764,0.6142,0.7148,0.8036,0.4740,0.4689,0.5088,0.4929
slope-on,316,6776362273337835407,373,0,0.7604,20.6073,0.3974,0.4472,0.4726,0.4967,0.4954,0.4758,0.4844,0.7214,0.4562,0.8701,0.4651,0.5145,0.5070,0.4908
slope-on,325,8330401770141438960,239,0,0.4777,3.0961,0.6385,0.5450,0.4709,0.6056,0.4547,0.4813,0.4821,0.6905,0.7965,0.6888,0.4561,0.4927,0.5162,0.4960
slope-on,328,10547127880328610896,153,0,0.7915,21.2736,0.3015,0.4669,0.4861,0.5758,0.4726,0.5120,0.4671,0.6716,0.5776,0.6008,0.4398,0.5007,0.5398,0.4889
slope-on,330,12127047197904722141,412,0,0.7315,5.9636,0.5032,0.4575,0.4827,0.4426,0.5037,0.5128,0.5064,0.7620,0.5156,0.7547,0.4417,0.4850,0.4789,0.4990
