schema=1
code_revision=9a7284d
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.4
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,42,2608693515547494917,85,0,0.6109,9.8458,0.8653,0.4678,0.4798,0.4920,0.5158,0.4968,0.5632,0.5212,0.4591,0.4831,0.5235,0.4895,0.4970,0.3394,0.4005,0.3457,0.3454,0.7780,0.3314,0.4578
slope-off,52,9249095699281711724,159,0,0.7547,7.5439,0.5151,0.4450,0.4817,0.4709,0.4683,0.5438,0.5139,0.4874,0.5268,0.5318,0.5415,0.4316,0.4906,0.0558,0.7663,0.6710,0.4836,0.6185,0.0726,0.4739
slope-off,53,17507477773329004580,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,55,9502647310520600326,125,0,0.6990,7.5926,0.5660,0.4787,0.4968,0.5071,0.5080,0.5055,0.4793,0.5574,0.5476,0.5444,0.5000,0.4754,0.4471,0.5886,0.9256,0.1425,0.4695,0.6914,0.6728,0.5108
slope-off,58,548273496752516147,386,0,0.1010,15.5018,0.4983,0.5003,0.5686,0.5009,0.5168,0.5094,0.5100,0.4668,0.4840,0.5406,0.4857,0.5219,0.5148,0.1141,0.4945,0.1775,0.7342,0.5856,0.6698,0.5075
slope-off,69,196894751396362996,41,0,0.6072,3.3323,0.3567,0.5364,0.4791,0.5027,0.4971,0.5385,0.4907,0.4972,0.4789,0.4793,0.4955,0.4766,0.4569,0.7327,0.9157,0.1006,0.5028,0.5032,0.7873,0.4865
slope-off,74,4976111243691155585,109,0,0.6268,2.7308,0.3543,0.5386,0.4970,0.4655,0.4537,0.4882,0.5766,0.4259,0.4829,0.5246,0.4872,0.5762,0.3540,0.3409,0.7891,0.5710,0.3693,0.6771,0.7315,0.5085
slope-off,80,8879459837485193559,491,0,0.7113,12.7032,0.8490,0.5142,0.4937,0.4818,0.4769,0.5182,0.4785,0.5442,0.4997,0.5069,0.5013,0.5140,0.4321,0.2405,0.8478,0.2163,0.2366,0.7380,0.4445,0.5471
slope-off,98,15136030993444617943,136,0,0.6190,3.9028,0.3349,0.4774,0.5143,0.5078,0.4568,0.5897,0.4582,0.4697,0.4980,0.5054,0.4836,0.5277,0.5113,0.4014,0.8437,0.2688,0.3880,0.7653,0.3662,0.4963
slope-off,101,17746784055624809264,36,0,0.5370,1.7201,0.2479,0.4821,0.4781,0.5099,0.5154,0.4792,0.5114,0.4861,0.4964,0.5143,0.4590,0.4967,0.4596,0.9360,0.8763,0.1801,0.6187,0.4730,0.3957,0.5465
