arm,seed,hash,occupancy,realized_grazing_pressure,final_population,extinct,frozen,births,deaths,plant_count,plant_births,highest_plant_generation,growth_founder,growth_final,growth_delta,seed_investment_founder,seed_investment_final,seed_investment_delta,water_efficiency_founder,water_efficiency_final,water_efficiency_delta,nutrition_founder,nutrition_final,nutrition_delta,defense_founder,defense_final,defense_delta,dispersal_founder,dispersal_final,dispersal_delta,moisture_tolerance_founder,moisture_tolerance_final,moisture_tolerance_delta,temperature_tolerance_founder,temperature_tolerance_final,temperature_tolerance_delta,nutrient_uptake_founder,nutrient_uptake_final,nutrient_uptake_delta,seedling_resilience_founder,seedling_resilience_final,seedling_resilience_delta,seed_production_rate_founder,seed_production_rate_final,seed_production_rate_delta
seedprod-on,70,6815877440360504955,0.23963293,0.0010708463,0,true,false,73,85,94,313,17,0.50000006,0.56326526,0.063265204,0.5,0.26041576,-0.23958424,0.5,0.35302317,-0.14697683,0.5,0.3586014,-0.14139861,0.49999997,0.51170075,0.011700779,0.5,0.65079725,0.15079725,0.50000006,0.69261354,0.19261348,0.5,0.35143283,-0.14856717,0.5,0.4317396,-0.0682604,0.5,0.42362213,-0.07637787,0.49999997,0.5073813,0.00738135
contest-on,70,17609110350306547918,0.35669643,0.0027705706,48,false,false,150,114,119,433,17,0.50000006,0.39876297,-0.10123709,0.5,0.3265832,-0.1734168,0.5,0.39238575,-0.10761425,0.5,0.45453352,-0.045466483,0.49999997,0.47351995,-0.02648002,0.5,0.7245675,0.22456747,0.50000006,0.5418726,0.04187256,0.5,0.33459288,-0.16540712,0.5,0.42934176,-0.07065824,0.5,0.5001975,0.0001975298,0.49999997,0.6482483,0.14824834
mortality-off,70,7136379586547247352,0.5193948,0.0017209449,48,false,false,139,103,161,167,14,0.50000006,0.57636607,0.07636601,0.5,0.34636858,-0.15363142,0.5,0.41417003,-0.08582997,0.5,0.3958028,-0.104197204,0.49999997,0.49177256,-0.008227408,0.5,0.5592111,0.059211075,0.50000006,0.644028,0.14402795,0.5,0.38932666,-0.11067334,0.5,0.47048876,-0.029511243,0.5,0.41951343,-0.080486566,0.49999997,0.50590634,0.0059063733
base,71,13256280975238252288,0.50069445,0.0017356281,48,false,false,136,100,125,665,18,0.50000006,0.5433949,0.043394864,0.5,0.39027488,-0.10972512,0.5,0.42904156,-0.070958436,0.5,0.5159497,0.015949726,0.49999997,0.53771037,0.0377104,0.5,0.7358197,0.2358197,0.50000006,0.5948018,0.094801724,0.5,0.4230262,-0.076973796,0.5,0.3835445,-0.116455495,0.5,0.45802996,-0.041970044,0.49999997,0.5757611,0.07576111
seedprod-on,71,10096068144873924293,0.45739087,0.0019823,48,false,false,140,104,118,612,19,0.50000006,0.5866668,0.08666676,0.5,0.36356512,-0.13643488,0.5,0.39878544,-0.10121456,0.5,0.49076745,-0.009232551,0.49999997,0.57943785,0.07943788,0.5,0.7069199,0.20691991,0.50000006,0.603154,0.103153944,0.5,0.4375132,-0.062486798,0.5,0.342585,-0.157415,0.5,0.48905012,-0.01094988,0.49999997,0.5267879,0.026787907
contest-on,71,7415325450253975274,0.265625,0.0032205812,48,false,false,144,108,99,339,18,0.50000006,0.5843448,0.084344745,0.5,0.42044058,-0.079559416,0.5,0.43479446,-0.065205544,0.5,0.4131195,-0.086880505,0.49999997,0.46185642,-0.038143545,0.5,0.61753565,0.11753565,0.50000006,0.6095902,0.10959011,0.5,0.49468532,-0.005314678,0.5,0.38169372,-0.11830628,0.5,0.40429613,-0.09570387,0.49999997,0.5327666,0.03276661
mortality-off,71,7896815081554274465,0.65729165,0.0011964781,48,false,false,142,106,168,183,13,0.50000006,0.5781718,0.07817173,0.5,0.3948953,-0.105104715,0.5,0.45357323,-0.046426773,0.5,0.45010018,-0.049899817,0.49999997,0.5436983,0.04369834,0.5,0.6488597,0.14885968,0.50000006,0.60057056,0.1005705,0.5,0.4406714,-0.059328586,0.5,0.4108087,-0.08919129,0.5,0.42418924,-0.07581076,0.49999997,0.5374024,0.03740242
base,72,9032955424569301192,0.35481152,0.0025615692,48,false,false,144,108,116,458,19,0.50000006,0.57757986,0.0775798,0.5,0.5862019,0.086201906,0.5,0.67395884,0.17395884,0.5,0.3461437,-0.1538563,0.49999997,0.3938896,-0.106110364,0.5,0.62165385,0.121653855,0.50000006,0.48060107,-0.019398987,0.5,0.5480361,0.0480361,0.5,0.64966774,0.14966774,0.5,0.32007125,-0.17992875,0.49999997,0.39849442,-0.10150555
seedprod-on,72,15099527325756305119,0.34310517,0.0026572302,48,false,false,150,114,114,460,20,0.50000006,0.6130939,0.11309385,0.5,0.2922791,-0.2077209,0.5,0.30305746,-0.19694254,0.5,0.41500804,-0.08499196,0.49999997,0.4952714,-0.0047285557,0.5,0.6854141,0.18541408,0.50000006,0.70528346,0.2052834,0.5,0.2941025,-0.20589751,0.5,0.43500653,-0.06499347,0.5,0.4845599,-0.015440106,0.49999997,0.5180586,0.018058628
contest-on,72,3916533207213829697,0.32713294,0.0027764922,48,false,false,132,96,107,447,21,0.50000006,0.70196605,0.20196599,0.5,0.32473773,-0.17526227,0.5,0.37429345,-0.12570655,0.5,0.4323206,-0.067679405,0.49999997,0.4658378,-0.034162164,0.5,0.7186547,0.21865469,0.50000006,0.6458113,0.14581126,0.5,0.3571977,-0.1428023,0.5,0.41044873,-0.08955127,0.5,0.44059753,-0.059402466,0.49999997,0.583692,0.083692044
mortality-off,72,12354206867256767376,0.5393353,0.0015630908,48,false,false,137,101,166,172,17,0.50000006,0.6108794,0.11087936,0.5,0.4595461,-0.04045391,0.5,0.5199629,0.019962907,0.5,0.41210505,-0.08789495,0.49999997,0.386378,-0.11362198,0.5,0.56238306,0.062383056,0.50000006,0.57376957,0.07376951,0.5,0.45968214,-0.040317863,0.5,0.56496364,0.06496364,0.5,0.4060069,-0.0939931,0.49999997,0.44890407,-0.051095903
base,73,12279458138393398693,0.42385912,0.002544423,48,false,false,149,113,135,558,16,0.50000006,0.5218631,0.021863043,0.5,0.406126,-0.09387401,0.5,0.45687956,-0.043120444,0.5,0.43559211,-0.064407885,0.49999997,0.45406792,-0.045932055,0.5,0.735572,0.23557198,0.50000006,0.554055,0.054054916,0.5,0.5060342,0.0060341954,0.5,0.509289,0.009289026,0.5,0.408557,-0.091443,0.49999997,0.50584304,0.005843073
seedprod-on,73,15120105634708079586,0.24632937,0.0041519413,48,false,false,157,121,98,337,17,0.50000006,0.6457706,0.14577055,0.5,0.38890338,-0.11109662,0.5,0.4097521,-0.0902479,0.5,0.46613562,-0.03386438,0.49999997,0.47494286,-0.025057107,0.5,0.6740501,0.1740501,0.50000006,0.6998491,0.19984907,0.5,0.39729986,-0.102700144,0.5,0.40529165,-0.09470835,0.5,0.49836692,-0.0016330779,0.49999997,0.50207794,0.002077967
contest-on,73,17533929313956625186,0.38621032,0.0025942235,48,false,false,158,122,114,475,18,0.50000006,0.51733875,0.017338693,0.5,0.41630226,-0.083697736,0.5,0.65160865,0.15160865,0.5,0.33418825,-0.16581175,0.49999997,0.5240065,0.024006516,0.5,0.683492,0.183492,0.50000006,0.5749308,0.07493073,0.5,0.48034066,-0.01965934,0.5,0.561078,0.061078012,0.5,0.32936662,-0.17063338,0.49999997,0.5307572,0.030757219
mortality-off,73,1904957255107665169,0.63531744,0.0014977197,48,false,false,153,117,168,180,15,0.50000006,0.513788,0.013787925,0.5,0.47028074,-0.029719263,0.5,0.5666355,0.06663549,0.5,0.41107804,-0.088921964,0.49999997,0.46650967,-0.0334903,0.5,0.59554416,0.09554416,0.50000006,0.5592455,0.059245467,0.5,0.50783485,0.007834852,0.5,0.5418587,0.041858673,0.5,0.40801767,-0.091982335,0.49999997,0.47848383,-0.021516144
base,74,2871312060248249168,0.3079861,0.0030868067,48,false,false,143,107,101,424,19,0.50000006,0.6519074,0.15190732,0.5,0.38796052,-0.11203948,0.5,0.43222728,-0.06777272,0.5,0.44673696,-0.05326304,0.49999997,0.5734498,0.07344982,0.5,0.6570071,0.1570071,0.50000006,0.64723235,0.1472323,0.5,0.3690253,-0.13097471,0.5,0.3884427,-0.111557305,0.5,0.4662244,-0.033775598,0.49999997,0.51398563,0.013985664
seedprod-on,74,11694639695708765966,0.3373512,0.002750914,48,false,false,140,104,116,462,19,0.50000006,0.6316087,0.13160866,0.5,0.4014211,-0.0985789,0.5,0.49080795,-0.0091920495,0.5,0.39074612,-0.10925388,0.49999997,0.50356156,0.0035615861,0.5,0.63836324,0.13836324,0.50000006,0.64539504,0.14539498,0.5,0.40049183,-0.09950817,0.5,0.4239872,-0.07601279,0.5,0.38978034,-0.11021966,0.49999997,0.5380223,0.03802231
contest-on,74,4684073679653975685,0.27207342,0.00013453647,0,true,false,21,33,106,362,17,0.50000006,0.68699193,0.18699187,0.5,0.58110344,0.081103444,0.5,0.3803435,-0.1196565,0.5,0.34250417,-0.15749583,0.49999997,0.52772343,0.027723461,0.5,0.69093496,0.19093496,0.50000006,0.69348955,0.19348949,0.5,0.52027905,0.02027905,0.5,0.2831984,-0.21680161,0.5,0.53091437,0.030914366,0.49999997,0.46380875,-0.036191225
mortality-off,74,17553966678575630719,0.49176586,0.0016322624,47,false,false,144,109,151,155,13,0.50000006,0.63734454,0.13734448,0.5,0.45584157,-0.04415843,0.5,0.5199655,0.01996553,0.5,0.3966377,-0.10336229,0.49999997,0.46548295,-0.03451702,0.5,0.547043,0.047043025,0.50000006,0.5831163,0.08311623,0.5,0.47749764,-0.022502363,0.5,0.4728284,-0.027171612,0.5,0.45201403,-0.04798597,0.49999997,0.48078802,-0.019211948
base,75,17435107575281614872,0.43338293,0.00271026,48,false,false,195,159,130,541,19,0.50000006,0.4471832,-0.052816868,0.5,0.3744647,-0.12553531,0.5,0.4500083,-0.049991697,0.5,0.49924347,-0.00075653195,0.49999997,0.61048657,0.1104866,0.5,0.67260617,0.17260617,0.50000006,0.47927085,-0.020729214,0.5,0.36959222,-0.13040778,0.5,0.46328446,-0.036715537,0.5,0.47477913,-0.025220871,0.49999997,0.5293425,0.029342502
seedprod-on,75,16438421112544073745,0.46155754,0.0026613912,47,false,false,192,157,121,590,16,0.50000006,0.43471277,-0.06528729,0.5,0.35827544,-0.14172456,0.5,0.44812503,-0.051874965,0.5,0.5292017,0.029201686,0.49999997,0.61526555,0.11526558,0.5,0.7255339,0.2255339,0.50000006,0.46087775,-0.039122313,0.5,0.32391772,-0.17608228,0.5,0.4187268,-0.0812732,0.5,0.48383674,-0.01616326,0.49999997,0.55028147,0.050281495
contest-on,75,3732376813670950319,0.16512898,0.0074259806,48,false,false,191,155,58,202,16,0.50000006,0.46450722,-0.035492837,0.5,0.51855177,0.018551767,0.5,0.4164453,-0.083554685,0.5,0.42944306,-0.07055694,0.49999997,0.53466684,0.034666866,0.5,0.6311672,0.13116717,0.50000006,0.4609229,-0.039077163,0.5,0.5249145,0.024914503,0.5,0.46272954,-0.037270457,0.5,0.4598984,-0.040101588,0.49999997,0.4774053,-0.02259466
mortality-off,75,14893552318159961128,0.59161705,0.0015288573,48,false,false,158,122,168,175,12,0.50000006,0.597021,0.097020924,0.5,0.4522513,-0.047748715,0.5,0.4286651,-0.0713349,0.5,0.46831614,-0.031683862,0.49999997,0.51388407,0.013884097,0.5,0.6237728,0.1237728,0.50000006,0.57996243,0.07996237,0.5,0.4295266,-0.0704734,0.5,0.44024408,-0.05975592,0.5,0.4419017,-0.058098286,0.49999997,0.48798043,-0.012019545
base,76,2130617279512713769,0.12222222,0.008751932,42,false,false,163,133,42,153,15,0.50000006,0.57131875,0.071318686,0.5,0.38960907,-0.11039093,0.5,0.37831053,-0.12168947,0.5,0.4951631,-0.004836887,0.49999997,0.45103163,-0.048968345,0.5,0.5685421,0.06854212,0.50000006,0.6286292,0.12862915,0.5,0.3301536,-0.16984639,0.5,0.3202641,-0.1797359,0.5,0.4788846,-0.021115392,0.49999997,0.5963715,0.0963715
seedprod-on,76,11323743734066390406,0.022767859,0.019736238,0,true,true,85,97,0,19,0,0.50000006,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.49999997,0,0,0.5,0,0,0.50000006,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.49999997,0,0
contest-on,76,10983054801412950929,0.15709326,0.006092046,48,false,false,166,130,59,190,16,0.50000006,0.5894195,0.089419425,0.5,0.63903445,0.13903445,0.5,0.40632752,-0.093672484,0.5,0.42883486,-0.071165144,0.49999997,0.34586042,-0.15413955,0.5,0.55002934,0.050029337,0.50000006,0.59248245,0.09248239,0.5,0.62161005,0.121610045,0.5,0.31657994,-0.18342006,0.5,0.43633866,-0.06366134,0.49999997,0.42621,-0.073789984
mortality-off,76,1776349145987407498,0.44027779,0.0019541082,48,false,false,147,111,159,164,13,0.50000006,0.5868255,0.08682543,0.5,0.4197616,-0.0802384,0.5,0.5425843,0.0425843,0.5,0.41515195,-0.08484805,0.49999997,0.51592255,0.015922576,0.5,0.5870055,0.087005496,0.50000006,0.62857485,0.12857479,0.5,0.44482115,-0.05517885,0.5,0.4415344,-0.0584656,0.5,0.43694866,-0.06305134,0.49999997,0.4993748,-0.0006251633
base,77,12656703388881929046,0.3516865,0.002351941,48,false,false,149,113,114,473,17,0.50000006,0.60787153,0.10787147,0.5,0.5035688,0.003568828,0.5,0.3627461,-0.13725391,0.5,0.41860044,-0.08139956,0.49999997,0.45522434,-0.044775635,0.5,0.6652646,0.1652646,0.50000006,0.66659045,0.1665904,0.5,0.46659824,-0.033401757,0.5,0.28320417,-0.21679583,0.5,0.47092974,-0.029070258,0.49999997,0.52418756,0.024187595
seedprod-on,77,15074447897978817833,0.38288692,0.0023880464,48,false,false,148,112,121,510,24,0.50000006,0.6026926,0.102692544,0.5,0.48213318,-0.01786682,0.5,0.37155488,-0.12844512,0.5,0.43208963,-0.06791037,0.49999997,0.46925253,-0.030747443,0.5,0.6827933,0.18279332,0.50000006,0.5975424,0.097542346,0.5,0.41978148,-0.080218524,0.5,0.33219182,-0.16780818,0.5,0.43214744,-0.06785256,0.49999997,0.5170349,0.017034918
contest-on,77,2867824509829335234,0.37584326,0.002200051,48,false,false,149,113,126,464,17,0.50000006,0.4308584,-0.069141656,0.5,0.36495668,-0.13504332,0.5,0.39095476,-0.10904524,0.5,0.5133861,0.013386071,0.49999997,0.5324941,0.032494158,0.5,0.77358073,0.27358073,0.50000006,0.44304243,-0.056957632,0.5,0.28735095,-0.21264905,0.5,0.40800625,-0.09199375,0.5,0.47776562,-0.02223438,0.49999997,0.63108176,0.13108179
mortality-off,77,14688892683720674315,0.5691964,0.0013048362,48,false,false,137,101,166,175,11,0.50000006,0.6079065,0.10790646,0.5,0.43041763,-0.06958237,0.5,0.4413113,-0.0586887,0.5,0.4226709,-0.0773291,0.49999997,0.48134208,-0.018657893,0.5,0.60669434,0.10669434,0.50000006,0.5655455,0.06554544,0.5,0.42413574,-0.075864255,0.5,0.42203256,-0.077967435,0.5,0.42704096,-0.072959036,0.49999997,0.523774,0.023774058
base,78,10903270170184015067,0.23149802,0.003313101,48,false,false,177,141,78,292,19,0.50000006,0.6427747,0.14277464,0.5,0.6904729,0.1904729,0.5,0.40059766,-0.09940234,0.5,0.36116308,-0.13883692,0.49999997,0.42124924,-0.07875073,0.5,0.6132822,0.1132822,0.50000006,0.6010757,0.10107565,0.5,0.6433906,0.1433906,0.5,0.5092121,0.009212077,0.5,0.47973207,-0.020267934,0.49999997,0.39663637,-0.1033636
seedprod-on,78,352439350043459900,0.3157242,0.0027317111,48,false,false,149,113,109,394,22,0.50000006,0.481207,-0.018793046,0.5,0.4610122,-0.038987786,0.5,0.6191378,0.11913782,0.5,0.4441518,-0.05584821,0.49999997,0.52405304,0.024053067,0.5,0.6212342,0.12123418,0.50000006,0.46950436,-0.030495703,0.5,0.6072695,0.107269526,0.5,0.6467925,0.14679247,0.5,0.43261698,-0.06738302,0.49999997,0.46897882,-0.031021148
contest-on,78,12624628787266841319,0.32748017,0.0031108472,48,false,false,161,125,108,410,19,0.50000006,0.50968635,0.009686291,0.5,0.37256584,-0.12743416,0.5,0.39177424,-0.10822576,0.5,0.59032476,0.09032476,0.49999997,0.5752217,0.07522175,0.5,0.6879079,0.18790787,0.50000006,0.494141,-0.005859047,0.5,0.3740822,-0.12591779,0.5,0.47875902,-0.02124098,0.5,0.45908234,-0.040917665,0.49999997,0.54179037,0.041790396
mortality-off,78,11614831956163406007,0.5529762,0.0012760635,48,false,false,144,108,168,176,13,0.50000006,0.55725014,0.057250082,0.5,0.5400909,0.04009092,0.5,0.39993918,-0.10006082,0.5,0.44127396,-0.058726043,0.49999997,0.52844816,0.028448194,0.5,0.5820584,0.08205843,0.50000006,0.5601497,0.06014967,0.5,0.5450233,0.045023322,0.5,0.45448416,-0.045515835,0.5,0.45322382,-0.046776175,0.49999997,0.4751463,-0.024853677
base,79,13218044866605438677,0.40074405,0.0017966568,48,false,false,147,111,114,545,19,0.50000006,0.5379354,0.037935317,0.5,0.5029246,0.002924621,0.5,0.43025687,-0.06974313,0.5,0.44789353,-0.05210647,0.49999997,0.5157275,0.01572755,0.5,0.74532545,0.24532545,0.50000006,0.6429807,0.14298064,0.5,0.45225477,-0.047745228,0.5,0.40764055,-0.09235945,0.5,0.45491877,-0.045081228,0.49999997,0.56240606,0.062406093
seedprod-on,79,3165660068989954584,0.31666666,0.0026260922,48,false,false,144,108,122,416,18,0.50000006,0.5045192,0.0045191646,0.5,0.49810895,-0.0018910468,0.5,0.39680177,-0.10319823,0.5,0.51598525,0.01598525,0.49999997,0.5962913,0.09629133,0.5,0.7037995,0.20379949,0.50000006,0.5481782,0.048178136,0.5,0.3530207,-0.1469793,0.5,0.40344787,-0.09655213,0.5,0.52509606,0.025096059,0.49999997,0.6128412,0.11284122
contest-on,79,13601878076358745135,0.43804565,0.0017625901,48,false,false,145,109,138,522,16,0.50000006,0.3524546,-0.14754546,0.5,0.44062918,-0.059370816,0.5,0.3965744,-0.10342559,0.5,0.5710641,0.071064115,0.49999997,0.5811444,0.08114442,0.5,0.74939036,0.24939036,0.50000006,0.45317557,-0.046824485,0.5,0.3783952,-0.1216048,0.5,0.43567076,-0.06432924,0.5,0.49929008,-0.0007099211,0.49999997,0.5657648,0.065764815
mortality-off,79,10616167185541255930,0.58834326,0.0012402359,48,false,false,139,103,168,181,14,0.50000006,0.60351324,0.10351318,0.5,0.48432514,-0.01567486,0.5,0.45636898,-0.043631017,0.5,0.42390537,-0.07609463,0.49999997,0.48081815,-0.019181818,0.5,0.6292155,0.12921548,0.50000006,0.62294495,0.12294489,0.5,0.42197746,-0.07802254,0.5,0.40863314,-0.09136686,0.5,0.4148876,-0.08511239,0.49999997,0.5322585,0.03225854
base,80,3552340135086951048,0.28621033,0.0034743901,48,false,false,154,118,81,393,16,0.50000006,0.7277501,0.22775006,0.5,0.53160214,0.031602144,0.5,0.40250415,-0.097495854,0.5,0.3936322,-0.1063678,0.49999997,0.50042063,0.00042065978,0.5,0.62520754,0.12520754,0.50000006,0.6447463,0.14474624,0.5,0.46017337,-0.03982663,0.5,0.4120179,-0.08798209,0.5,0.37437734,-0.12562266,0.49999997,0.48625702,-0.013742954
seedprod-on,80,9482265442436564708,0.3278274,0.0029783996,48,false,false,162,126,115,465,18,0.50000006,0.7084164,0.20841634,0.5,0.46412855,-0.035871446,0.5,0.40305057,-0.09694943,0.5,0.4545661,-0.04543391,0.49999997,0.5628851,0.062885135,0.5,0.6783094,0.17830938,0.50000006,0.65093505,0.150935,0.5,0.39797306,-0.10202694,0.5,0.42184672,-0.07815328,0.5,0.3837562,-0.11624381,0.49999997,0.55838203,0.058382064
contest-on,80,2720381087994542578,0.12157738,0.0060136598,0,true,false,118,130,56,169,17,0.50000006,0.72374386,0.2237438,0.5,0.31706962,-0.18293038,0.5,0.39223439,-0.107765615,0.5,0.445981,-0.054019004,0.49999997,0.5327682,0.03276822,0.5,0.7232749,0.22327489,0.50000006,0.6634611,0.16346103,0.5,0.35253382,-0.14746618,0.5,0.46222916,-0.037770838,0.5,0.29773602,-0.20226398,0.49999997,0.5809442,0.08094421
mortality-off,80,12923984724434595767,0.52008927,0.0017903022,48,false,false,153,117,163,166,12,0.50000006,0.69675153,0.19675148,0.5,0.4761209,-0.02387911,0.5,0.45533386,-0.04466614,0.5,0.44268847,-0.057311535,0.49999997,0.46419334,-0.035806626,0.5,0.57088107,0.07088107,0.50000006,0.6143535,0.11435342,0.5,0.4417345,-0.058265507,0.5,0.49625078,-0.0037492216,0.5,0.37806842,-0.12193158,0.49999997,0.51244825,0.012448281
base,81,4903103534735350678,0.36135912,0.002313899,48,false,false,168,132,120,478,20,0.50000006,0.6213359,0.121335864,0.5,0.62960887,0.12960887,0.5,0.31325153,-0.18674847,0.5,0.32835403,-0.17164597,0.49999997,0.42429367,-0.0757063,0.5,0.66330713,0.16330713,0.50000006,0.71895844,0.21895838,0.5,0.73176986,0.23176986,0.5,0.2745858,-0.22541419,0.5,0.35188115,-0.14811885,0.49999997,0.5067357,0.0067357123
seedprod-on,81,9512883224164510867,0.39126983,0.002073833,47,false,false,171,136,130,515,21,0.50000006,0.5902133,0.09021324,0.5,0.7270688,0.22706878,0.5,0.34490013,-0.15509987,0.5,0.36738828,-0.13261172,0.49999997,0.40488407,-0.0951159,0.5,0.7228889,0.22288889,0.50000006,0.7611555,0.26115543,0.5,0.83144754,0.33144754,0.5,0.28768817,-0.21231183,0.5,0.26546422,-0.23453578,0.49999997,0.55406,0.054060012
contest-on,81,9468424588536525909,0.36006945,0.002397242,48,false,false,169,133,94,445,18,0.50000006,0.56490016,0.0649001,0.5,0.67016274,0.17016274,0.5,0.3373183,-0.1626817,0.5,0.34678248,-0.15321752,0.49999997,0.4437525,-0.056247473,0.5,0.648022,0.148022,0.50000006,0.70448554,0.20448548,0.5,0.7522985,0.25229847,0.5,0.29467675,-0.20532325,0.5,0.30391726,-0.19608274,0.49999997,0.51570034,0.01570037
mortality-off,81,4635513933052420698,0.5975198,0.0012283867,48,false,false,169,133,167,175,13,0.50000006,0.65589005,0.15588999,0.5,0.4896277,-0.010372311,0.5,0.40473065,-0.09526935,0.5,0.37820294,-0.121797055,0.49999997,0.4806922,-0.019307762,0.5,0.5833434,0.08334339,0.50000006,0.68397003,0.18396997,0.5,0.5053417,0.0053417087,0.5,0.40687734,-0.09312266,0.5,0.39522973,-0.10477027,0.49999997,0.50065273,0.00065276027
base,82,17513262616107175995,0.42142856,0.0032011992,48,false,false,148,112,138,564,18,0.50000006,0.5488797,0.048879623,0.5,0.35458928,-0.14541072,0.5,0.43021208,-0.06978792,0.5,0.46478134,-0.035218656,0.49999997,0.5764103,0.07641032,0.5,0.7031344,0.20313442,0.50000006,0.4623675,-0.037632555,0.5,0.34210593,-0.15789407,0.5,0.47483775,-0.02516225,0.5,0.49100766,-0.008992344,0.49999997,0.5307279,0.030727953
seedprod-on,82,9864707844053923151,0.33040676,0.0032174091,48,false,false,165,129,128,463,19,0.50000006,0.60791785,0.107917786,0.5,0.35709083,-0.14290917,0.5,0.41326633,-0.08673367,0.5,0.44293365,-0.05706635,0.49999997,0.5435727,0.043572754,0.5,0.69435745,0.19435745,0.50000006,0.5654664,0.065466344,0.5,0.2214354,-0.2785646,0.5,0.35472852,-0.14527148,0.5,0.44088814,-0.059111863,0.49999997,0.5381478,0.038147837
contest-on,82,14085624738626688946,0.24032739,0.005072939,48,false,false,170,134,102,281,15,0.50000006,0.378618,-0.12138206,0.5,0.5256039,0.02560389,0.5,0.5271886,0.0271886,0.5,0.4272934,-0.07270661,0.49999997,0.6552743,0.1552743,0.5,0.67431444,0.17431444,0.50000006,0.49286407,-0.0071359873,0.5,0.50964975,0.009649754,0.5,0.4384387,-0.061561286,0.5,0.43619272,-0.06380728,0.49999997,0.5624297,0.062429756
mortality-off,82,7718492280815235576,0.5954365,0.0016975829,48,false,false,147,111,168,189,13,0.50000006,0.55196047,0.05196041,0.5,0.43933746,-0.060662538,0.5,0.5032344,0.0032343864,0.5,0.44132102,-0.058678985,0.49999997,0.5168208,0.016820818,0.5,0.6312316,0.1312316,0.50000006,0.52626026,0.026260197,0.5,0.3927456,-0.107254386,0.5,0.44760957,-0.052390426,0.5,0.43360615,-0.06639385,0.49999997,0.5294352,0.029435247
base,83,11199396231095338708,0.39900795,0.0022404317,48,false,false,140,104,122,522,18,0.50000006,0.41511527,-0.08488479,0.5,0.44931117,-0.050688833,0.5,0.451619,-0.048381,0.5,0.45741174,-0.042588264,0.49999997,0.5383909,0.038390905,0.5,0.7302495,0.23024952,0.50000006,0.5014332,0.0014331341,0.5,0.4464814,-0.053518593,0.5,0.47401425,-0.025985748,0.5,0.49232945,-0.0076705515,0.49999997,0.57200336,0.072003394
seedprod-on,83,12935399175743766979,0.40252978,0.0020116463,48,false,false,159,123,132,529,22,0.50000006,0.3963475,-0.10365257,0.5,0.37957487,-0.120425135,0.5,0.4159965,-0.08400351,0.5,0.49762818,-0.0023718178,0.49999997,0.5210702,0.021070212,0.5,0.76944286,0.26944286,0.50000006,0.5175716,0.017571568,0.5,0.37013075,-0.12986925,0.5,0.36888424,-0.13111576,0.5,0.5251034,0.02510339,0.49999997,0.5805708,0.08057085
contest-on,83,8083131985411296279,0.377877,0.0023787932,48,false,false,140,104,121,464,16,0.50000006,0.4258377,-0.074162364,0.5,0.3660851,-0.13391489,0.5,0.44317344,-0.05682656,0.5,0.44510353,-0.054896474,0.49999997,0.50789434,0.007894367,0.5,0.79054034,0.29054034,0.50000006,0.4617973,-0.038202763,0.5,0.37602562,-0.12397438,0.5,0.4027777,-0.0972223,0.5,0.5225748,0.022574782,0.49999997,0.60226464,0.10226467
mortality-off,83,14616125286184657319,0.5671131,0.0014481012,48,false,false,139,103,168,175,15,0.50000006,0.44444606,-0.055554003,0.5,0.38261163,-0.11738837,0.5,0.44208068,-0.057919323,0.5,0.50964725,0.00964725,0.49999997,0.54870373,0.04870376,0.5,0.6951936,0.19519359,0.50000006,0.45643666,-0.043563396,0.5,0.39846307,-0.10153693,0.5,0.4400893,-0.059910715,0.5,0.49542686,-0.0045731366,0.49999997,0.529872,0.02987203
base,84,5721510370866389015,0.36274803,0.0028618467,48,false,false,149,113,120,463,17,0.50000006,0.44755253,-0.052447528,0.5,0.5039027,0.0039026737,0.5,0.54368395,0.043683946,0.5,0.36798492,-0.13201508,0.49999997,0.48810023,-0.0118997395,0.5,0.65878993,0.15878993,0.50000006,0.58346635,0.08346629,0.5,0.46770832,-0.03229168,0.5,0.55370533,0.053705335,0.5,0.37284952,-0.12715048,0.49999997,0.52874064,0.028740674
seedprod-on,84,11875265303775158602,0.2983135,0.0034656876,48,false,false,138,102,113,367,17,0.50000006,0.37092805,-0.12907201,0.5,0.6019764,0.101976395,0.5,0.5374147,0.03741473,0.5,0.29327676,-0.20672324,0.49999997,0.5057514,0.005751401,0.5,0.6978789,0.1978789,0.50000006,0.44787368,-0.052126378,0.5,0.56277573,0.06277573,0.5,0.5995368,0.09953678,0.5,0.46377167,-0.03622833,0.49999997,0.46935788,-0.030642092
contest-on,84,145852442487191299,0.2812004,0.0036377532,48,false,false,148,112,102,373,18,0.50000006,0.6331185,0.13311845,0.5,0.42975226,-0.07024774,0.5,0.5170633,0.01706332,0.5,0.37281215,-0.12718785,0.49999997,0.4630883,-0.036911666,0.5,0.7104179,0.21041793,0.50000006,0.6202995,0.12029946,0.5,0.44191238,-0.058087617,0.5,0.4840337,-0.015966296,0.5,0.39852768,-0.10147232,0.49999997,0.5288362,0.02883622
