arm,seed,hash,occupancy,realized_grazing_pressure,final_population,extinct,frozen,births,deaths,plant_count,plant_births,highest_plant_generation,growth_founder,growth_final,growth_delta,seed_investment_founder,seed_investment_final,seed_investment_delta,water_efficiency_founder,water_efficiency_final,water_efficiency_delta,nutrition_founder,nutrition_final,nutrition_delta,defense_founder,defense_final,defense_delta,dispersal_founder,dispersal_final,dispersal_delta,moisture_tolerance_founder,moisture_tolerance_final,moisture_tolerance_delta,temperature_tolerance_founder,temperature_tolerance_final,temperature_tolerance_delta,nutrient_uptake_founder,nutrient_uptake_final,nutrient_uptake_delta,seedling_resilience_founder,seedling_resilience_final,seedling_resilience_delta,seed_production_rate_founder,seed_production_rate_final,seed_production_rate_delta
seedprod-on,64,14174585281387736623,0.44112104,0.0017914041,48,false,false,158,122,126,592,20,0.50000006,0.5642247,0.06422466,0.5,0.39316493,-0.10683507,0.5,0.4322961,-0.0677039,0.5,0.517468,0.017467976,0.49999997,0.5052245,0.0052245557,0.5,0.7289317,0.22893173,0.50000006,0.6084949,0.10849482,0.5,0.37802425,-0.12197575,0.5,0.43037367,-0.06962633,0.5,0.5004477,0.0004476905,0.49999997,0.601878,0.10187802
contest-on,64,16482935216092792584,0.26185516,0.0032732612,48,false,false,156,120,86,331,19,0.50000006,0.5794836,0.07948357,0.5,0.4458858,-0.054114193,0.5,0.41063154,-0.08936846,0.5,0.42607224,-0.07392776,0.49999997,0.48572993,-0.014270037,0.5,0.60616434,0.106164336,0.50000006,0.69243056,0.1924305,0.5,0.52215636,0.022156358,0.5,0.4220384,-0.077961594,0.5,0.42243975,-0.077560246,0.49999997,0.48418826,-0.015811712
mortality-off,64,11684295686858504408,0.58323413,0.0013648259,48,false,false,147,111,168,174,11,0.50000006,0.56019515,0.06019509,0.5,0.42400566,-0.07599434,0.5,0.41998857,-0.08001143,0.5,0.49990317,-9.6827745E-05,0.49999997,0.4890864,-0.010913581,0.5,0.5867941,0.08679408,0.50000006,0.5912741,0.09127402,0.5,0.43026906,-0.06973094,0.5,0.44354987,-0.05645013,0.5,0.47818166,-0.02181834,0.49999997,0.49755624,-0.0024437308
base,65,6336158227883489506,0.41626984,0.002136615,48,false,false,155,119,120,584,19,0.50000006,0.7048122,0.20481217,0.5,0.5596381,0.059638083,0.5,0.24182294,-0.25817704,0.5,0.37571037,-0.12428963,0.49999997,0.5336538,0.033653826,0.5,0.70517707,0.20517707,0.50000006,0.62889725,0.12889719,0.5,0.5886851,0.088685095,0.5,0.29799095,-0.20200905,0.5,0.35972744,-0.14027256,0.49999997,0.48370212,-0.016297847
seedprod-on,65,12111240943961261399,0.2560516,0.0033556703,48,false,false,151,115,87,338,20,0.50000006,0.7017059,0.20170581,0.5,0.59333545,0.09333545,0.5,0.22341625,-0.27658373,0.5,0.39373344,-0.10626656,0.49999997,0.47832203,-0.021677941,0.5,0.61621344,0.11621344,0.50000006,0.6352439,0.13524383,0.5,0.6907585,0.19075853,0.5,0.3201364,-0.1798636,0.5,0.4232026,-0.076797396,0.49999997,0.4623178,-0.037682176
contest-on,65,13690529702754648335,0.3920635,0.0020288131,48,false,false,175,139,126,461,15,0.50000006,0.41596758,-0.084032476,0.5,0.45315382,-0.04684618,0.5,0.37498945,-0.12501055,0.5,0.46491536,-0.035084635,0.49999997,0.55422556,0.054225594,0.5,0.7475014,0.24750137,0.50000006,0.31419784,-0.18580222,0.5,0.48843595,-0.011564046,0.5,0.4234082,-0.07659179,0.5,0.5101959,0.010195911,0.49999997,0.57697386,0.076973885
mortality-off,65,423250056772492338,0.6049603,0.0012828956,48,false,false,139,103,167,176,14,0.50000006,0.6929604,0.19296032,0.5,0.4553034,-0.0446966,0.5,0.33664116,-0.16335884,0.5,0.4129978,-0.08700219,0.49999997,0.52388287,0.023882896,0.5,0.58965915,0.089659154,0.50000006,0.65816957,0.15816951,0.5,0.53171015,0.031710148,0.5,0.42207655,-0.07792345,0.5,0.38020623,-0.11979377,0.49999997,0.46233556,-0.037664413
base,66,4343653406993767970,0.42936507,0.0021733704,48,false,false,135,99,137,589,20,0.50000006,0.44377732,-0.056222737,0.5,0.2826085,-0.21739149,0.5,0.46657506,-0.033424944,0.5,0.5092901,0.009290099,0.49999997,0.57363594,0.073635966,0.5,0.7869549,0.28695488,0.50000006,0.47630104,-0.023699015,0.5,0.36067337,-0.13932663,0.5,0.40395406,-0.09604594,0.5,0.48103473,-0.018965274,0.49999997,0.5550279,0.055027932
seedprod-on,66,18200197783947006317,0.20902778,0.004761883,48,false,false,144,108,86,273,14,0.50000006,0.5552478,0.055247724,0.5,0.44372365,-0.05627635,0.5,0.54711235,0.047112346,0.5,0.36046475,-0.13953525,0.49999997,0.45718172,-0.04281825,0.5,0.57797736,0.07797736,0.50000006,0.6210573,0.12105721,0.5,0.54663754,0.046637535,0.5,0.58057463,0.08057463,0.5,0.33349615,-0.16650385,0.49999997,0.37454897,-0.125451
contest-on,66,11868756236004511137,0.25089285,0.004153534,48,false,false,138,102,106,315,18,0.50000006,0.4640674,-0.03593266,0.5,0.33869338,-0.16130662,0.5,0.38745588,-0.11254412,0.5,0.49543658,-0.004563421,0.49999997,0.6084934,0.10849342,0.5,0.7041331,0.2041331,0.50000006,0.46066195,-0.039338112,0.5,0.34619865,-0.15380135,0.5,0.488723,-0.01127699,0.5,0.41616765,-0.08383235,0.49999997,0.57969034,0.07969037
mortality-off,66,15182065039212725364,0.46805555,0.0018319616,48,false,false,139,103,138,153,16,0.50000006,0.5542203,0.05422026,0.5,0.38344973,-0.11655027,0.5,0.48285624,-0.017143756,0.5,0.4714131,-0.028586894,0.49999997,0.5416166,0.04161665,0.5,0.5550589,0.055058897,0.50000006,0.5712245,0.07122445,0.5,0.3882629,-0.1117371,0.5,0.50131285,0.0013128519,0.5,0.4764118,-0.02358821,0.49999997,0.503845,0.0038450062
base,67,15529453762900273577,0.3984127,0.0023456675,48,false,false,169,133,125,541,17,0.50000006,0.6387501,0.13875002,0.5,0.59570926,0.095709264,0.5,0.37053722,-0.12946278,0.5,0.47569454,-0.024305463,0.49999997,0.49770513,-0.0022948384,0.5,0.70742756,0.20742756,0.50000006,0.6471037,0.14710367,0.5,0.5288191,0.028819084,0.5,0.27803877,-0.22196123,0.5,0.39137885,-0.10862115,0.49999997,0.48162925,-0.018370718
seedprod-on,67,12054265367293837630,0.3314484,0.0021317424,47,false,false,158,123,109,459,18,0.50000006,0.69999266,0.1999926,0.5,0.46578032,-0.034219682,0.5,0.33518746,-0.16481254,0.5,0.4615206,-0.038479388,0.49999997,0.5610122,0.06101224,0.5,0.6578053,0.15780532,0.50000006,0.5985934,0.098593354,0.5,0.44141856,-0.05858144,0.5,0.37916663,-0.12083337,0.5,0.45895064,-0.04104936,0.49999997,0.52934736,0.02934739
contest-on,67,14855867400857634830,0.20902778,0.003548323,48,false,false,193,157,87,279,18,0.50000006,0.63544214,0.13544208,0.5,0.51975894,0.01975894,0.5,0.4492271,-0.050772905,0.5,0.47117978,-0.028820217,0.49999997,0.4649902,-0.03500977,0.5,0.6405277,0.14052773,0.50000006,0.6524042,0.15240413,0.5,0.47692302,-0.023076981,0.5,0.30382934,-0.19617066,0.5,0.32710856,-0.17289144,0.49999997,0.45680803,-0.04319194
mortality-off,67,978077310461555593,0.47435516,0.0018945739,48,false,false,152,116,147,155,13,0.50000006,0.67843026,0.1784302,0.5,0.38197577,-0.11802423,0.5,0.42319244,-0.07680756,0.5,0.5121975,0.0121974945,0.49999997,0.52086085,0.02086088,0.5,0.5839525,0.08395249,0.50000006,0.621137,0.12113696,0.5,0.35332865,-0.14667135,0.5,0.41921586,-0.08078414,0.5,0.48340678,-0.016593218,0.49999997,0.54236096,0.04236099
base,68,15069929486617718726,0.3141865,0.0032458426,48,false,false,141,105,105,418,19,0.50000006,0.61273336,0.112733305,0.5,0.41417015,-0.085829854,0.5,0.36425903,-0.13574097,0.5,0.40847003,-0.091529965,0.49999997,0.5209996,0.02099964,0.5,0.6724667,0.1724667,0.50000006,0.5894733,0.08947325,0.5,0.3273888,-0.1726112,0.5,0.2668358,-0.23316419,0.5,0.37314808,-0.12685192,0.49999997,0.5644978,0.06449786
seedprod-on,68,10458614094881104096,0.22688492,0.004124805,48,false,false,144,108,89,312,19,0.50000006,0.63893986,0.1389398,0.5,0.42691395,-0.07308605,0.5,0.35504156,-0.14495844,0.5,0.4955407,-0.0044592917,0.49999997,0.57812876,0.078128785,0.5,0.60344493,0.103444934,0.50000006,0.64565045,0.14565039,0.5,0.2876443,-0.2123557,0.5,0.3736943,-0.1263057,0.5,0.37749824,-0.12250176,0.49999997,0.5119743,0.011974305
contest-on,68,4577517501294541835,0.20803571,0.0034678502,48,false,false,183,147,56,256,18,0.50000006,0.5731373,0.07313722,0.5,0.31861082,-0.18138918,0.5,0.4517333,-0.04826671,0.5,0.44307023,-0.056929767,0.49999997,0.5822679,0.08226791,0.5,0.60369784,0.10369784,0.50000006,0.67770416,0.1777041,0.5,0.35375524,-0.14624476,0.5,0.3842332,-0.11576679,0.5,0.4141192,-0.085880786,0.49999997,0.5488173,0.048817307
mortality-off,68,7237418513024648902,0.550248,0.0015164394,48,false,false,137,101,168,173,13,0.50000006,0.5602962,0.06029612,0.5,0.41576877,-0.08423123,0.5,0.4971174,-0.0028825998,0.5,0.4266132,-0.07338679,0.49999997,0.5130594,0.0130594075,0.5,0.5846435,0.08464348,0.50000006,0.62503046,0.1250304,0.5,0.4234516,-0.0765484,0.5,0.4551397,-0.044860303,0.5,0.414764,-0.08523601,0.49999997,0.47809547,-0.021904498
