schema=1
code_revision=64648d9
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=40
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1
ReproductionNeedFraction=0.7
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-off,42,10753305330250600235,356,0,0.6875,3.9681,0.6974,0.5306,0.5047,0.4586,0.5007,0.4345,0.5920,0.6184,0.7262,0.5857,0.4760,0.5158,0.4905,0.4940
slope-off,52,17376769823940884815,133,0,0.0072,8.2935,0.5290,0.5844,0.5274,0.4577,0.4897,0.5088,0.6331,0.8025,0.4275,0.8780,0.4735,0.4751,0.4937,0.5046
slope-off,53,6177115319279994804,83,0,0.7919,13.1766,0.4284,0.6403,0.5441,0.7156,0.5711,0.4732,0.7102,0.7267,0.2146,0.7612,0.4748,0.4524,0.5109,0.5095
slope-off,55,5918606055382289640,189,0,0.8032,7.8989,0.5490,0.5334,0.3974,0.5856,0.4688,0.5142,0.5536,0.7816,0.4907,0.8016,0.4361,0.5064,0.4950,0.5478
slope-off,58,16574321248912956868,494,0,0.7017,14.6736,0.5798,0.4614,0.5263,0.5918,0.5645,0.4897,0.6997,0.7370,0.6104,0.7049,0.4509,0.5266,0.4924,0.5318
slope-off,69,4725155515211650761,351,0,0.7389,1.3957,0.3038,0.5355,0.4255,0.3842,0.5227,0.5351,0.4297,0.6704,0.6983,0.6883,0.4657,0.4817,0.4993,0.4776
slope-off,74,13709457076120380488,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,80,1193904920102670497,264,0,0.6688,14.6732,0.9228,0.5392,0.5883,0.5123,0.5611,0.4860,0.5032,0.8091,0.4551,0.5314,0.4606,0.5029,0.5007,0.5466
slope-off,98,10736712105792962652,500,0,0.8120,3.4366,0.3393,0.4939,0.5351,0.5419,0.4966,0.5208,0.4913,0.7845,0.5335,0.5492,0.4721,0.5241,0.4983,0.4835
slope-off,101,7324471753231781451,311,0,0.0443,1.7719,0.2788,0.5938,0.5434,0.5101,0.5432,0.4676,0.5143,0.6704,0.7268,0.8423,0.4444,0.5131,0.5257,0.4862
slope-off,107,14798976217457193542,240,0,0.6774,14.5112,0.7010,0.4796,0.4566,0.4847,0.3830,0.5219,0.5383,0.6823,0.5271,0.6889,0.4177,0.4564,0.4644,0.4867
slope-off,114,3990715558814570793,12,0,0.0916,22.2015,0.4949,0.4742,0.4921,0.3578,0.4782,0.5873,0.5680,0.8718,0.5936,0.4212,0.4618,0.5578,0.4675,0.5068
slope-off,118,1284837763152495453,76,0,0.0150,5.2558,0.4988,0.5555,0.5086,0.5017,0.5016,0.4861,0.5351,0.7005,0.7396,0.7450,0.4718,0.5088,0.5276,0.5167
slope-off,120,3131235867261511800,237,0,0.7886,6.9063,0.7896,0.5961,0.5370,0.7011,0.4930,0.4176,0.4665,0.8537,0.4809,0.6490,0.4439,0.4589,0.5091,0.4960
slope-off,128,9693480570891780606,300,0,0.0308,19.9709,0.4228,0.3653,0.5349,0.3975,0.5418,0.4228,0.6019,0.6737,0.8441,0.8233,0.4306,0.4813,0.5123,0.5249
slope-off,135,1429696329288330831,85,0,0.0127,4.0473,0.3915,0.4332,0.5411,0.4528,0.5599,0.4130,0.6160,0.8738,0.6451,0.8182,0.4366,0.4692,0.4975,0.5174
slope-off,147,234759819448753984,173,0,0.2684,8.2420,0.3269,0.5808,0.7997,0.5803,0.5330,0.5787,0.3575,0.6308,0.8610,0.5225,0.4500,0.5525,0.5027,0.5061
slope-off,148,13063605560953785234,86,0,0.0021,13.3762,0.2005,0.6115,0.5441,0.4584,0.5027,0.4476,0.5871,0.6941,0.6198,0.7036,0.4748,0.5172,0.4908,0.4927
slope-off,150,4725167797558433329,94,0,0.1199,1.4703,0.2730,0.5051,0.6740,0.5176,0.4736,0.5509,0.3794,0.7588,0.7005,0.4705,0.4198,0.5203,0.5161,0.5012
