schema=1
code_revision=0ef2e4e
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=false
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=4.5
ReproductionNeedFraction=0.7
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,maneuverability,fear,neutral_marker
slope-off,148,2681818788639829422,197,0,0.7672,10.7009,0.3911,0.5955,0.5134,0.5008,0.5726,0.3984,0.5550,0.6410,0.6474,0.6953,0.4728,0.5047,0.5139,0.0600,0.0470,0.0426,0.0557,0.0498,0.0519,0.4985
slope-off,150,14702226364532638594,181,0,0.6916,6.4803,0.4134,0.5374,0.6614,0.5620,0.5230,0.4871,0.4383,0.5666,0.9079,0.7146,0.4694,0.5327,0.5180,0.0378,0.0496,0.0494,0.0566,0.0500,0.0873,0.5414
slope-off,152,3048408513299461199,13,0,0.7785,1.3692,0.4182,0.4346,0.4652,0.5690,0.4599,0.5326,0.5265,0.6075,0.6922,0.4917,0.5067,0.4724,0.5533,0.0348,0.0604,0.0902,0.0479,0.0209,0.0524,0.5495
slope-off,153,14650946855634003327,500,0,0.7101,0.0769,0.0311,0.5622,0.5510,0.5234,0.5844,0.5255,0.5696,0.7014,0.8575,0.7204,0.4984,0.4890,0.4816,0.0440,0.0424,0.0465,0.0645,0.0363,0.0500,0.5049
slope-off,167,8792280611265343782,133,0,0.7774,4.7693,0.4566,0.4675,0.5084,0.5377,0.5287,0.4492,0.5895,0.7031,0.6055,0.8101,0.4843,0.5195,0.4706,0.0509,0.0601,0.0578,0.0525,0.0550,0.0534,0.5216
slope-off,176,17963495232076719610,371,0,0.6879,9.9457,0.3091,0.5599,0.5075,0.4703,0.4513,0.4818,0.5345,0.7206,0.8138,0.7028,0.4464,0.4970,0.4907,0.0557,0.0458,0.0320,0.0542,0.0542,0.0435,0.5232
slope-off,187,93806540125976673,45,0,0.8068,2.5879,0.4910,0.5682,0.4730,0.4207,0.5075,0.4294,0.4741,0.6706,0.6469,0.4200,0.4764,0.5050,0.5083,0.0449,0.0656,0.0533,0.0222,0.0475,0.0775,0.5290
slope-off,193,13214302190004501126,121,0,0.7827,10.4580,0.5407,0.5869,0.4672,0.6412,0.4721,0.4417,0.5566,0.7733,0.5258,0.7534,0.4542,0.4844,0.4898,0.0291,0.0353,0.0509,0.0470,0.0507,0.0596,0.5174
slope-off,221,9146213861324738528,61,0,0.7230,3.5694,0.3284,0.5845,0.6141,0.7403,0.5120,0.5283,0.6095,0.5755,0.6572,0.8134,0.5342,0.4830,0.4786,0.0479,0.0270,0.0460,0.0450,0.0377,0.0280,0.5480
slope-off,228,4175497308476393603,173,0,0.7033,20.6069,0.4027,0.4831,0.4446,0.5586,0.3755,0.4614,0.5257,0.5533,0.7705,0.7580,0.4646,0.4620,0.5334,0.0521,0.0576,0.0432,0.0448,0.0544,0.0524,0.5020
slope-off,229,17572551163512344895,212,0,0.7904,18.2293,0.5741,0.4956,0.4604,0.3987,0.4647,0.4121,0.5173,0.7458,0.6150,0.8030,0.4971,0.5116,0.4959,0.0325,0.0362,0.0485,0.0382,0.0608,0.0515,0.4783
slope-off,238,10325891313452293678,100,0,0.7219,4.9317,0.2728,0.4738,0.5048,0.5062,0.5558,0.3822,0.6763,0.6377,0.7767,0.8451,0.5022,0.5218,0.5065,0.0466,0.0493,0.0530,0.0588,0.0750,0.0305,0.5048
slope-off,243,11103369727465629908,179,0,0.7510,22.5832,0.4888,0.5759,0.4754,0.6098,0.4632,0.5641,0.4514,0.6159,0.9088,0.7352,0.4692,0.4888,0.4995,0.0455,0.0402,0.0371,0.0512,0.0767,0.0445,0.5392
slope-on,42,8745543789513640453,211,0,0.7472,2.3007,0.4691,0.4457,0.5860,0.4974,0.4372,0.4913,0.6030,0.6450,0.8884,0.6256,0.4736,0.4854,0.4658,0.0371,0.0478,0.0367,0.0456,0.0543,0.0439,0.4613
slope-on,52,5790716868103375088,194,0,0.7312,8.9812,0.5040,0.5764,0.5294,0.4870,0.3820,0.5292,0.6078,0.7792,0.4664,0.8016,0.5217,0.5002,0.4634,0.0319,0.0463,0.0320,0.0431,0.0326,0.0444,0.5204
slope-on,53,1444315027688778874,32,0,0.7636,13.0358,0.4549,0.4718,0.2052,0.4982,0.4968,0.5325,0.5506,0.8845,0.8484,0.6602,0.4853,0.5197,0.4800,0.0275,0.0213,0.0233,0.0426,0.0425,0.0364,0.5114
slope-on,55,2977481163449097111,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,58,16026887468307474123,161,0,0.7441,16.3209,0.4465,0.4992,0.4507,0.5581,0.5159,0.4239,0.5665,0.6113,0.6694,0.8376,0.4925,0.4890,0.4905,0.0523,0.0491,0.0325,0.0405,0.0451,0.0520,0.5111
slope-on,69,6043882833758751912,126,0,0.7764,1.1966,0.3188,0.4736,0.4494,0.6009,0.4166,0.4571,0.3633,0.7269,0.6299,0.7731,0.4811,0.4748,0.4659,0.0302,0.0411,0.0422,0.0426,0.0404,0.0389,0.4635
slope-on,74,11049612467623710448,339,0,0.7342,5.7571,0.4245,0.5644,0.5010,0.4355,0.4693,0.5158,0.5101,0.6230,0.8447,0.8298,0.4880,0.5228,0.4465,0.0477,0.0394,0.0435,0.0500,0.0455,0.0394,0.5128
slope-on,80,14867373519725128354,57,0,0.7594,12.3084,0.8362,0.6101,0.6115,0.6178,0.5102,0.5878,0.4573,0.7675,0.6008,0.4328,0.5168,0.4846,0.5142,0.0385,0.0316,0.0522,0.0868,0.0185,0.0337,0.5226
slope-on,98,11255119043305993408,78,0,0.8030,2.8779,0.2681,0.5632,0.4071,0.6241,0.5864,0.4940,0.4769,0.6741,0.6176,0.5530,0.4859,0.5494,0.5086,0.0638,0.0522,0.0406,0.0952,0.0598,0.0380,0.5045
slope-on,101,14822278423534758533,152,0,0.7724,0.6887,0.1302,0.6517,0.5454,0.4914,0.5863,0.4811,0.5605,0.7087,0.7804,0.8888,0.5123,0.4794,0.5368,0.0586,0.0745,0.0527,0.0394,0.0406,0.0452,0.5166
slope-on,107,17967377010859019818,251,0,0.6881,18.6115,0.6629,0.5004,0.4486,0.4923,0.3961,0.5529,0.5101,0.6067,0.8411,0.7805,0.4526,0.4965,0.4729,0.0794,0.0467,0.0402,0.0412,0.0533,0.0386,0.4902
slope-on,114,12242323295668004550,108,0,0.7226,22.0440,0.3758,0.3812,0.4131,0.5235,0.4555,0.4838,0.5176,0.6875,0.6902,0.5218,0.5078,0.5384,0.4837,0.0557,0.0236,0.0435,0.0391,0.0413,0.0281,0.5471
slope-on,118,15751274484396542080,401,0,0.5307,6.9251,0.2787,0.5298,0.4167,0.6671,0.4654,0.5147,0.5543,0.7155,0.7969,0.8079,0.4539,0.4599,0.4844,0.0364,0.0429,0.0399,0.0520,0.0673,0.0441,0.5013
slope-on,120,2432295428847212854,35,0,0.7653,1.0594,0.3062,0.6636,0.4853,0.5224,0.4856,0.5497,0.5381,0.4860,0.2534,0.5952,0.4016,0.4730,0.5049,0.0567,0.0299,0.0352,0.0515,0.0530,0.0402,0.6223
slope-on,128,2595989629906473696,92,0,0.7922,17.5708,0.8167,0.4659,0.5796,0.3837,0.4229,0.4222,0.6205,0.5800,0.8983,0.7971,0.4597,0.4569,0.4668,0.0272,0.0352,0.0275,0.0330,0.1051,0.0470,0.4617
slope-on,135,8061832569029636648,217,0,0.7688,5.0053,0.2894,0.4482,0.4812,0.5598,0.5524,0.3965,0.4517,0.7521,0.6512,0.8180,0.5149,0.5007,0.4909,0.0398,0.0415,0.0446,0.0314,0.0341,0.0811,0.4781
slope-on,147,11314781514282921377,26,0,0.7685,13.0193,0.3168,0.5555,0.6094,0.5838,0.5686,0.6432,0.3205,0.6386,0.7789,0.4473,0.4866,0.5489,0.4827,0.0445,0.0370,0.0319,0.0696,0.1290,0.0321,0.4380
slope-on,148,6395533237467901357,184,0,0.7470,10.4979,0.4049,0.6440,0.4798,0.4555,0.3624,0.4994,0.5912,0.6343,0.6626,0.6740,0.4634,0.5062,0.4892,0.0617,0.0373,0.0515,0.0341,0.0450,0.0807,0.5186
slope-on,150,11457132792406795046,253,0,0.6140,4.8419,0.4268,0.4333,0.6158,0.5804,0.4830,0.4552,0.3830,0.6134,0.8603,0.6236,0.5081,0.5065,0.4902,0.0407,0.0450,0.0598,0.0619,0.0426,0.0727,0.5166
