seed,id,generation,parentId,birthTick,endTick,endReason,lifeTicks,eligibleTicks,births,meanBiomassFraction,growth,seedInvestment,waterEfficiency,nutrition,defense,dispersal,moistureTolerance,temperatureTolerance,nutrientUptake
42,37,3,27,2600,4600,aged,2000,52,2,0.9163,0.51129,0.54694,0.36327,0.66389,0.29735,0.45137,0.57346,0.50892,0.53730
42,38,3,26,2620,2640,takenOver,20,0,0,0.0643,0.57111,0.48288,0.48320,0.63714,0.32478,0.49309,0.50861,0.48495,0.59184
42,38,6,33,2640,4660,aged,2020,55,2,0.9170,0.48673,0.36892,0.45326,0.54444,0.30386,0.41369,0.35221,0.51204,0.52012
42,39,5,32,2680,4700,aged,2020,72,1,0.9285,0.49064,0.51906,0.47163,0.59576,0.27466,0.54009,0.44512,0.54733,0.50079
42,40,4,29,2760,4800,aged,2040,68,2,0.8966,0.48325,0.51560,0.58230,0.62443,0.34704,0.52434,0.58970,0.46469,0.47192
42,41,7,36,2760,4840,aged,2080,54,2,0.9066,0.44524,0.49130,0.49675,0.62768,0.30308,0.52924,0.49109,0.39200,0.47300
42,42,7,38,2900,4960,aged,2060,43,2,0.9216,0.47266,0.38959,0.43241,0.61361,0.28360,0.40616,0.30921,0.46726,0.51571
42,43,5,34,2920,3000,takenOver,80,0,0,0.0153,0.52420,0.56089,0.65197,0.62201,0.37638,0.47725,0.53450,0.43122,0.46539
42,44,6,31,2940,5000,aged,2060,65,2,0.8892,0.46496,0.48012,0.55645,0.58912,0.34886,0.58405,0.52754,0.35856,0.48071
42,43,4,37,3000,4900,aged,1900,23,2,0.6623,0.52832,0.50201,0.38294,0.64039,0.30894,0.47545,0.57630,0.52878,0.58975
42,45,8,42,3100,3140,takenOver,40,0,0,0.0565,0.43888,0.43058,0.45033,0.61783,0.26156,0.43276,0.27898,0.42600,0.57359
42,46,3,26,3120,4980,aged,1860,26,1,0.7256,0.61914,0.51339,0.52443,0.62232,0.35364,0.50565,0.48631,0.56258,0.62710
42,45,3,27,3140,5060,aged,1920,71,0,0.9530,0.54470,0.55463,0.47502,0.65068,0.34846,0.52546,0.57150,0.44193,0.57463
42,30,6,35,3220,3340,takenOver,120,0,0,0.0166,0.58328,0.58767,0.63396,0.61322,0.36827,0.52324,0.60472,0.46780,0.50988
42,30,5,34,3340,3680,takenOver,340,0,0,0.0533,0.44871,0.58187,0.65010,0.64078,0.43094,0.52455,0.52065,0.42288,0.43654
42,47,8,41,3400,5520,aged,2120,37,2,0.9104,0.42887,0.52264,0.50416,0.60504,0.30355,0.48435,0.49755,0.37952,0.49154
42,30,5,43,3680,3700,takenOver,20,0,0,0.0426,0.53813,0.53293,0.36573,0.60198,0.26059,0.52685,0.58324,0.53663,0.55202
42,30,4,46,3700,3780,takenOver,80,0,0,0.0152,0.59884,0.56251,0.49377,0.58903,0.44510,0.54231,0.40646,0.52975,0.61545
42,30,9,47,3780,3920,takenOver,140,0,0,0.0158,0.42933,0.50901,0.52866,0.59631,0.31706,0.50799,0.51959,0.37032,0.49438
42,30,5,34,3920,3940,takenOver,20,0,0,0.0476,0.50248,0.58521,0.59956,0.60333,0.28015,0.54227,0.56763,0.44162,0.46889
42,30,6,35,3940,4100,aged,160,0,0,0.0443,0.46002,0.68007,0.53370,0.59885,0.38347,0.53364,0.57823,0.47996,0.49908
42,49,7,38,3980,4160,takenOver,180,0,0,0.0149,0.50063,0.37597,0.46955,0.56202,0.27575,0.41282,0.37714,0.50498,0.54916
42,48,6,31,3980,4020,takenOver,40,0,0,0.0828,0.49150,0.53068,0.57264,0.67528,0.35345,0.51907,0.47520,0.39037,0.42411
