terrain,arm,seed,hash,occupancy,population,extinct,no_living_bred_lineage,plant_births,highest_plant_generation,growth_founder,growth_final,growth_delta,seedinvestment_founder,seedinvestment_final,seedinvestment_delta,waterefficiency_founder,waterefficiency_final,waterefficiency_delta,nutrition_founder,nutrition_final,nutrition_delta,defense_founder,defense_final,defense_delta,dispersal_founder,dispersal_final,dispersal_delta,moisturetolerance_founder,moisturetolerance_final,moisturetolerance_delta,temperaturetolerance_founder,temperaturetolerance_final,temperaturetolerance_delta,nutrientuptake_founder,nutrientuptake_final,nutrientuptake_delta,seedlingresilience_founder,seedlingresilience_final,seedlingresilience_delta,seedproductionrate_founder,seedproductionrate_final,seedproductionrate_delta
terrain,contest-on,44,7846531314698021517,0.95833,0,1,0,436,24,0.4,0.43108,0.03108,0.44,0.50216,0.06216,0.48,0.79804,0.31804,0.52,0.44784,-0.07216,0.56,0.45141,-0.10859,0.6,0.92169,0.32169,0.56667,0.08034,-0.48633,0.53333,0.219,-0.31434,0.5,0.59646,0.09646,0.46667,0.43666,-0.03001,0.43333,0.5052,0.07186
terrain,contest-on,45,650499735046140042,0.625,63,0,0,399,24,0.4,0.35788,-0.04212,0.44,0.43609,-0.00391,0.48,0.55174,0.07174,0.52,0.21881,-0.30119,0.56,0.79938,0.23938,0.6,0.6078,0.0078,0.56667,0.78364,0.21697,0.53333,0.72011,0.18678,0.5,0.55291,0.05291,0.46667,0.42324,-0.04342,0.43333,0.27249,-0.16085
terrain,contest-on,46,6930247936436782118,0.29167,0,1,0,348,21,0.4,0.29869,-0.10131,0.44,0.34277,-0.09723,0.48,0.61746,0.13746,0.52,0.42188,-0.09812,0.56,0.62103,0.06103,0.6,0.32874,-0.27126,0.56667,0.54096,-0.02571,0.53333,0.99002,0.45669,0.5,0.83456,0.33456,0.46667,0.36684,-0.09983,0.43333,0.29243,-0.1409
terrain,contest-on,47,5289206075803887729,0,0,1,1,191,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-on,48,10764358607632536125,0.91667,0,1,0,354,22,0.4,0.28828,-0.11172,0.44,0.37741,-0.06259,0.48,0.6155,0.1355,0.52,0.39483,-0.12517,0.56,0.6606,0.1006,0.6,0.64631,0.04631,0.56667,0.77537,0.20871,0.53333,0.57163,0.03829,0.5,0.36772,-0.13228,0.46667,0.18887,-0.2778,0.43333,0.09698,-0.33635
terrain,contest-on,49,15168178623828033433,1,0,1,0,472,25,0.4,0.60707,0.20707,0.44,0.58607,0.14607,0.48,0.56662,0.08662,0.52,0.63723,0.11723,0.56,0.64443,0.08443,0.6,0.92739,0.32739,0.56667,0.70583,0.13917,0.53333,0.3849,-0.14843,0.5,0.30925,-0.19075,0.46667,0.3005,-0.16617,0.43333,0.47937,0.04604
terrain,contest-on,50,14232294978172754382,0.91667,115,0,0,494,33,0.4,0.64883,0.24883,0.44,0.73821,0.29821,0.48,0.52518,0.04518,0.52,0.2573,-0.2627,0.56,0.66568,0.10568,0.6,0.8397,0.2397,0.56667,0.85596,0.2893,0.53333,0.37312,-0.16022,0.5,0.4463,-0.0537,0.46667,0.29575,-0.17092,0.43333,0.39003,-0.04331
terrain,contest-on,51,2353511341905985459,0.83333,147,0,0,409,25,0.4,0.51903,0.11903,0.44,0.60609,0.16609,0.48,0.34348,-0.13652,0.52,0.32218,-0.19782,0.56,0.65142,0.09142,0.6,0.68043,0.08043,0.56667,0.63179,0.06512,0.53333,0.64101,0.10768,0.5,0.90566,0.40566,0.46667,0.27501,-0.19166,0.43333,0.1934,-0.23993
terrain,contest-on,52,11516076842066775518,0,0,1,1,305,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-on,53,11919255231530081984,0.45833,227,0,0,442,23,0.4,0.51237,0.11237,0.44,0.46287,0.02287,0.48,0.4417,-0.0383,0.52,0.46587,-0.05413,0.56,0.38237,-0.17763,0.6,0.735,0.135,0.56667,0.68071,0.11405,0.53333,0.78472,0.25139,0.5,0.53035,0.03035,0.46667,0.7113,0.24463,0.43333,0.24503,-0.1883
terrain,contest-on,54,11630040824822630763,1,98,0,0,472,32,0.4,0.47153,0.07153,0.44,0.55985,0.11985,0.48,0.76069,0.28069,0.52,0.67231,0.15231,0.56,0.63469,0.07469,0.6,0.81453,0.21453,0.56667,0.77047,0.2038,0.53333,0.21631,-0.31703,0.5,0.48267,-0.01733,0.46667,0.48194,0.01527,0.43333,0.44963,0.0163
terrain,contest-on,55,16383623545660361751,1,0,1,0,446,27,0.4,0.29293,-0.10707,0.44,0.49841,0.05841,0.48,0.19711,-0.28289,0.52,0.31662,-0.20338,0.56,0.4175,-0.1425,0.6,0.91476,0.31476,0.56667,0.81607,0.2494,0.53333,0.62604,0.09271,0.5,0.83861,0.33861,0.46667,0.83044,0.36377,0.43333,0.2919,-0.14144
terrain,contest-on,56,760167948183147314,0,0,1,1,301,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-on,57,4266096859011379230,0.91667,0,1,0,484,29,0.4,0.57139,0.17139,0.44,0.45485,0.01485,0.48,0.60901,0.12901,0.52,0.60404,0.08404,0.56,0.58575,0.02575,0.6,0.95603,0.35603,0.56667,0.25557,-0.31109,0.53333,0.16011,-0.37322,0.5,0.58491,0.08491,0.46667,0.74187,0.2752,0.43333,0.65375,0.22041
terrain,contest-on,58,10737142883950080436,0,0,1,1,236,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-on,59,10305081672912900861,0,0,1,1,311,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-on,60,5459903663037264438,0,0,1,1,215,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-on,61,6544759356756245319,0,0,1,1,290,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-on,62,8522288117152833498,0.875,0,1,0,453,24,0.4,0.56338,0.16338,0.44,0.48109,0.04109,0.48,0.47501,-0.00499,0.52,0.43294,-0.08706,0.56,0.5661,0.0061,0.6,0.75405,0.15405,0.56667,0.44515,-0.12152,0.53333,0.43357,-0.09977,0.5,0.28877,-0.21123,0.46667,0.50952,0.04285,0.43333,0.25955,-0.17378
terrain,contest-on,63,7088894716718189249,0,0,1,1,239,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-on,64,8496932198542087210,0,0,1,1,273,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
terrain,contest-on,65,2371590450649212618,0.25,51,0,0,396,25,0.4,0.56334,0.16334,0.44,0.56773,0.12773,0.48,0.24383,-0.23617,0.52,0.39033,-0.12967,0.56,0.61778,0.05778,0.6,0.82833,0.22833,0.56667,0.57585,0.00918,0.53333,0.54368,0.01035,0.5,0.86472,0.36472,0.46667,0.40731,-0.05936,0.43333,0.32651,-0.10682
