terrain,arm,seed,hash,occupancy,population,extinct,no_living_bred_lineage,plant_births,highest_plant_generation,growth_founder,growth_final,growth_delta,seedinvestment_founder,seedinvestment_final,seedinvestment_delta,waterefficiency_founder,waterefficiency_final,waterefficiency_delta,nutrition_founder,nutrition_final,nutrition_delta,defense_founder,defense_final,defense_delta,dispersal_founder,dispersal_final,dispersal_delta,moisturetolerance_founder,moisturetolerance_final,moisturetolerance_delta,temperaturetolerance_founder,temperaturetolerance_final,temperaturetolerance_delta,nutrientuptake_founder,nutrientuptake_final,nutrientuptake_delta,seedlingresilience_founder,seedlingresilience_final,seedlingresilience_delta,seedproductionrate_founder,seedproductionrate_final,seedproductionrate_delta
flat,contest-off,57,3338389203249784998,0.95833,0,1,0,496,24,0.4,0.4023,0.0023,0.44,0.45832,0.01832,0.48,0.71959,0.23959,0.52,0.70933,0.18933,0.56,0.56102,0.00102,0.6,0.88416,0.28416,0.56667,0.4635,-0.10316,0.53333,0.28724,-0.2461,0.5,0.42348,-0.07652,0.46667,0.59788,0.13122,0.43333,0.44949,0.01616
flat,contest-off,58,10737142883950080436,0,0,1,1,238,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
flat,contest-off,59,10305081672912900861,0,0,1,1,269,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
flat,contest-off,60,5459903663037264438,0,0,1,1,196,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
flat,contest-off,61,6544759356756245319,0,0,1,1,418,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
flat,contest-off,62,17798352634660191402,0.95833,0,1,0,489,27,0.4,0.46719,0.06719,0.44,0.3805,-0.0595,0.48,0.5229,0.0429,0.52,0.55338,0.03338,0.56,0.55525,-0.00475,0.6,0.83171,0.23171,0.56667,0.51314,-0.05353,0.53333,0.32222,-0.21111,0.5,0.46717,-0.03283,0.46667,0.5753,0.10863,0.43333,0.49627,0.06294
flat,contest-off,63,9100246936581474882,1,0,1,0,371,23,0.4,0.25735,-0.14265,0.44,0.37002,-0.06998,0.48,0.36279,-0.11721,0.52,0.6097,0.0897,0.56,0.56496,0.00496,0.6,0.8007,0.2007,0.56667,0.8078,0.24113,0.53333,0.79181,0.25848,0.5,0.6331,0.1331,0.46667,0.71233,0.24566,0.43333,0.31703,-0.1163
flat,contest-off,64,7823960786359795307,1,57,0,0,505,34,0.4,0.57736,0.17736,0.44,0.69258,0.25258,0.48,0.63783,0.15783,0.52,0.16037,-0.35963,0.56,0.68365,0.12365,0.6,0.88073,0.28073,0.56667,0.48288,-0.08379,0.53333,0.29433,-0.23901,0.5,0.23969,-0.26031,0.46667,0.35867,-0.108,0.43333,0.33308,-0.10025
flat,contest-off,65,2981382783307387405,0.95833,0,1,0,490,28,0.4,0.47106,0.07106,0.44,0.5951,0.1551,0.48,0.719,0.239,0.52,0.68139,0.16139,0.56,0.77927,0.21927,0.6,0.87175,0.27175,0.56667,0.50032,-0.06634,0.53333,0.243,-0.29033,0.5,0.44644,-0.05356,0.46667,0.43135,-0.03532,0.43333,0.43044,-0.00289
flat,contest-on,42,12174437822534374139,1,0,1,0,477,27,0.4,0.52199,0.12199,0.44,0.49903,0.05903,0.48,0.55584,0.07584,0.52,0.52424,0.00424,0.56,0.62775,0.06775,0.6,0.93147,0.33147,0.56667,0.28887,-0.27779,0.53333,0.32331,-0.21002,0.5,0.30851,-0.19149,0.46667,0.47686,0.01019,0.43333,0.62978,0.19645
flat,contest-on,43,10044878731984997269,0.79167,103,0,0,433,28,0.4,0.65009,0.25009,0.44,0.51246,0.07246,0.48,0.4684,-0.0116,0.52,0.53584,0.01584,0.56,0.64852,0.08852,0.6,0.7625,0.1625,0.56667,0.58084,0.01418,0.53333,0.48721,-0.04612,0.5,0.33383,-0.16617,0.46667,0.45228,-0.01439,0.43333,0.33346,-0.09988
flat,contest-on,44,5437012469288932921,1,0,1,0,430,29,0.4,0.51573,0.11573,0.44,0.61916,0.17916,0.48,0.69763,0.21763,0.52,0.58819,0.06819,0.56,0.64407,0.08407,0.6,0.72792,0.12792,0.56667,0.58608,0.01941,0.53333,0.6549,0.12156,0.5,0.4213,-0.0787,0.46667,0.43639,-0.03027,0.43333,0.45913,0.0258
flat,contest-on,45,5356624206873891255,0,0,1,1,219,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
