arm,seed,population,plantPatches,plantGenerations,plantBirths,founderGrowth,finalGrowth,founderSeedInvestment,finalSeedInvestment,founderWaterEfficiency,finalWaterEfficiency,founderNutrition,finalNutrition,founderDefense,finalDefense,founderDispersal,finalDispersal,founderMoistureTolerance,finalMoistureTolerance,founderTemperatureTolerance,finalTemperatureTolerance,founderNutrientUptake,finalNutrientUptake,founderSeedlingResilience,finalSeedlingResilience
control,68,48,24,17,217,0.53413,0.52435,0.55233,0.52384,0.61887,0.68658,0.70337,0.75325,0.30252,0.28352,0.52765,0.57301,0.42215,0.43211,0.55784,0.50494,0.48591,0.53588,0.41897,0.46965
control,69,48,24,21,209,0.58395,0.64275,0.45405,0.57765,0.56435,0.57844,0.65499,0.58241,0.24945,0.32821,0.47150,0.53270,0.56899,0.49342,0.48842,0.60052,0.54159,0.53406,0.47268,0.40688
control,70,48,23,16,205,0.61917,0.66085,0.53303,0.54605,0.47232,0.52246,0.64700,0.52163,0.36123,0.41177,0.52762,0.48112,0.46836,0.42097,0.47665,0.46091,0.53402,0.61943,0.55347,0.41437
control,71,48,24,13,219,0.49784,0.54383,0.47844,0.52686,0.51717,0.61908,0.63536,0.61218,0.31637,0.38059,0.45474,0.54255,0.48286,0.54260,0.50773,0.51547,0.56230,0.59310,0.54541,0.53983
control,72,48,24,15,214,0.56880,0.44882,0.46942,0.53403,0.50449,0.57081,0.65004,0.56517,0.19589,0.09655,0.46220,0.65211,0.47064,0.41050,0.54368,0.50351,0.46437,0.51593,0.43598,0.48180
control,73,48,23,15,221,0.55928,0.46303,0.52802,0.67774,0.57125,0.59027,0.67834,0.65178,0.29607,0.15038,0.52439,0.63560,0.56046,0.49899,0.52529,0.56260,0.53534,0.56780,0.49179,0.75706
control,74,48,24,15,226,0.57414,0.59056,0.46020,0.46776,0.50874,0.53906,0.70106,0.73239,0.32593,0.35393,0.54751,0.57009,0.51591,0.51200,0.53624,0.56248,0.47221,0.45275,0.53325,0.52850
control,75,48,23,16,239,0.52658,0.67257,0.47665,0.59240,0.53264,0.67069,0.70781,0.67690,0.33165,0.20674,0.48301,0.56817,0.50958,0.39904,0.53347,0.47488,0.44122,0.39190,0.51883,0.46101
control,76,48,24,16,230,0.51756,0.48790,0.53078,0.62147,0.51405,0.37223,0.67566,0.62009,0.32493,0.35954,0.50172,0.58101,0.51733,0.40969,0.47405,0.48490,0.43344,0.37090,0.51098,0.44375
control,77,48,21,15,222,0.55310,0.72675,0.49787,0.59725,0.40909,0.34610,0.57231,0.51356,0.32498,0.30903,0.44753,0.57171,0.47363,0.55532,0.54870,0.49319,0.42792,0.41641,0.50937,0.45373
