arm,seed,hash,final_population,births,deaths,food_consumed,water_consumed,plant_count_final,activations,deactivations,distinct_sites_ever_active,mean_active_food_sites,first_turnover_tick,site_entries,same_site_fraction,cross_kind_legs,pair_repeat_fraction,mean_distinct_pairs,pair_changed_fraction,food_to_water,water_to_food,mean_distinct_sites,mean_speed
shifting-8founders,59,2068824288662581454,40,72,40,844.401733,281.875000,3,24,27,18,9.542833,19,1783,0.528323,688,0.684593,2.475000,0.787500,359,329,3.825000,1.631047
frozen,60,1526441572857339116,40,71,35,1277.119507,329.625000,18,12,0,18,17.322000,19,2137,0.451100,873,0.586483,2.866667,0.840000,436,437,4.120000,1.695304
shifting,60,3272737611795963838,40,78,42,766.113098,274.625000,10,32,28,18,11.730667,19,1645,0.472340,634,0.525237,2.634146,0.792683,325,309,4.060976,1.643331
shifting-mature,60,14159755052924769962,1,39,42,529.353088,233.812500,10,32,28,18,11.770667,19,1346,0.520059,495,0.533333,3.674419,0.953488,253,242,5.162791,1.944702
shifting-8founders,60,17196333172785166990,3,37,42,545.355957,225.375000,7,27,26,18,10.060167,19,1325,0.540377,472,0.625000,3.266667,0.955556,243,229,4.977778,1.789937
frozen,61,3590858050710920834,40,48,12,759.123535,182.187500,18,12,0,18,17.362000,19,1509,0.526839,515,0.627184,2.442308,0.865385,257,258,3.673077,1.735864
shifting,61,11863467043896229662,25,55,34,566.110229,175.500000,9,32,29,18,11.727167,19,1308,0.560398,450,0.691111,2.000000,0.559322,235,215,3.491525,1.625019
shifting-mature,61,14792510486101854382,24,27,7,258.680450,59.375000,12,36,30,18,12.754333,19,602,0.533223,198,0.636364,1.483871,0.612903,98,100,2.774194,1.592404
shifting-8founders,61,9254476883652228513,40,72,40,659.665100,220.437500,4,23,25,18,9.216333,19,1683,0.617350,501,0.668663,1.975000,0.662500,264,237,3.275000,1.603191
frozen,62,3974132950527253297,40,53,17,1198.624756,255.562500,18,12,0,18,17.308667,19,2101,0.498334,808,0.641089,3.350877,0.859649,403,405,4.649123,1.844582
