scenario,seed,home_range,hash,final_population,births,deaths,food_consumed,water_consumed,site_transitions,same_site_repeats,same_site_fraction,mean_distinct_sites,mean_distance_from_centre,multi_food_candidate_fraction,mean_speed,mean_familiarity,familiar_multi_candidate_fraction
stable,63,off,18282241644347880023,40,74,38,1354.6233,445.4375,1804,1804,1.000000,1.000000,1.661308,0.000000,1.255202,0.000000,0.000000
stable,63,on,7306716513716127174,40,75,39,1349.3992,437.8125,1833,1833,1.000000,1.000000,1.710089,0.000000,1.297540,0.884176,0.000000
stable,64,off,1498951934494021616,40,56,20,1003.0255,370.8750,1196,1196,1.000000,1.000000,1.628633,0.000000,1.098043,0.000000,0.000000
stable,64,on,16956930553749810786,40,56,20,984.1925,367.3750,1142,1142,1.000000,1.000000,1.612568,0.000000,1.061896,0.904784,0.000000
stable,65,off,4310351363271073392,40,65,29,1039.4634,329.1875,1341,1341,1.000000,0.985507,1.587495,0.000000,1.103940,0.000000,0.000000
stable,65,on,16268949908419492151,40,65,29,1050.7421,331.7500,1392,1392,1.000000,1.000000,1.591329,0.000000,1.145319,0.880751,0.000000
stable,66,off,3563049658630559801,40,68,32,1205.0006,359.2500,1585,1585,1.000000,1.000000,1.773316,0.000000,1.377336,0.000000,0.000000
stable,66,on,2006468713944187937,40,68,32,1197.2788,356.0000,1548,1548,1.000000,1.000000,1.765599,0.000000,1.373869,0.888750,0.000000
stable,67,off,13140776182175619657,40,62,26,1026.8198,323.9375,1099,1099,1.000000,0.984848,1.596145,0.000000,0.962312,0.000000,0.000000
stable,67,on,9312300490818729374,40,62,26,1021.0496,323.5000,1140,1140,1.000000,1.000000,1.588414,0.000000,0.953482,0.883369,0.000000
stable,68,off,15237070842348194067,39,52,16,1195.1534,374.8750,1361,1361,1.000000,1.000000,1.547931,0.000000,1.130916,0.000000,0.000000
stable,68,on,6002507896403309283,39,52,16,1184.4254,373.4375,1298,1298,1.000000,1.000000,1.529574,0.000000,1.095775,0.909408,0.000000
stable,69,off,18276871402470333017,39,68,32,1397.3745,374.8125,1395,1395,1.000000,0.986111,1.527301,0.000000,1.051119,0.000000,0.000000
stable,69,on,12741647249318651511,39,67,31,1380.9243,375.8750,1387,1387,1.000000,1.000000,1.514274,0.000000,1.020979,0.893966,0.000000
stable,70,off,18180631992481870284,40,51,15,1295.2114,433.0625,1426,1426,1.000000,1.000000,1.571365,0.000000,1.078062,0.000000,0.000000
stable,70,on,6254162548046965231,40,50,14,1262.7521,430.1875,1318,1318,1.000000,0.981481,1.499374,0.000000,1.011632,0.912580,0.000000
stable,71,off,5147095513898633335,40,66,30,1102.0554,350.9375,1613,1613,1.000000,1.000000,1.744136,0.000000,1.288536,0.000000,0.000000
stable,71,on,18178822316460367886,40,65,29,1105.3491,353.3750,1692,1692,1.000000,1.000000,1.763988,0.000000,1.307208,0.885874,0.000000
scarcity,42,off,317184772437341411,0,13,17,82.7357,58.0625,279,279,1.000000,1.000000,2.195298,0.000000,1.787370,0.000000,0.000000
scarcity,42,on,16270313644226762555,0,13,17,82.6200,60.1250,284,284,1.000000,1.000000,2.187738,0.000000,1.798166,0.808491,0.000000
scarcity,43,off,7854066615734618366,0,12,16,77.5834,54.8750,227,227,1.000000,1.000000,2.239503,0.000000,1.546137,0.000000,0.000000
scarcity,43,on,7854066615734618366,0,12,16,77.5807,55.6250,226,226,1.000000,1.000000,2.242516,0.000000,1.542189,0.795795,0.000000
scarcity,44,off,822660927721147313,0,13,17,73.8722,55.8125,256,256,1.000000,1.000000,2.186901,0.000000,1.570685,0.000000,0.000000
scarcity,44,on,16562182756018650149,0,13,17,74.0539,55.6875,262,262,1.000000,1.000000,2.164595,0.000000,1.600403,0.788286,0.000000
scarcity,45,off,14383140120349625288,0,12,16,75.7387,54.0625,201,201,1.000000,1.000000,2.281166,0.000000,1.440702,0.000000,0.000000
scarcity,45,on,14383140120349625288,0,12,16,75.7423,53.4375,197,197,1.000000,1.000000,2.284443,0.000000,1.434457,0.800821,0.000000
scarcity,46,off,5449210397823497739,0,15,19,81.2922,56.1250,236,236,1.000000,1.000000,2.273565,0.000000,1.505310,0.000000,0.000000
scarcity,46,on,5449210397823497739,0,15,19,81.2852,57.8125,240,240,1.000000,1.000000,2.282267,0.000000,1.479225,0.774646,0.000000
scarcity,47,off,12610055780303362150,0,12,16,83.5026,53.3750,226,226,1.000000,1.000000,2.211041,0.000000,1.569440,0.000000,0.000000
scarcity,47,on,4600725808835933794,0,12,16,83.4234,54.0000,230,230,1.000000,1.000000,2.204809,0.000000,1.571632,0.798719,0.000000
scarcity,48,off,12455489469791223625,0,12,16,70.3940,47.1250,271,271,1.000000,1.000000,2.153294,0.000000,1.596925,0.000000,0.000000
scarcity,48,on,18241965373315697429,0,12,16,70.2531,47.0625,255,255,1.000000,1.000000,2.175534,0.000000,1.562638,0.766970,0.000000
scarcity,49,off,3477869659772660780,0,12,16,73.7393,57.8750,232,232,1.000000,1.000000,2.261973,0.000000,1.564179,0.000000,0.000000
scarcity,49,on,4259847304373149176,0,12,16,73.9897,58.5625,240,240,1.000000,1.000000,2.192696,0.000000,1.577455,0.787963,0.000000
scarcity,50,off,15435179725945102783,0,10,14,75.3338,52.8750,231,231,1.000000,1.000000,2.126394,0.000000,1.684484,0.000000,0.000000
scarcity,50,on,11353445706083007103,0,11,15,75.9699,53.0000,268,268,1.000000,1.000000,2.030906,0.000000,1.685864,0.793049,0.000000
scarcity,51,off,15055256894905701434,0,14,18,84.5701,58.7500,257,257,1.000000,1.000000,2.218349,0.000000,1.540677,0.000000,0.000000
scarcity,51,on,3051537423310386166,0,14,18,84.6207,58.7500,274,274,1.000000,1.000000,2.193933,0.000000,1.540359,0.793735,0.000000
scarcity,52,off,1320308513699650249,0,13,17,87.3475,72.8750,265,265,1.000000,1.000000,2.236788,0.000000,1.468477,0.000000,0.000000
scarcity,52,on,560950651584408393,0,13,17,86.9715,72.4375,270,270,1.000000,1.000000,2.230741,0.000000,1.451870,0.811965,0.000000
scarcity,53,off,3257012730696921764,0,13,17,79.2565,52.3750,271,271,1.000000,1.000000,2.215395,0.000000,1.712636,0.000000,0.000000
scarcity,53,on,6541619026908114256,0,13,17,79.3855,52.1250,271,271,1.000000,1.000000,2.230075,0.000000,1.735188,0.778265,0.000000
scarcity,54,off,14457225020677469447,0,12,16,76.1712,52.6250,207,207,1.000000,1.000000,2.196246,0.000000,1.349975,0.000000,0.000000
scarcity,54,on,14457225020677469447,0,12,16,76.1712,53.2500,207,207,1.000000,1.000000,2.197132,0.000000,1.350584,0.791280,0.000000
scarcity,55,off,17438615021989532422,0,14,18,81.8303,59.1875,298,298,1.000000,1.000000,2.139130,0.000000,1.518761,0.000000,0.000000
scarcity,55,on,17438615021989532422,0,14,18,81.8302,60.1250,292,292,1.000000,1.000000,2.163134,0.000000,1.506337,0.799593,0.000000
scarcity,56,off,17841893870961205409,0,9,13,70.2807,47.6875,200,200,1.000000,1.000000,2.270041,0.000000,1.515456,0.000000,0.000000
scarcity,56,on,17841893870961205409,0,9,13,70.2807,48.3750,204,204,1.000000,1.000000,2.272633,0.000000,1.517149,0.786782,0.000000
scarcity,57,off,2879262892671714868,0,13,17,72.9863,52.7500,201,201,1.000000,1.000000,2.193776,0.000000,1.500080,0.000000,0.000000
scarcity,57,on,2879262892671714868,0,13,17,72.9752,52.6875,195,195,1.000000,1.000000,2.194095,0.000000,1.495874,0.760979,0.000000
scarcity,58,off,52653507813937463,0,17,21,83.8795,57.1875,279,279,1.000000,1.000000,2.247538,0.000000,1.373586,0.000000,0.000000
scarcity,58,on,52653507813937463,0,17,21,83.8876,59.1250,283,283,1.000000,1.000000,2.246853,0.000000,1.370458,0.781428,0.000000
scarcity,59,off,14773024656160810626,0,13,17,79.5032,67.5000,282,282,1.000000,1.000000,2.242943,0.000000,1.420919,0.000000,0.000000
scarcity,59,on,4905137134081622574,0,13,17,79.5574,69.1875,297,297,1.000000,1.000000,2.221935,0.000000,1.412627,0.809028,0.000000
scarcity,60,off,13965043498620566733,0,14,18,86.0296,67.6250,269,269,1.000000,1.000000,2.244868,0.000000,1.585465,0.000000,0.000000
scarcity,60,on,13965043498620566733,0,14,18,86.0262,71.5625,273,273,1.000000,1.000000,2.227556,0.000000,1.580101,0.812471,0.000000
scarcity,61,off,855355546668204856,0,14,18,79.9302,52.3125,294,294,1.000000,1.000000,2.300411,0.000000,1.554688,0.000000,0.000000
scarcity,61,on,855355546668204856,0,14,18,79.9302,53.5625,294,294,1.000000,1.000000,2.300578,0.000000,1.554149,0.792088,0.000000
scarcity,62,off,10434651304544963371,0,11,15,76.9224,59.9375,231,231,1.000000,1.000000,2.304767,0.000000,1.401164,0.000000,0.000000
scarcity,62,on,10434651304544963371,0,11,15,76.9225,61.0000,242,242,1.000000,1.000000,2.285530,0.000000,1.423080,0.809771,0.000000
scarcity,63,off,15341359998722448918,0,11,15,76.6032,61.0625,273,273,1.000000,1.000000,2.142726,0.000000,1.717543,0.000000,0.000000
scarcity,63,on,15341359998722448918,0,11,15,76.6439,62.3750,266,266,1.000000,1.000000,2.152570,0.000000,1.686210,0.821745,0.000000
scarcity,64,off,15571758720661031941,0,15,19,91.6132,74.6250,305,305,1.000000,1.000000,2.245896,0.000000,1.479738,0.000000,0.000000
scarcity,64,on,15571758720661031941,0,15,19,91.6210,75.8125,307,307,1.000000,1.000000,2.248547,0.000000,1.485406,0.823817,0.000000
scarcity,65,off,3914496188643729948,0,14,18,84.6037,60.2500,304,304,1.000000,1.000000,2.156636,0.000000,1.484387,0.000000,0.000000
scarcity,65,on,3914496188643729948,0,14,18,84.6017,62.2500,309,309,1.000000,1.000000,2.137356,0.000000,1.483189,0.788750,0.000000
scarcity,66,off,3522143373875086447,0,13,17,84.4590,60.6250,291,291,1.000000,1.000000,2.287324,0.000000,1.600721,0.000000,0.000000
scarcity,66,on,3522143373875086447,0,13,17,84.4607,60.5625,289,289,1.000000,1.000000,2.276632,0.000000,1.598990,0.813646,0.000000
scarcity,67,off,14372728344274027446,0,14,18,80.7288,58.2500,235,235,1.000000,1.000000,2.198278,0.000000,1.262672,0.000000,0.000000
scarcity,67,on,14372728344274027446,0,14,18,80.7423,60.0000,246,246,1.000000,1.000000,2.189654,0.000000,1.260478,0.792542,0.000000
scarcity,68,off,8306475234076259081,0,12,16,83.8320,57.5000,227,227,1.000000,1.000000,2.273972,0.000000,1.545358,0.000000,0.000000
scarcity,68,on,8306475234076259081,0,12,16,83.8365,58.8125,223,223,1.000000,1.000000,2.290019,0.000000,1.538027,0.794673,0.000000
