schema=1
code_revision=64648d9
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=40
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.65
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-off,187,5476873947525196131,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,193,17501029868702386802,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,221,11230115286048297594,210,0,0.0132,1.8697,0.2100,0.3907,0.5548,0.6233,0.7256,0.4881,0.4636,0.8495,0.5348,0.5372,0.4670,0.4497,0.4959,0.5190
slope-off,228,13032814347260375437,8,0,0.0582,18.8076,0.4134,0.4502,0.5312,0.4175,0.3634,0.5421,0.5675,0.7205,0.8886,0.7358,0.4449,0.5487,0.5280,0.4739
slope-off,229,6353899128017788742,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,238,9876884438117777123,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,243,1959306217993205980,22,0,0.0109,23.9650,0.3460,0.4903,0.5306,0.4748,0.4313,0.4906,0.4816,0.8214,0.8663,0.7848,0.4555,0.5487,0.4643,0.5309
slope-off,262,1508109132965749657,3,0,0.0602,3.1920,0.6519,0.5358,0.4733,0.4149,0.4898,0.7107,0.5148,0.8045,0.6884,0.8515,0.5517,0.5233,0.5091,0.4373
slope-off,283,3124198177458722696,64,0,0.0165,0.4237,0.0732,0.5743,0.5650,0.4983,0.5020,0.5164,0.5418,0.7209,0.7299,0.9262,0.4641,0.4949,0.4528,0.5036
slope-off,284,12072681272931757996,78,0,0.0050,3.6046,0.3209,0.4905,0.5129,0.3921,0.4834,0.3620,0.4998,0.7189,0.7761,0.3487,0.4615,0.4979,0.5106,0.4913
slope-off,304,2986348988902002008,455,0,0.4263,12.1696,0.4200,0.4795,0.5024,0.5139,0.4550,0.5396,0.4889,0.7418,0.4590,0.7679,0.4600,0.4819,0.4706,0.5135
slope-off,311,13467861862067768998,23,0,0.0444,0.4010,0.1879,0.6322,0.4740,0.5093,0.4294,0.3815,0.5280,0.6423,0.6917,0.7703,0.4617,0.5017,0.5209,0.4914
slope-off,313,3251525817605035601,48,0,0.0128,12.0804,0.3406,0.5827,0.4955,0.4248,0.5723,0.4860,0.5943,0.6390,0.6776,0.8754,0.4779,0.5017,0.5347,0.4714
slope-off,316,5287657251410918944,33,0,0.0060,21.3105,0.3936,0.5246,0.4433,0.4425,0.5153,0.4799,0.4416,0.6952,0.4617,0.8362,0.4658,0.5106,0.4931,0.5060
slope-off,325,3158007793143117276,500,0,0.6716,1.9326,0.3409,0.5421,0.4649,0.5498,0.4653,0.4326,0.5441,0.5578,0.7006,0.5362,0.4032,0.5147,0.5359,0.4984
slope-off,328,316294522967331194,105,0,0.0090,20.3846,0.3302,0.3808,0.4790,0.3929,0.4941,0.5265,0.3879,0.7670,0.7588,0.5867,0.4819,0.5028,0.4737,0.5055
slope-off,330,6171966304709885439,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,42,7499754702558459518,12,0,0.7258,8.9100,1.2123,0.4184,0.4980,0.5579,0.4818,0.5226,0.6332,0.7426,0.7143,0.8407,0.5115,0.4999,0.5038,0.4443
slope-on,52,3184288776670912513,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,53,11558173996135615862,134,0,0.7729,13.5892,0.4203,0.5158,0.4354,0.5022,0.3836,0.4132,0.5868,0.5362,0.6725,0.5932,0.4658,0.4545,0.4880,0.4857
slope-on,55,10862570546726050950,372,0,0.6412,8.8653,0.6145,0.4609,0.5423,0.5309,0.6210,0.5315,0.6125,0.8063,0.9307,0.7196,0.4556,0.5403,0.5464,0.5501
slope-on,58,4842002985421393719,7,0,0.2691,15.3591,0.5867,0.2170,0.3104,0.5039,0.3832,0.5194,0.6693,0.7171,0.8797,0.8618,0.4164,0.5035,0.4657,0.4554
slope-on,69,9849930330994066955,2,0,0.0000,1.4087,0.4522,0.4571,0.2640,0.2814,0.4009,0.3940,0.5570,0.6719,0.5563,0.9996,0.4334,0.5272,0.5485,0.3926
slope-on,74,9390959063693402590,1,0,0.8085,4.2433,1.1375,0.4129,0.5456,0.3067,0.6370,0.4597,0.5708,0.8028,0.2242,0.7837,0.3464,0.5197,0.2492,0.5570
slope-on,80,17565689752730663427,15,0,0.0064,4.7044,0.5441,0.6595,0.5222,0.4428,0.4979,0.4965,0.6102,0.7590,0.6745,0.6615,0.4841,0.5016,0.4918,0.5273
slope-on,98,1187921555670710710,480,0,0.2418,4.8913,0.4007,0.4701,0.4357,0.4402,0.5972,0.4939,0.4544,0.7107,0.5359,0.5888,0.4367,0.5352,0.5276,0.5070
slope-on,101,3461549455630561011,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,107,12310453936907100131,226,0,0.3749,15.1746,0.6596,0.4617,0.5503,0.4659,0.3984,0.5638,0.5451,0.6963,0.8488,0.6473,0.4320,0.4917,0.4715,0.5053
slope-on,114,12885346310608803613,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,118,11773023364310967888,92,0,0.0199,9.4327,0.2220,0.5990,0.4516,0.5560,0.5256,0.5112,0.5921,0.8222,0.8053,0.6804,0.4815,0.5028,0.5149,0.4971
slope-on,120,12920815239732640161,285,0,0.4595,3.1170,0.6039,0.6065,0.6056,0.4839,0.5147,0.4703,0.5450,0.6728,0.4347,0.5617,0.4795,0.4660,0.4790,0.4974
slope-on,128,17785235551935353083,197,0,0.1355,2.4876,0.0992,0.4361,0.5283,0.4359,0.5333,0.5383,0.5628,0.5884,0.8222,0.6835,0.4907,0.5124,0.5020,0.4430
slope-on,135,4794892148704381783,1,0,0.7616,0.4753,0.5349,0.4113,0.3334,0.7485,0.3409,0.2416,0.5959,1.0000,0.9397,0.8122,0.4158,0.4539,0.4080,0.5298
slope-on,147,11264175797759833233,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,148,17410204639997272607,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,150,17902162731862394625,3,0,0.7814,3.6811,0.4169,0.4483,0.6217,0.5235,0.5663,0.5678,0.3009,0.7326,0.7301,0.6237,0.4402,0.5015,0.4621,0.4959
slope-on,152,15230386385390933798,368,0,0.6417,1.9912,0.3110,0.5063,0.4376,0.5596,0.4788,0.6893,0.5128,0.6812,0.6511,0.7104,0.4721,0.4947,0.4932,0.5176
slope-on,153,450416968138703342,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,167,1922878118045205798,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,176,1762526496227628876,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,187,18299980844925200107,6,0,0.3620,0.1767,0.5260,0.3961,0.4472,0.2595,0.5083,0.5647,0.5838,0.7611,0.5782,0.8406,0.3974,0.4823,0.5267,0.4712
slope-on,193,3187964079579238324,356,0,0.0962,9.8782,0.7039,0.5570,0.5095,0.5639,0.4919,0.4947,0.4853,0.6822,0.3606,0.7767,0.4376,0.4882,0.4828,0.5204
slope-on,221,8992457188196326187,288,0,0.6216,5.9895,0.6392,0.4718,0.5742,0.6964,0.4995,0.4859,0.4119,0.8106,0.6846,0.5817,0.4941,0.5148,0.4875,0.5009
slope-on,228,4568220970368744072,1,0,0.8305,16.2318,0.7544,0.4077,0.2908,0.4171,0.5505,0.5013,0.7259,0.6729,0.9529,0.5477,0.2834,0.5263,0.4534,0.6083
slope-on,229,14205247955837520451,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,238,1291908935780338864,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,243,5370612130820640435,12,0,0.0564,18.2041,0.5633,0.5181,0.4291,0.6241,0.3922,0.4441,0.5386,0.8499,0.8529,0.9095,0.4513,0.5186,0.5156,0.5376
slope-on,262,222931528114780301,159,0,0.0269,1.6038,0.2403,0.5297,0.5297,0.6346,0.4018,0.5745,0.5262,0.7777,0.6055,0.6974,0.4900,0.4796,0.4862,0.5005
slope-on,283,9125618878886313406,1,0,0.1258,0.0000,0.0000,0.8306,0.7490,0.4299,0.5209,0.3581,0.6018,0.7529,0.8022,0.9752,0.4815,0.5740,0.7072,0.5339
slope-on,284,2962278073500033688,491,0,0.4201,2.3465,0.1823,0.4301,0.4471,0.4306,0.5724,0.3556,0.5787,0.8042,0.6965,0.3252,0.4469,0.4839,0.4523,0.5173
slope-on,304,4759218091141619568,30,0,0.0283,12.2356,0.4948,0.5010,0.4670,0.4019,0.5771,0.4980,0.5224,0.8463,0.6644,0.8048,0.4700,0.4812,0.4749,0.4698
slope-on,311,8173553638513739613,37,0,0.0416,0.3878,0.2242,0.6076,0.5777,0.5579,0.5391,0.4546,0.6083,0.7504,0.7640,0.7940,0.4571,0.5199,0.5121,0.4829
slope-on,313,15956338378147389431,3,0,0.1545,12.3530,0.3849,0.3834,0.5999,0.3786,0.7121,0.5771,0.6510,0.6813,0.8917,0.8630,0.4389,0.4686,0.6228,0.4465
slope-on,316,11286613197391881590,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,325,4999944814546450011,467,0,0.7071,1.6631,0.3133,0.5408,0.5031,0.5553,0.5450,0.4119,0.5622,0.5665,0.7529,0.5822,0.4463,0.5250,0.5773,0.4819
slope-on,328,11003272194492351637,9,0,0.1618,20.7629,0.1381,0.5086,0.3818,0.4521,0.5692,0.5307,0.6050,0.8294,0.6852,0.6461,0.4222,0.4738,0.4708,0.5070
slope-on,330,13194287544088050023,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
