schema=1
code_revision=84ca29e
scenario_id=p4-defense-calibration-moderate
scenario_layout_fingerprint=7502803383825105874
scenario_resource_count=30
first_seed=42
seed_count=120
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=48
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-off,146,14178313571298850744,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,147,2436061010956343159,47,0,0.7958,0.5351,0.5168,0.5047,0.3608,0.4043,0.3518,0.5495,0.3675,0.6857,0.4739,0.5350,0.5275,0.5069
slope-off,148,16392216427165547435,48,0,0.7783,0.5777,0.5908,0.5041,0.5669,0.5356,0.5513,0.6849,0.4540,0.7016,0.4639,0.4860,0.5125,0.5011
slope-off,149,9211758850244637808,48,0,0.8290,0.4995,0.6243,0.3675,0.4683,0.5113,0.5779,0.8282,0.5409,0.7718,0.4562,0.5202,0.5106,0.5047
slope-off,150,9618083274981522487,48,0,0.8015,0.6154,0.5842,0.4818,0.4313,0.6103,0.3908,0.6664,0.8212,0.7267,0.4485,0.5133,0.4362,0.5058
slope-off,151,7904119599032907977,48,0,0.8094,0.5099,0.5663,0.5492,0.4457,0.5041,0.4919,0.8513,0.3761,0.6641,0.4599,0.4923,0.4633,0.4834
slope-off,152,13004960764681102087,47,0,0.7798,0.5710,0.5589,0.5331,0.4306,0.6592,0.5228,0.8925,0.6997,0.6327,0.4372,0.4989,0.5028,0.5192
slope-off,153,17042615396568014060,48,0,0.8018,0.5703,0.5710,0.4410,0.5235,0.4651,0.5392,0.7874,0.6177,0.8267,0.4845,0.4931,0.4937,0.4788
slope-off,154,7790092522216199414,48,0,0.7991,0.5376,0.4370,0.4322,0.4623,0.5462,0.6128,0.7895,0.6719,0.7546,0.4865,0.5091,0.4779,0.5057
slope-off,155,2577792856328367031,48,0,0.7841,0.4992,0.5502,0.5097,0.5168,0.4700,0.4622,0.8643,0.5500,0.8584,0.4753,0.5198,0.4823,0.5105
slope-off,156,6641980349649186554,48,0,0.8122,0.5729,0.4765,0.4885,0.4796,0.5463,0.5052,0.8053,0.6542,0.8725,0.4788,0.4829,0.5043,0.4993
slope-off,157,7322744485412039558,48,0,0.8045,0.4733,0.5925,0.4301,0.5326,0.5108,0.4531,0.7233,0.7766,0.5744,0.4689,0.5020,0.5117,0.5027
slope-off,158,17507862849271011117,48,0,0.8062,0.4680,0.5171,0.5233,0.4250,0.4509,0.6052,0.7379,0.2926,0.8910,0.4668,0.5072,0.5170,0.5147
slope-off,159,17296944233127809783,48,0,0.7960,0.4652,0.4773,0.6075,0.5229,0.5300,0.4534,0.7687,0.4297,0.9353,0.5018,0.4953,0.4990,0.4929
slope-off,160,17008055913421664322,47,0,0.8266,0.5858,0.6267,0.4261,0.5114,0.4709,0.5255,0.7387,0.6691,0.8909,0.4725,0.5145,0.4856,0.5212
slope-off,161,6405509683908702651,48,0,0.8236,0.3605,0.5477,0.5136,0.5615,0.5615,0.5004,0.6700,0.4384,0.7732,0.4723,0.5411,0.5019,0.5040
slope-on,42,12932478789901473104,47,0,0.7871,0.4705,0.4459,0.5203,0.5076,0.4647,0.5189,0.5966,0.6075,0.7024,0.4790,0.5250,0.4961,0.5067
slope-on,43,1256304743684986859,47,0,0.8051,0.4944,0.4301,0.4707,0.4166,0.4694,0.5446,0.7489,0.4071,0.7539,0.4901,0.4902,0.5180,0.5006
slope-on,44,7562803918144819770,48,0,0.8134,0.5154,0.5332,0.4833,0.5356,0.4776,0.4263,0.9360,0.3324,0.7661,0.4923,0.5202,0.4960,0.5192
slope-on,45,15917341699646030571,48,0,0.7669,0.3574,0.4579,0.4433,0.5122,0.4744,0.4672,0.7479,0.6467,0.8632,0.4458,0.4770,0.5113,0.5012
slope-on,46,3985151397941508610,48,0,0.8169,0.4363,0.5024,0.5260,0.4712,0.5114,0.4570,0.7945,0.4419,0.8406,0.4757,0.5026,0.5165,0.5042
slope-on,47,12656318843817511336,48,0,0.7993,0.3629,0.5824,0.5791,0.4163,0.5308,0.6390,0.7319,0.5423,0.7423,0.4669,0.4877,0.4734,0.5172
slope-on,48,7525811362927977565,48,0,0.8135,0.4806,0.4633,0.4809,0.6828,0.6186,0.4430,0.8278,0.7158,0.8753,0.4678,0.4916,0.5010,0.5138
slope-on,49,5285239784397448476,48,0,0.8284,0.5638,0.6183,0.4093,0.5630,0.4995,0.4785,0.7029,0.5361,0.5229,0.4495,0.4788,0.4847,0.5258
slope-on,50,16348745772813017580,48,0,0.7898,0.3947,0.5172,0.5259,0.5079,0.4684,0.3943,0.6915,0.5466,0.8396,0.4559,0.5166,0.4925,0.5270
slope-on,51,14058376766489528682,48,0,0.8176,0.4508,0.6260,0.4287,0.4670,0.6168,0.4923,0.7451,0.5121,0.9312,0.4698,0.4780,0.5192,0.5255
slope-on,52,1711322081306228689,48,0,0.7995,0.5263,0.6486,0.4151,0.4165,0.5425,0.4967,0.7610,0.3112,0.8895,0.4834,0.4837,0.5017,0.5014
slope-on,53,99966172445102250,47,0,0.8050,0.4947,0.7824,0.5285,0.5583,0.5256,0.5332,0.8068,0.8079,0.5690,0.4765,0.4492,0.5108,0.5341
slope-on,54,4714069614217788104,48,0,0.7792,0.5511,0.2877,0.5050,0.3754,0.5038,0.3866,0.9567,0.5345,0.9466,0.4797,0.5211,0.5480,0.5415
slope-on,55,9556246183124876902,48,0,0.8273,0.5073,0.4130,0.4167,0.5284,0.4725,0.5455,0.7068,0.4057,0.8887,0.4508,0.5279,0.5201,0.5343
slope-on,56,8691133741705831580,48,0,0.8047,0.5521,0.5616,0.4996,0.5184,0.4571,0.4437,0.7197,0.6345,0.8853,0.4757,0.4819,0.5240,0.4946
slope-on,57,10155043267947367360,48,0,0.7986,0.4912,0.4911,0.4439,0.6011,0.6310,0.4968,0.6374,0.6814,0.6467,0.4973,0.4876,0.5161,0.4952
slope-on,58,12920701246063819330,48,0,0.8032,0.4998,0.4393,0.5379,0.3928,0.4758,0.5487,0.7391,0.7502,0.9131,0.4833,0.5092,0.4898,0.4957
slope-on,59,1840291619486460822,48,0,0.8110,0.4459,0.4182,0.4848,0.4240,0.5879,0.5692,0.7628,0.6236,0.7164,0.5047,0.5271,0.4667,0.5089
slope-on,60,6387115559864274322,48,0,0.8268,0.4878,0.6172,0.4283,0.4922,0.5451,0.4894,0.8283,0.2681,0.8255,0.4395,0.5050,0.5153,0.5129
slope-on,61,3461379635839978892,47,0,0.7816,0.3767,0.5001,0.5697,0.6333,0.4337,0.4949,0.7469,0.4184,0.9081,0.4502,0.5008,0.5060,0.4800
slope-on,62,6968336406385943405,48,0,0.8087,0.4463,0.4799,0.4713,0.5519,0.3851,0.4458,0.5596,0.5110,0.6067,0.4252,0.4708,0.4791,0.5107
slope-on,63,15673829380833373054,48,0,0.8052,0.4794,0.6079,0.4615,0.4545,0.5642,0.5328,0.8927,0.1394,0.5826,0.4650,0.5233,0.5010,0.5465
slope-on,64,5355280856865774555,48,0,0.8234,0.5074,0.4982,0.5062,0.5330,0.6430,0.3870,0.8182,0.5663,0.7756,0.4726,0.4724,0.5342,0.5448
slope-on,65,16067511399361656048,48,0,0.7370,0.3209,0.4951,0.4996,0.7412,0.5007,0.6867,0.4198,0.5522,0.4762,0.4785,0.5477,0.5828,0.3989
slope-on,66,3207349886685019994,48,0,0.7977,0.4753,0.6850,0.5484,0.5295,0.4591,0.6028,0.7158,0.6043,0.8253,0.4625,0.5322,0.5105,0.5032
slope-on,67,5849645740465424916,48,0,0.8204,0.4568,0.4458,0.4000,0.4426,0.4750,0.5092,0.7095,0.6247,0.8123,0.4438,0.4750,0.4720,0.4641
slope-on,68,11475900702582775929,48,0,0.8190,0.5375,0.4845,0.4901,0.5998,0.5137,0.5320,0.9209,0.2572,0.8635,0.4619,0.4952,0.4784,0.5037
slope-on,69,10566172218156108090,48,0,0.8200,0.6217,0.4717,0.4471,0.4524,0.4604,0.4232,0.7811,0.7307,0.8133,0.4760,0.4773,0.4851,0.4861
slope-on,70,11761768310807461231,48,0,0.8372,0.6425,0.5083,0.4636,0.4529,0.4021,0.5283,0.6872,0.6379,0.9327,0.4257,0.5157,0.5186,0.5257
slope-on,71,13096311248869474229,48,0,0.8154,0.4521,0.5683,0.5723,0.4989,0.5192,0.5535,0.8053,0.3395,0.9370,0.4644,0.5011,0.5036,0.5179
slope-on,72,2173276134443237162,48,0,0.8156,0.5026,0.5571,0.5218,0.4038,0.4473,0.5240,0.7706,0.4246,0.8848,0.4846,0.5175,0.4826,0.4872
slope-on,73,15830159286134868156,48,0,0.8134,0.5628,0.6091,0.3832,0.5030,0.5314,0.5191,0.8177,0.7157,0.7064,0.4465,0.5116,0.4725,0.4732
slope-on,74,4196718556173824206,46,0,0.8050,0.5075,0.6304,0.5650,0.5608,0.4892,0.6408,0.6950,0.6365,0.8069,0.4704,0.5269,0.4814,0.5272
slope-on,75,9424601318896700193,48,0,0.8133,0.4145,0.5404,0.4935,0.6170,0.4094,0.4866,0.7316,0.8160,0.8183,0.4646,0.4898,0.5150,0.4869
slope-on,76,1373705077401145415,48,0,0.8098,0.5954,0.5180,0.5428,0.5111,0.3940,0.4460,0.7073,0.4718,0.7140,0.4607,0.5072,0.4956,0.4805
slope-on,77,9666915111349393612,48,0,0.7932,0.5400,0.5435,0.4499,0.5654,0.4414,0.5407,0.8010,0.4429,0.8092,0.4987,0.4789,0.4690,0.4864
slope-on,78,15049805267858291071,48,0,0.8116,0.4689,0.5128,0.5634,0.4657,0.4174,0.4704,0.7723,0.6234,0.9086,0.4836,0.5215,0.5094,0.4957
slope-on,79,12661639073435778612,47,0,0.8109,0.4741,0.4286,0.5681,0.5230,0.3716,0.6094,0.7601,0.3620,0.8422,0.4749,0.5150,0.4949,0.5217
slope-on,80,6469988030379478313,48,0,0.8095,0.5685,0.5091,0.4533,0.5860,0.5562,0.4631,0.7266,0.6543,0.6284,0.4567,0.4818,0.4903,0.5108
slope-on,81,4777972003762664006,48,0,0.8235,0.5027,0.4465,0.3669,0.5900,0.3806,0.4129,0.7173,0.6202,0.6771,0.4587,0.5020,0.4711,0.5244
slope-on,82,2687277477042037779,48,0,0.7891,0.4513,0.4968,0.5884,0.5024,0.5263,0.4230,0.8494,0.6010,0.6196,0.4699,0.5052,0.5412,0.5035
slope-on,83,12281528896393463583,48,0,0.8249,0.5591,0.6423,0.4766,0.5395,0.4155,0.5900,0.8555,0.6546,0.8602,0.4466,0.5232,0.4805,0.4845
slope-on,84,4811281255061239526,48,0,0.8041,0.4349,0.5229,0.5093,0.4938,0.5051,0.5994,0.8042,0.8512,0.7795,0.4504,0.4927,0.5020,0.4894
slope-on,85,14750180702251683065,48,0,0.7699,0.5293,0.4446,0.5582,0.4572,0.4732,0.5343,0.6253,0.6388,0.6519,0.4872,0.4870,0.5158,0.4803
slope-on,86,13900213452520946683,48,0,0.7915,0.4166,0.3246,0.4764,0.4190,0.5269,0.5346,0.6660,0.2852,0.7510,0.4959,0.4804,0.5242,0.5065
slope-on,87,4202031885949763585,48,0,0.8100,0.4445,0.5809,0.5846,0.4611,0.5504,0.5182,0.8545,0.8722,0.8798,0.4685,0.4852,0.5151,0.5145
slope-on,88,10365563033341199864,48,0,0.8276,0.4310,0.5451,0.5935,0.4619,0.4076,0.4023,0.7376,0.4943,0.8388,0.4494,0.4887,0.4955,0.4794
slope-on,89,1423156369833007984,48,0,0.8138,0.4885,0.5209,0.6356,0.5202,0.4391,0.4442,0.6254,0.7962,0.6418,0.4607,0.4755,0.4927,0.5072
slope-on,90,482337409379612771,48,0,0.7827,0.4343,0.5006,0.5676,0.4907,0.3535,0.4032,0.7990,0.5207,0.7968,0.4717,0.4604,0.4799,0.4959
slope-on,91,4660457256102012112,48,0,0.8123,0.4014,0.4839,0.6366,0.4509,0.4788,0.4699,0.7327,0.6123,0.8970,0.4583,0.4891,0.4771,0.4833
slope-on,92,12754718005679294877,48,0,0.8003,0.4703,0.4365,0.5498,0.4740,0.5612,0.3760,0.7170,0.7652,0.7635,0.4840,0.5108,0.4962,0.5051
slope-on,93,8138310172746682190,47,0,0.8080,0.5222,0.5405,0.5093,0.5301,0.4587,0.4457,0.6733,0.5492,0.8240,0.4919,0.5008,0.4916,0.4538
slope-on,94,16752524819514656067,48,0,0.8108,0.5828,0.4823,0.3472,0.5563,0.3762,0.4156,0.7448,0.7492,0.8882,0.4619,0.5176,0.4799,0.5123
slope-on,95,10758383355007815028,48,0,0.8132,0.4622,0.3737,0.4871,0.5140,0.5271,0.5314,0.7975,0.2584,0.8909,0.4598,0.5141,0.4522,0.5026
slope-on,96,917915829648190640,48,0,0.8149,0.4705,0.5331,0.5869,0.4552,0.4325,0.5432,0.8868,0.1904,0.6475,0.4678,0.4922,0.5090,0.5026
slope-on,97,291078078390359090,48,0,0.7834,0.5225,0.6409,0.6488,0.5503,0.4286,0.3974,0.7013,0.5772,0.7971,0.4747,0.4635,0.5351,0.5146
slope-on,98,11094990773034490184,48,0,0.7905,0.5738,0.4470,0.5036,0.4980,0.5694,0.5288,0.6584,0.6355,0.5769,0.4430,0.4982,0.5118,0.5127
slope-on,99,135895372885935125,48,0,0.7807,0.4613,0.4620,0.3785,0.5753,0.4834,0.4532,0.7863,0.3136,0.7944,0.4841,0.4865,0.4375,0.5024
slope-on,100,8691059753273148202,47,0,0.8077,0.5589,0.3852,0.3390,0.2883,0.3088,0.5485,0.8557,0.8503,0.8123,0.4852,0.5276,0.5079,0.5135
slope-on,101,10360201250037248156,48,0,0.7627,0.5885,0.5262,0.4916,0.5693,0.4611,0.5006,0.6351,0.6191,0.8660,0.4826,0.4862,0.5189,0.4981
slope-on,102,4800752631110089521,48,0,0.8087,0.4022,0.3984,0.4877,0.4744,0.5228,0.4307,0.6535,0.7093,0.8308,0.4766,0.5035,0.5119,0.5360
slope-on,103,3176387243654219231,48,0,0.8069,0.4720,0.4210,0.5006,0.5937,0.5037,0.3986,0.6741,0.8497,0.8337,0.4540,0.4968,0.4903,0.5236
slope-on,104,12842117527445291606,48,0,0.8022,0.4953,0.4728,0.6181,0.5959,0.5771,0.5794,0.6724,0.5773,0.9497,0.4572,0.5221,0.5211,0.4850
slope-on,105,520436463362963235,48,0,0.8042,0.6138,0.5625,0.4419,0.5335,0.5075,0.5268,0.7612,0.5839,0.8267,0.4741,0.4765,0.4875,0.4699
slope-on,106,135622345248962082,48,0,0.8294,0.3684,0.5051,0.4719,0.5305,0.3979,0.4137,0.7751,0.2994,0.9750,0.4742,0.4642,0.5051,0.5328
slope-on,107,7695082389995888052,48,0,0.8036,0.4054,0.6598,0.6211,0.3414,0.5394,0.6089,0.9252,0.5155,0.7318,0.4587,0.4885,0.4567,0.4754
slope-on,108,1983129565442181814,47,0,0.8174,0.5706,0.5301,0.4791,0.5764,0.5040,0.6413,0.7151,0.4265,0.6707,0.4326,0.4979,0.4998,0.5454
slope-on,109,2924102913739692341,48,0,0.7970,0.5535,0.4426,0.5517,0.4957,0.4643,0.5771,0.6899,0.7519,0.6786,0.4761,0.4882,0.4370,0.5118
slope-on,110,6836906472473449888,48,0,0.8060,0.4457,0.5661,0.4969,0.4086,0.4723,0.6980,0.7640,0.6756,0.8684,0.4924,0.5027,0.5201,0.5235
slope-on,111,7857156942603767356,48,0,0.7223,0.5936,0.5194,0.5500,0.4207,0.5498,0.4760,0.8979,0.4661,0.7764,0.4685,0.4909,0.4798,0.5190
slope-on,112,7240160563897378013,47,0,0.7935,0.5116,0.5749,0.4606,0.4558,0.3913,0.4962,0.7533,0.4672,0.8778,0.4531,0.5172,0.5459,0.5193
slope-on,113,8771633438028217871,48,0,0.7889,0.4251,0.5394,0.5884,0.3814,0.3979,0.4966,0.7777,0.3821,0.7958,0.4755,0.4685,0.4898,0.5075
slope-on,114,16105862687043231600,48,0,0.7745,0.4543,0.4177,0.5469,0.4859,0.6160,0.5184,0.8601,0.5753,0.6395,0.4760,0.5257,0.5174,0.5170
slope-on,115,2966969815049480559,48,0,0.7839,0.5730,0.4801,0.4607,0.5106,0.4408,0.4152,0.6711,0.4222,0.6597,0.4650,0.5109,0.5389,0.4971
slope-on,116,16587931620021362882,48,0,0.8146,0.5537,0.5904,0.5072,0.4185,0.5709,0.4805,0.7313,0.7343,0.6839,0.4770,0.5500,0.4755,0.5006
slope-on,117,13323028223565514594,48,0,0.7286,0.4154,0.6015,0.5230,0.3611,0.4816,0.5114,0.6913,0.9210,0.7454,0.4685,0.4234,0.5102,0.4953
slope-on,118,18154518608453104576,48,0,0.8123,0.5067,0.4357,0.5911,0.4665,0.5135,0.5249,0.7199,0.8111,0.8386,0.4480,0.4914,0.5087,0.4786
slope-on,119,8651883102288209819,48,0,0.8119,0.5111,0.5596,0.4984,0.4193,0.4949,0.6404,0.6758,0.5625,0.7086,0.4880,0.4867,0.5000,0.5137
slope-on,120,14287313712949214448,47,0,0.7927,0.5035,0.6208,0.5879,0.5006,0.5091,0.5616,0.7901,0.4003,0.7149,0.4553,0.4944,0.5290,0.5026
slope-on,121,10842739912707989852,48,0,0.8455,0.3860,0.5804,0.4934,0.4519,0.4303,0.4728,0.6587,0.6114,0.7497,0.4665,0.4942,0.5097,0.5143
slope-on,122,11334900865164559955,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,123,4968174809927062957,48,0,0.8274,0.5796,0.4257,0.4004,0.4986,0.3896,0.3890,0.6575,0.3764,0.9110,0.4602,0.5454,0.5186,0.5078
slope-on,124,14273974617703568022,48,0,0.7817,0.5491,0.5367,0.4508,0.4921,0.5134,0.4830,0.8051,0.7497,0.8904,0.4838,0.5234,0.5141,0.4882
slope-on,125,16238794058820317046,48,0,0.7820,0.4973,0.4222,0.4879,0.4414,0.5929,0.5305,0.6786,0.7208,0.7836,0.4846,0.5066,0.4756,0.5098
slope-on,126,11109797057564624916,48,0,0.7953,0.4634,0.5359,0.5917,0.4801,0.4735,0.5076,0.7552,0.5612,0.7115,0.4827,0.4843,0.4724,0.4708
slope-on,127,9677427841232990587,48,0,0.8025,0.4973,0.5333,0.4745,0.4329,0.5785,0.5044,0.7596,0.8683,0.8613,0.4905,0.5251,0.4970,0.5177
slope-on,128,9135108701626440926,47,0,0.8289,0.3761,0.5301,0.4042,0.5010,0.4367,0.6203,0.6187,0.6248,0.8438,0.4755,0.5174,0.4950,0.4954
slope-on,129,13215191156524330287,48,0,0.8076,0.6397,0.3964,0.4591,0.5198,0.4440,0.5852,0.7688,0.4410,0.8946,0.4690,0.5020,0.5194,0.5061
slope-on,130,10951609051381589713,48,0,0.8075,0.6329,0.4875,0.4069,0.6323,0.4380,0.4713,0.6891,0.7805,0.8433,0.4657,0.4695,0.4875,0.5016
slope-on,131,12940457106595612957,48,0,0.7859,0.5169,0.4895,0.5954,0.5615,0.4960,0.4454,0.6676,0.5462,0.7548,0.4527,0.4845,0.5065,0.4755
slope-on,132,4758495785341449679,48,0,0.7909,0.5066,0.5905,0.4686,0.5104,0.5124,0.4225,0.8115,0.6178,0.8781,0.4786,0.5199,0.4959,0.5022
slope-on,133,3321111615561354664,48,0,0.8165,0.4914,0.5664,0.4493,0.5051,0.5486,0.4073,0.8226,0.5445,0.9203,0.4683,0.5153,0.5102,0.4873
slope-on,134,8916299295646295415,47,0,0.8163,0.4752,0.6782,0.3815,0.5262,0.5578,0.5305,0.8212,0.5307,0.9270,0.4872,0.5453,0.5108,0.5232
slope-on,135,15214780087211133291,48,0,0.8254,0.3968,0.4647,0.4808,0.4663,0.3657,0.5388,0.7606,0.7294,0.8666,0.4943,0.4993,0.4929,0.4866
slope-on,136,6367841269483260369,48,0,0.8035,0.4904,0.5642,0.5046,0.4554,0.6291,0.3325,0.8440,0.6282,0.8203,0.4889,0.4849,0.4761,0.4929
slope-on,137,5546625775278778562,48,0,0.7742,0.5454,0.5937,0.4563,0.5977,0.4525,0.5791,0.8521,0.3333,0.7631,0.4775,0.5158,0.5031,0.5040
slope-on,138,12507057776470781645,48,0,0.8145,0.4587,0.6142,0.4878,0.5207,0.4493,0.4727,0.8638,0.4428,0.8770,0.4913,0.5280,0.5017,0.4908
slope-on,139,10728727258217419288,48,0,0.8319,0.3666,0.5278,0.4940,0.4411,0.4205,0.4773,0.6661,0.5792,0.6004,0.4433,0.5140,0.5178,0.4765
slope-on,140,11314866367920821250,48,0,0.8132,0.3630,0.6401,0.5563,0.5636,0.3990,0.5364,0.7509,0.3550,0.6818,0.4543,0.4863,0.4914,0.5115
slope-on,141,13071634706733241678,48,0,0.8102,0.4922,0.6151,0.5629,0.5319,0.4641,0.4756,0.8430,0.6452,0.8284,0.4686,0.5057,0.4965,0.4963
slope-on,142,18178732713296691847,48,0,0.8121,0.5659,0.4955,0.4268,0.5777,0.4232,0.5638,0.7122,0.3818,0.7308,0.4912,0.5156,0.4779,0.5183
slope-on,143,15663553235592600506,48,0,0.8170,0.4672,0.5545,0.4588,0.5297,0.3393,0.4358,0.7318,0.3053,0.7132,0.4122,0.4577,0.4873,0.4845
slope-on,144,17122006661358322098,48,0,0.7964,0.5103,0.5708,0.6459,0.5479,0.5276,0.3995,0.8748,0.7857,0.8924,0.4797,0.5247,0.4694,0.5088
slope-on,145,13519784992246634734,48,0,0.8384,0.5913,0.5452,0.5517,0.5402,0.4360,0.5106,0.8339,0.6350,0.7692,0.4579,0.5262,0.4802,0.5185
slope-on,146,14178313571298850744,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,147,7737359732652393418,48,0,0.7792,0.3523,0.5296,0.6025,0.5495,0.4383,0.2650,0.6337,0.7082,0.5241,0.4555,0.4982,0.4592,0.4338
slope-on,148,10065891913441582906,48,0,0.8044,0.4419,0.5452,0.4973,0.4227,0.5179,0.6402,0.8046,0.7325,0.7975,0.4888,0.4967,0.4842,0.5116
slope-on,149,9211758850244637808,48,0,0.8290,0.4995,0.6243,0.3675,0.4683,0.5113,0.5779,0.8282,0.5409,0.7718,0.4562,0.5202,0.5106,0.5047
slope-on,150,17759760713716175965,48,0,0.8070,0.5461,0.6500,0.5666,0.6658,0.5446,0.3940,0.7587,0.6405,0.6395,0.4572,0.4946,0.5020,0.5144
slope-on,151,7904119599032907977,48,0,0.8094,0.5099,0.5663,0.5492,0.4457,0.5041,0.4919,0.8513,0.3761,0.6641,0.4599,0.4923,0.4633,0.4834
slope-on,152,6682477757971753071,48,0,0.7978,0.5673,0.5959,0.5214,0.3877,0.6242,0.4906,0.8817,0.7615,0.6607,0.4344,0.5027,0.5202,0.5040
slope-on,153,6033937149782163863,48,0,0.8110,0.5769,0.5802,0.4541,0.5367,0.4830,0.5444,0.8024,0.6427,0.9228,0.4736,0.4759,0.4837,0.4927
slope-on,154,17201487621115358582,48,0,0.8188,0.4700,0.5795,0.4348,0.5429,0.5850,0.4961,0.7452,0.4224,0.7698,0.4742,0.4978,0.4713,0.4891
slope-on,155,2577792856328367031,48,0,0.7841,0.4992,0.5502,0.5097,0.5168,0.4700,0.4622,0.8643,0.5500,0.8584,0.4753,0.5198,0.4823,0.5105
slope-on,156,6641980349649186554,48,0,0.8122,0.5729,0.4765,0.4885,0.4796,0.5463,0.5052,0.8053,0.6542,0.8725,0.4788,0.4829,0.5043,0.4993
slope-on,157,1415403398881457168,48,0,0.8330,0.3746,0.5341,0.4314,0.5654,0.4538,0.5038,0.6660,0.7033,0.6402,0.4566,0.5037,0.5333,0.4806
slope-on,158,4353462924185003047,47,0,0.8196,0.4640,0.5072,0.4899,0.4508,0.4925,0.5217,0.7473,0.4956,0.8778,0.4600,0.4993,0.5008,0.5142
slope-on,159,17296944233127809783,48,0,0.7960,0.4652,0.4773,0.6075,0.5229,0.5300,0.4534,0.7687,0.4297,0.9353,0.5018,0.4953,0.4990,0.4929
slope-on,160,17008055913421664322,47,0,0.8266,0.5858,0.6267,0.4261,0.5114,0.4709,0.5255,0.7387,0.6691,0.8909,0.4725,0.5145,0.4856,0.5212
slope-on,161,6405509683908702651,48,0,0.8236,0.3605,0.5477,0.5136,0.5615,0.5615,0.5004,0.6700,0.4384,0.7732,0.4723,0.5411,0.5019,0.5040
