schema=1
code_revision=84ca29e
scenario_id=p4-defense-calibration-moderate
scenario_layout_fingerprint=7502803383825105874
scenario_resource_count=30
first_seed=42
seed_count=120
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=48
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-off,68,17790600848675538590,48,0,0.8015,0.5245,0.5690,0.5098,0.4471,0.6054,0.4383,0.9250,0.6040,0.7484,0.4885,0.5051,0.4804,0.4934
slope-off,69,10490625902737736413,48,0,0.8007,0.6352,0.4890,0.4646,0.5007,0.4626,0.4043,0.6877,0.5876,0.8450,0.4614,0.4656,0.4909,0.4991
slope-off,70,11761768310807461231,48,0,0.8372,0.6425,0.5083,0.4636,0.4529,0.4021,0.5283,0.6872,0.6379,0.9327,0.4257,0.5157,0.5186,0.5257
slope-off,71,17745393498592279050,48,0,0.8009,0.5465,0.4511,0.4683,0.5495,0.5810,0.5235,0.7258,0.4940,0.8916,0.4747,0.5014,0.4988,0.5123
slope-off,72,2173276134443237162,48,0,0.8156,0.5026,0.5571,0.5218,0.4038,0.4473,0.5240,0.7706,0.4246,0.8848,0.4846,0.5175,0.4826,0.4872
slope-off,73,15830159286134868156,48,0,0.8134,0.5628,0.6091,0.3832,0.5030,0.5314,0.5191,0.8177,0.7157,0.7064,0.4465,0.5116,0.4725,0.4732
slope-off,74,6575001842733594417,48,0,0.8071,0.5760,0.6319,0.4827,0.5050,0.4673,0.5874,0.6958,0.4276,0.8695,0.4700,0.5087,0.5226,0.5282
slope-off,75,9424601318896700193,48,0,0.8133,0.4145,0.5404,0.4935,0.6170,0.4094,0.4866,0.7316,0.8160,0.8183,0.4646,0.4898,0.5150,0.4869
slope-off,76,1373705077401145415,48,0,0.8098,0.5954,0.5180,0.5428,0.5111,0.3940,0.4460,0.7073,0.4718,0.7140,0.4607,0.5072,0.4956,0.4805
slope-off,77,9617544661351141750,48,0,0.8095,0.4580,0.5720,0.5250,0.5500,0.4402,0.4410,0.8922,0.3739,0.7470,0.5153,0.4808,0.4976,0.4972
slope-off,78,15049805267858291071,48,0,0.8116,0.4689,0.5128,0.5634,0.4657,0.4174,0.4704,0.7723,0.6234,0.9086,0.4836,0.5215,0.5094,0.4957
slope-off,79,12661639073435778612,47,0,0.8109,0.4741,0.4286,0.5681,0.5230,0.3716,0.6094,0.7601,0.3620,0.8422,0.4749,0.5150,0.4949,0.5217
slope-off,80,5386741838084619371,48,0,0.7980,0.6409,0.5263,0.5688,0.4817,0.4608,0.4664,0.7311,0.6772,0.7464,0.4663,0.5078,0.4849,0.4917
slope-off,81,9874261487372930225,48,0,0.8118,0.5523,0.4808,0.3385,0.5558,0.3565,0.3802,0.7419,0.6251,0.7334,0.4685,0.4997,0.5029,0.5145
slope-off,82,2687277477042037779,48,0,0.7891,0.4513,0.4968,0.5884,0.5024,0.5263,0.4230,0.8494,0.6010,0.6196,0.4699,0.5052,0.5412,0.5035
slope-off,83,12281528896393463583,48,0,0.8249,0.5591,0.6423,0.4766,0.5395,0.4155,0.5900,0.8555,0.6546,0.8602,0.4466,0.5232,0.4805,0.4845
slope-off,84,2886805184100499296,48,0,0.8173,0.5111,0.5095,0.5838,0.5342,0.4354,0.4727,0.6677,0.6074,0.7979,0.4250,0.5129,0.4920,0.4964
slope-off,85,6980147247358372368,48,0,0.8337,0.4647,0.4801,0.4627,0.4183,0.5679,0.5663,0.6701,0.4892,0.6315,0.4379,0.5053,0.5288,0.4976
slope-off,86,13900213452520946683,48,0,0.7915,0.4166,0.3246,0.4764,0.4190,0.5269,0.5346,0.6660,0.2852,0.7510,0.4959,0.4804,0.5242,0.5065
slope-off,87,4202031885949763585,48,0,0.8100,0.4445,0.5809,0.5846,0.4611,0.5504,0.5182,0.8545,0.8722,0.8798,0.4685,0.4852,0.5151,0.5145
slope-off,88,12395994773898193775,48,0,0.8043,0.4256,0.5677,0.6394,0.4894,0.3856,0.3769,0.7390,0.5341,0.8766,0.4796,0.4902,0.4826,0.4798
slope-off,89,1423156369833007984,48,0,0.8138,0.4885,0.5209,0.6356,0.5202,0.4391,0.4442,0.6254,0.7962,0.6418,0.4607,0.4755,0.4927,0.5072
slope-off,90,482337409379612771,48,0,0.7827,0.4343,0.5006,0.5676,0.4907,0.3535,0.4032,0.7990,0.5207,0.7968,0.4717,0.4604,0.4799,0.4959
slope-off,91,4660457256102012112,48,0,0.8123,0.4014,0.4839,0.6366,0.4509,0.4788,0.4699,0.7327,0.6123,0.8970,0.4583,0.4891,0.4771,0.4833
slope-off,92,12575943739778904858,48,0,0.8063,0.4112,0.4835,0.6224,0.5245,0.5467,0.4448,0.8036,0.6238,0.8058,0.4901,0.4991,0.5184,0.4868
slope-off,93,8138310172746682190,47,0,0.8080,0.5222,0.5405,0.5093,0.5301,0.4587,0.4457,0.6733,0.5492,0.8240,0.4919,0.5008,0.4916,0.4538
slope-off,94,16752524819514656067,48,0,0.8108,0.5828,0.4823,0.3472,0.5563,0.3762,0.4156,0.7448,0.7492,0.8882,0.4619,0.5176,0.4799,0.5123
slope-off,95,6183410580105555351,47,0,0.8280,0.4207,0.3958,0.5344,0.5234,0.5464,0.5263,0.7239,0.2543,0.8838,0.4750,0.5318,0.4050,0.5075
slope-off,96,917915829648190640,48,0,0.8149,0.4705,0.5331,0.5869,0.4552,0.4325,0.5432,0.8868,0.1904,0.6475,0.4678,0.4922,0.5090,0.5026
slope-off,97,291078078390359090,48,0,0.7834,0.5225,0.6409,0.6488,0.5503,0.4286,0.3974,0.7013,0.5772,0.7971,0.4747,0.4635,0.5351,0.5146
slope-off,98,14308573230937833078,48,0,0.8288,0.5177,0.5379,0.4947,0.4839,0.5476,0.4999,0.7524,0.3777,0.7573,0.4547,0.5120,0.4842,0.4800
slope-off,99,135895372885935125,48,0,0.7807,0.4613,0.4620,0.3785,0.5753,0.4834,0.4532,0.7863,0.3136,0.7944,0.4841,0.4865,0.4375,0.5024
slope-off,100,183352946134715527,47,0,0.8079,0.5463,0.4011,0.3430,0.2857,0.2983,0.5449,0.8539,0.8477,0.8089,0.4852,0.5234,0.5101,0.5121
slope-off,101,3898543581900917146,47,0,0.7793,0.6079,0.5758,0.5096,0.5961,0.4468,0.4224,0.6761,0.6863,0.7955,0.5143,0.4869,0.5186,0.5053
slope-off,102,6134409631351529849,48,0,0.8088,0.3509,0.3540,0.4617,0.4952,0.5194,0.6039,0.6901,0.7154,0.8014,0.4901,0.5112,0.5210,0.5003
slope-off,103,3176387243654219231,48,0,0.8069,0.4720,0.4210,0.5006,0.5937,0.5037,0.3986,0.6741,0.8497,0.8337,0.4540,0.4968,0.4903,0.5236
slope-off,104,12842117527445291606,48,0,0.8022,0.4953,0.4728,0.6181,0.5959,0.5771,0.5794,0.6724,0.5773,0.9497,0.4572,0.5221,0.5211,0.4850
