terrain,arm,seed,hash,occupancy,population,extinct,frozen,plant_births,highest_plant_generation,growth_founder,growth_final,growth_delta,seedinvestment_founder,seedinvestment_final,seedinvestment_delta,waterefficiency_founder,waterefficiency_final,waterefficiency_delta,nutrition_founder,nutrition_final,nutrition_delta,defense_founder,defense_final,defense_delta,dispersal_founder,dispersal_final,dispersal_delta,moisturetolerance_founder,moisturetolerance_final,moisturetolerance_delta,temperaturetolerance_founder,temperaturetolerance_final,temperaturetolerance_delta,nutrientuptake_founder,nutrientuptake_final,nutrientuptake_delta,seedlingresilience_founder,seedlingresilience_final,seedlingresilience_delta,seedproductionrate_founder,seedproductionrate_final,seedproductionrate_delta
terrain,contest-on,127,17433788901617062886,1,48,0,0,206,16,0.4,0.43877,0.03877,0.44,0.68568,0.24568,0.48,0.43832,-0.04168,0.52,0.48918,-0.03082,0.56,0.67779,0.11779,0.6,0.78029,0.18029,0.56667,0.59957,0.03291,0.53333,0.36877,-0.16456,0.5,0.37029,-0.12971,0.46667,0.46863,0.00196,0.43333,0.54813,0.11479
terrain,contest-on,128,6038234561125480351,0.83333,48,0,0,216,14,0.4,0.51244,0.11244,0.44,0.59413,0.15413,0.48,0.5229,0.0429,0.52,0.64455,0.12455,0.56,0.63224,0.07224,0.6,0.76593,0.16593,0.56667,0.48244,-0.08423,0.53333,0.29793,-0.2354,0.5,0.35528,-0.14472,0.46667,0.38655,-0.08011,0.43333,0.41147,-0.02187
terrain,contest-on,129,14021826648702354045,0.91667,48,0,0,234,14,0.4,0.47343,0.07343,0.44,0.58231,0.14231,0.48,0.53557,0.05557,0.52,0.5914,0.0714,0.56,0.56127,0.00127,0.6,0.78066,0.18066,0.56667,0.39729,-0.16938,0.53333,0.45267,-0.08067,0.5,0.43535,-0.06465,0.46667,0.56317,0.0965,0.43333,0.3632,-0.07013
terrain,contest-on,130,1535318947608207415,0.95833,48,0,0,198,13,0.4,0.46043,0.06043,0.44,0.53577,0.09577,0.48,0.37221,-0.10779,0.52,0.42603,-0.09397,0.56,0.51922,-0.04078,0.6,0.59883,-0.00117,0.56667,0.5997,0.03303,0.53333,0.60694,0.07361,0.5,0.56785,0.06785,0.46667,0.62955,0.16288,0.43333,0.26043,-0.1729
terrain,contest-on,131,1445529800011824951,1,47,0,0,215,12,0.4,0.30943,-0.09057,0.44,0.52924,0.08924,0.48,0.56429,0.08429,0.52,0.6207,0.1007,0.56,0.51057,-0.04943,0.6,0.72136,0.12136,0.56667,0.42228,-0.14439,0.53333,0.61624,0.08291,0.5,0.59937,0.09937,0.46667,0.40361,-0.06306,0.43333,0.34425,-0.08909
terrain,contest-on,132,10240134121159945516,0.875,48,0,0,219,11,0.4,0.36645,-0.03355,0.44,0.3853,-0.0547,0.48,0.55824,0.07824,0.52,0.51741,-0.00259,0.56,0.61882,0.05882,0.6,0.58094,-0.01906,0.56667,0.63556,0.0689,0.53333,0.57396,0.04063,0.5,0.52304,0.02304,0.46667,0.41771,-0.04896,0.43333,0.33694,-0.09639
terrain,contest-on,133,2313530599356526276,0.91667,48,0,0,203,13,0.4,0.45665,0.05665,0.44,0.47052,0.03052,0.48,0.40528,-0.07472,0.52,0.5239,0.0039,0.56,0.54801,-0.01199,0.6,0.63067,0.03067,0.56667,0.64797,0.0813,0.53333,0.48006,-0.05328,0.5,0.35811,-0.14189,0.46667,0.42768,-0.03899,0.43333,0.35294,-0.0804
terrain,contest-on,134,8707391176810545805,0.91667,47,0,0,215,14,0.4,0.38107,-0.01893,0.44,0.52236,0.08236,0.48,0.50047,0.02047,0.52,0.60473,0.08473,0.56,0.57987,0.01987,0.6,0.68284,0.08284,0.56667,0.42187,-0.14479,0.53333,0.49843,-0.0349,0.5,0.24951,-0.25049,0.46667,0.38496,-0.0817,0.43333,0.40602,-0.02732
terrain,contest-on,135,8076804845649157439,0.95833,45,0,0,184,13,0.4,0.41531,0.01531,0.44,0.42364,-0.01636,0.48,0.48914,0.00914,0.52,0.51562,-0.00438,0.56,0.53617,-0.02383,0.6,0.6578,0.0578,0.56667,0.53965,-0.02702,0.53333,0.64862,0.11529,0.5,0.62576,0.12576,0.46667,0.55459,0.08792,0.43333,0.34645,-0.08688
terrain,contest-on,136,915907740681248944,0.875,24,0,0,196,13,0.4,0.38558,-0.01442,0.44,0.54074,0.10074,0.48,0.50519,0.02519,0.52,0.53116,0.01116,0.56,0.60713,0.04713,0.6,0.76957,0.16957,0.56667,0.56077,-0.0059,0.53333,0.49313,-0.0402,0.5,0.41259,-0.08741,0.46667,0.32533,-0.14134,0.43333,0.40463,-0.0287
terrain,contest-on,137,13079400077105904821,0.95833,48,0,0,189,13,0.4,0.40628,0.00628,0.44,0.50222,0.06222,0.48,0.37976,-0.10024,0.52,0.47902,-0.04098,0.56,0.50965,-0.05035,0.6,0.60222,0.00222,0.56667,0.61151,0.04485,0.53333,0.59835,0.06501,0.5,0.44879,-0.05121,0.46667,0.53991,0.07324,0.43333,0.34441,-0.08892
terrain,contest-on,138,6453979729763261116,0.95833,48,0,0,208,14,0.4,0.46722,0.06722,0.44,0.49994,0.05994,0.48,0.54337,0.06337,0.52,0.55837,0.03837,0.56,0.63884,0.07884,0.6,0.64985,0.04985,0.56667,0.4633,-0.10337,0.53333,0.58265,0.04931,0.5,0.51376,0.01376,0.46667,0.47579,0.00913,0.43333,0.36028,-0.07305
terrain,contest-on,139,12382786356551455075,0.95833,48,0,0,211,12,0.4,0.41105,0.01105,0.44,0.42811,-0.01189,0.48,0.32166,-0.15834,0.52,0.48081,-0.03919,0.56,0.47433,-0.08567,0.6,0.6447,0.0447,0.56667,0.51831,-0.04836,0.53333,0.5897,0.05636,0.5,0.56266,0.06266,0.46667,0.59645,0.12979,0.43333,0.54592,0.11258
terrain,contest-on,140,4847048986199896772,0.91667,48,0,0,220,15,0.4,0.66216,0.26216,0.44,0.46799,0.02799,0.48,0.514,0.034,0.52,0.54158,0.02158,0.56,0.6272,0.0672,0.6,0.61018,0.01018,0.56667,0.5417,-0.02496,0.53333,0.55358,0.02024,0.5,0.55601,0.05601,0.46667,0.42414,-0.04253,0.43333,0.3385,-0.09483
terrain,contest-on,141,10181216664506885687,1,48,0,0,206,14,0.4,0.43342,0.03342,0.44,0.39068,-0.04932,0.48,0.45568,-0.02432,0.52,0.5304,0.0104,0.56,0.52738,-0.03262,0.6,0.60986,0.00986,0.56667,0.3907,-0.17597,0.53333,0.50653,-0.0268,0.5,0.5415,0.0415,0.46667,0.58958,0.12292,0.43333,0.52679,0.09345
