cap,seed,startDefense,endDefense,delta,grazingPressure,finalPop,plantGen,biomassDispersion
12,46,0.29681,0.07213,-0.22468,0.000866,12,16,0.2410
12,47,0.27481,0.09787,-0.17693,0.001109,12,15,0.2206
12,48,0.29538,0.40265,0.10726,0.001092,12,14,0.2035
12,49,0.28272,0.37533,0.09261,0.001059,12,16,0.2228
12,50,0.33003,0.30558,-0.02445,0.001296,12,14,0.2230
12,51,0.30208,0.30971,0.00762,0.001291,12,15,0.2090
12,52,0.32676,0.38053,0.05377,0.001021,12,14,0.2370
12,53,0.33023,0.26077,-0.06946,0.001090,12,15,0.1860
12,54,0.25910,0.41526,0.15616,0.000937,12,16,0.1705
12,55,0.30582,0.36560,0.05978,0.001302,12,14,0.2096
12,56,0.30997,0.02623,-0.28374,0.001051,12,14,0.2071
12,57,0.32134,0.08928,-0.23205,0.000987,12,16,0.2069
12,58,0.23904,0.25944,0.02040,0.000871,12,15,0.1766
12,59,0.30402,0.03024,-0.27379,0.000867,12,19,0.1861
12,60,0.31075,0.07187,-0.23888,0.000922,12,17,0.1849
12,61,0.32647,0.08093,-0.24553,0.000788,12,14,0.2038
12,62,0.30712,0.03939,-0.26773,0.000971,12,16,0.1801
12,63,0.30716,0.24217,-0.06499,0.001023,12,16,0.1848
12,64,0.27809,0.03578,-0.24231,0.000959,12,19,0.1862
12,65,0.30719,0.14600,-0.16119,0.000951,12,14,0.1986
12,66,0.31583,0.06386,-0.25197,0.000909,12,16,0.1937
12,67,0.29965,0.29533,-0.00432,0.000916,12,15,0.2151
12,68,0.30951,0.10464,-0.20487,0.001064,12,15,0.2263
12,69,0.30286,0.04532,-0.25754,0.001070,12,18,0.1889
12,70,0.30207,0.15659,-0.14548,0.001146,12,15,0.1806
12,71,0.28742,0.11117,-0.17625,0.000750,12,16,0.1978
18,42,0.27620,0.41935,0.14315,0.001606,18,15,0.2224
18,43,0.29630,0.07628,-0.22002,0.001546,18,14,0.2091
18,44,0.32854,0.24215,-0.08639,0.001509,18,15,0.2250
18,45,0.29815,0.19792,-0.10023,0.001374,18,15,0.1849
18,46,0.29681,0.29467,-0.00214,0.001283,18,15,0.2063
18,47,0.27481,0.33097,0.05616,0.001491,18,15,0.2245
18,48,0.29538,0.06663,-0.22875,0.001396,18,15,0.1689
18,49,0.28272,0.23259,-0.05013,0.001713,18,14,0.1969
18,50,0.33003,0.03599,-0.29403,0.001516,18,15,0.2098
18,51,0.30208,0.55540,0.25332,0.001759,18,13,0.2167
18,52,0.32676,0.53981,0.21304,0.001608,18,16,0.2042
18,53,0.33023,0.07704,-0.25319,0.001342,18,12,0.1981
18,54,0.25910,0.10604,-0.15306,0.001432,18,16,0.2052
18,55,0.30582,0.70350,0.39769,0.001724,18,17,0.2207
18,56,0.30997,0.09572,-0.21425,0.001757,18,15,0.2169
18,57,0.32134,0.06553,-0.25581,0.001303,18,18,0.2102
18,58,0.23904,0.20286,-0.03618,0.001275,18,15,0.2337
18,59,0.30402,0.25462,-0.04941,0.001704,18,15,0.2261
18,60,0.31075,0.20896,-0.10180,0.001537,18,16,0.1901
18,61,0.32647,0.05730,-0.26917,0.001240,18,17,0.1974
18,62,0.30712,0.06488,-0.24223,0.001510,18,17,0.2060
18,63,0.30716,0.29612,-0.01104,0.001595,18,14,0.2008
18,64,0.27809,0.08673,-0.19136,0.001481,18,18,0.1958
18,65,0.30719,0.57180,0.26461,0.001755,18,15,0.2211
18,66,0.31583,0.02528,-0.29055,0.001436,18,14,0.1997
