arm,seed,sample,sample_count,tick,population,extinct_at_end,at_cap,peak_population,starvation_deaths,dehydration_deaths,age_deaths,health_deaths,predation_deaths,starvation_deaths_interval,total_deaths_interval,plant_patches,seed_eligible_patches,plant_biomass,plant_growth_cumulative,plant_offtake_cumulative,plant_mortality_cumulative,mean_energy_fraction,behavior_hash
control,43,12,27,32000,0,1,0,466,416,0,287,0,0,0,0,0,0,0,22250.0957,13648.457,9033.8701,,16356282185947996698
control,43,13,27,34666,0,1,0,466,416,0,287,0,0,0,0,0,0,0,22250.0957,13648.457,9033.8701,,5751362029077952636
control,43,14,27,37333,0,1,0,466,416,0,287,0,0,0,0,0,0,0,22250.0957,13648.457,9033.8701,,5783824555854320977
control,43,15,27,40000,0,1,0,466,416,0,287,0,0,0,0,0,0,0,22250.0957,13648.457,9033.8701,,2433393241422051546
control,43,16,27,42666,0,1,0,466,416,0,287,0,0,0,0,0,0,0,22250.0957,13648.457,9033.8701,,7338810193720215868
control,43,17,27,45333,0,1,0,466,416,0,287,0,0,0,0,0,0,0,22250.0957,13648.457,9033.8701,,5328992711498943761
control,43,18,27,48000,0,1,0,466,416,0,287,0,0,0,0,0,0,0,22250.0957,13648.457,9033.8701,,4569039376031902874
control,43,19,27,50666,0,1,0,466,416,0,287,0,0,0,0,0,0,0,22250.0957,13648.457,9033.8701,,12694989324424310012
control,43,20,27,53333,0,1,0,466,416,0,287,0,0,0,0,0,0,0,22250.0957,13648.457,9033.8701,,9272931340308196305
control,43,21,27,56000,0,1,0,466,416,0,287,0,0,0,0,0,0,0,22250.0957,13648.457,9033.8701,,6745636930917147994
control,43,22,27,58666,0,1,0,466,416,0,287,0,0,0,0,0,0,0,22250.0957,13648.457,9033.8701,,7853211368295830460
control,43,23,27,61333,0,1,0,466,416,0,287,0,0,0,0,0,0,0,22250.0957,13648.457,9033.8701,,2085266855998961041
control,43,24,27,64000,0,1,0,466,416,0,287,0,0,0,0,0,0,0,22250.0957,13648.457,9033.8701,,16944953679854662426
control,43,25,27,66666,0,1,0,466,416,0,287,0,0,0,0,0,0,0,22250.0957,13648.457,9033.8701,,9418346541224706428
control,43,26,27,69333,0,1,0,466,416,0,287,0,0,0,0,0,0,0,22250.0957,13648.457,9033.8701,,15071147421436173905
control,43,27,27,72000,0,1,0,466,416,0,287,0,0,0,0,0,0,0,22250.0957,13648.457,9033.8701,,14431892247028571610
control,44,1,27,2666,27,1,0,347,0,0,4,0,0,0,4,20,17,1277.7307,2621.9651,412.9985,1363.241,0.6629,5034689100409092640
control,44,2,27,5333,29,1,0,347,0,0,28,0,0,0,24,22,21,1504.5223,5390.7656,1014.683,3303.6025,0.8053,16081379964055265186
control,44,3,27,8000,73,1,0,347,0,0,50,0,0,0,22,22,21,1502.7655,8409.5645,2096.6394,5242.3296,0.7955,14997355007239317536
control,44,4,27,10666,223,1,0,347,0,0,92,0,0,0,42,22,18,1356.7588,13711.7832,5222.9175,7564.4429,0.826,11446073979526470927
control,44,5,27,13333,347,1,0,347,7,0,228,0,0,7,143,16,3,276.5306,20628.1113,11926.4863,8856.3896,0.6897,5790913618017596234
control,44,6,27,16000,1,1,0,347,255,0,350,0,0,248,370,0,0,0,21842.3164,13341.0732,8932.3594,0,4314715689474874712
control,44,7,27,18666,0,1,0,347,256,0,350,0,0,1,1,0,0,0,21842.3164,13341.0732,8932.3594,,6007064711148318563
control,44,8,27,21333,0,1,0,347,256,0,350,0,0,0,0,0,0,0,21842.3164,13341.0732,8932.3594,,8702725125248541034
control,44,9,27,24000,0,1,0,347,256,0,350,0,0,0,0,0,0,0,21842.3164,13341.0732,8932.3594,,12826559735756943041
control,44,10,27,26666,0,1,0,347,256,0,350,0,0,0,0,0,0,0,21842.3164,13341.0732,8932.3594,,5456752390673763747
control,44,11,27,29333,0,1,0,347,256,0,350,0,0,0,0,0,0,0,21842.3164,13341.0732,8932.3594,,8317458104439001514
