schema=1
code_revision=3aa3f1a
scenario_id=p6-defense-calibration-lean
scenario_layout_fingerprint=9308476894680922610
scenario_resource_count=30
first_seed=42
seed_count=80
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=100
FounderProfile=PhysiologyVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-off,193,4806412609386627217,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,221,4157951719959753987,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,228,9427662665385805800,90,0,0.4413,18.9142,0.4076,0.3542,0.5182,0.5443,0.4782,0.4975,0.6635,0.7665,0.8196,0.6540,0.4259,0.5401,0.4778,0.5129
slope-off,229,17166755538874994742,100,0,0.7839,17.2147,0.5838,0.5183,0.4903,0.5296,0.4835,0.4892,0.6014,0.8617,0.3382,0.8849,0.4631,0.4876,0.4807,0.4883
slope-off,238,3372975801723899988,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,243,8423326327609066381,83,0,0.4721,22.3580,0.4627,0.4555,0.5287,0.4448,0.3289,0.5485,0.4941,0.7515,0.6708,0.7541,0.4558,0.5116,0.5298,0.5251
slope-off,262,2509580730817135636,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,283,440870045002254913,72,0,0.4207,3.4079,0.5558,0.4283,0.5267,0.5839,0.4481,0.4609,0.6246,0.6003,0.6267,0.9066,0.3941,0.5017,0.4961,0.5276
slope-off,284,14841037159829614488,100,0,0.8148,1.3415,0.1788,0.4807,0.4701,0.3915,0.5373,0.4559,0.6611,0.7514,0.6679,0.8486,0.4583,0.4495,0.4763,0.5006
slope-off,304,9095830616624049481,100,0,0.7725,11.1985,0.5469,0.4987,0.4024,0.5208,0.4943,0.5263,0.5063,0.8709,0.3599,0.9575,0.4809,0.5257,0.4660,0.4924
slope-off,311,14202930877890725940,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,313,8158966846021237078,100,0,0.7914,11.7425,0.2678,0.4937,0.6985,0.4448,0.6749,0.4642,0.4563,0.6514,0.7465,0.7744,0.4661,0.4874,0.5291,0.4933
slope-off,316,7860272657309128207,87,0,0.4452,21.6223,0.4327,0.4725,0.4645,0.4775,0.5600,0.4745,0.4238,0.6955,0.4729,0.8202,0.4890,0.5051,0.4807,0.4819
slope-off,325,8881825611648193777,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,328,11227449406727244437,4,0,0.0000,22.9165,0.1521,0.5047,0.3862,0.4639,0.4624,0.5316,0.4053,0.7995,0.7131,0.5882,0.4088,0.4436,0.4289,0.4696
slope-off,330,7688281045644669216,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,343,7156982366030619996,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,348,8011899388758065966,86,0,0.1991,8.2350,0.9354,0.5232,0.4507,0.3534,0.5555,0.5137,0.4682,0.8045,0.6113,0.7441,0.4549,0.4914,0.5183,0.5280
slope-off,355,3729188515382756345,100,0,0.8049,0.6543,0.5244,0.6475,0.3015,0.4762,0.4816,0.5132,0.4304,0.6801,0.5934,0.5806,0.4237,0.5080,0.4966,0.5034
slope-off,362,8381600722160903048,21,0,0.0003,6.7340,0.1838,0.4978,0.5325,0.4770,0.5328,0.4709,0.5070,0.7991,0.4785,0.4841,0.4356,0.4708,0.4739,0.5098
slope-off,363,2279535710046808121,100,0,0.8095,12.6643,0.3596,0.3564,0.5726,0.4767,0.5774,0.4506,0.6106,0.7954,0.4829,0.6245,0.4485,0.4722,0.5437,0.5096
slope-off,368,16441916625711657282,99,0,0.8187,3.8692,0.3712,0.4868,0.5499,0.4804,0.4638,0.3872,0.6176,0.7272,0.3556,0.9141,0.5043,0.5216,0.4720,0.5223
slope-off,379,9578443431028565940,100,0,0.7759,0.8335,0.1913,0.5350,0.4665,0.4144,0.5300,0.5745,0.4967,0.6163,0.4451,0.7700,0.4682,0.5058,0.5363,0.4705
slope-off,382,14656519422000809009,100,0,0.8157,16.9241,0.5250,0.4777,0.5584,0.4293,0.5641,0.4535,0.5829,0.7811,0.4739,0.8246,0.4701,0.5034,0.4958,0.4922
slope-off,393,11317509761120902990,100,0,0.7517,2.2946,0.6524,0.4760,0.5600,0.5565,0.4833,0.3055,0.4222,0.7715,0.7867,0.6953,0.4597,0.4543,0.4967,0.5050
slope-off,417,9096296567684676450,100,0,0.7924,2.3651,0.5087,0.4911,0.5464,0.5154,0.5234,0.5904,0.5286,0.8048,0.3529,0.8269,0.4800,0.5234,0.5057,0.5025
slope-off,419,8551459833666027774,100,0,0.7824,0.8621,0.2416,0.5070,0.4389,0.4534,0.5557,0.4449,0.5085,0.6990,0.5543,0.5045,0.4672,0.5048,0.5094,0.5084
slope-off,420,5532552301918548044,100,0,0.7556,0.0000,0.0015,0.5176,0.4592,0.4133,0.6817,0.3675,0.4429,0.6915,0.7025,0.5631,0.4220,0.4712,0.4932,0.4894
slope-off,434,842715914273942194,100,0,0.7491,15.0283,0.5487,0.4661,0.5231,0.5165,0.5748,0.6162,0.5366,0.7217,0.4153,0.6581,0.4547,0.5126,0.4963,0.5226
slope-off,437,3698243194825938433,100,0,0.8245,4.6245,0.7588,0.4767,0.5032,0.4797,0.4330,0.5341,0.5480,0.7454,0.6090,0.7534,0.4613,0.5032,0.5072,0.4874
slope-off,458,7646844670690426857,87,0,0.6650,7.6332,0.3967,0.4897,0.6036,0.4927,0.5314,0.3724,0.5723,0.7770,0.4415,0.7685,0.4628,0.4970,0.4939,0.4946
slope-off,462,9668396710440675334,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,466,6172469937790486771,100,0,0.8068,0.4154,0.1876,0.4121,0.5820,0.3742,0.5620,0.5381,0.5495,0.6843,0.7043,0.7102,0.4670,0.5068,0.4681,0.4942
slope-off,468,9040331520319641409,100,0,0.7692,15.6649,0.5559,0.4884,0.5001,0.5013,0.4801,0.4788,0.5458,0.7441,0.3654,0.8600,0.4531,0.4778,0.4804,0.5128
slope-off,469,14135245204703496436,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,475,10530244203942235534,99,0,0.7970,20.6916,0.5493,0.4283,0.4566,0.4713,0.5838,0.4847,0.3890,0.8877,0.6728,0.8583,0.4673,0.4697,0.5032,0.4917
slope-off,492,8267557797123639992,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,501,7342441498314041013,93,0,0.0686,3.0204,0.2811,0.4737,0.5359,0.4320,0.5698,0.5083,0.4667,0.8051,0.2752,0.7148,0.3919,0.5045,0.4828,0.4974
slope-off,509,115553986334377856,82,0,0.1436,0.8113,0.2525,0.4737,0.6364,0.5775,0.5130,0.5301,0.5611,0.7825,0.4147,0.4304,0.4312,0.5013,0.5023,0.4647
slope-off,517,15930052674041436815,100,0,0.7812,6.5487,0.2815,0.4047,0.4938,0.4518,0.5856,0.5184,0.4708,0.8127,0.6946,0.8623,0.4817,0.5009,0.4985,0.4865
slope-off,520,1600603540419535317,8,0,0.0037,11.0183,0.7848,0.4823,0.4711,0.5056,0.4710,0.4319,0.5263,0.7348,0.3148,0.7694,0.4247,0.4248,0.4692,0.4894
slope-off,524,6025839761680020025,100,0,0.7980,9.2017,0.6571,0.3656,0.4823,0.4626,0.4618,0.5963,0.4318,0.7347,0.5203,0.8295,0.4921,0.4754,0.5117,0.5019
slope-off,531,11344361578584043127,100,0,0.6415,10.3295,0.4903,0.5539,0.5193,0.5567,0.4270,0.5092,0.6205,0.8445,0.4605,0.5638,0.4516,0.4991,0.4958,0.4824
slope-off,541,16711350232593434345,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,543,13302767110876901509,100,0,0.8086,7.3605,0.6323,0.4468,0.4293,0.4503,0.6271,0.4705,0.3760,0.6776,0.2925,0.2596,0.3935,0.5361,0.5147,0.4929
slope-off,548,14050096244257402941,100,0,0.7363,5.0052,0.3905,0.5493,0.5949,0.5269,0.6363,0.4152,0.4984,0.7011,0.6847,0.8623,0.4529,0.5099,0.4942,0.4597
slope-off,554,596033162939704377,100,0,0.7932,10.3426,1.7156,0.4807,0.4805,0.3860,0.4834,0.5517,0.5238,0.8460,0.5031,0.6505,0.4708,0.5293,0.4855,0.5082
slope-off,565,4407514346472253353,99,0,0.7810,0.0000,0.0005,0.5344,0.4758,0.5264,0.4715,0.5236,0.5876,0.7879,0.5394,0.6879,0.4292,0.4753,0.4913,0.5349
slope-off,579,9510730666323904054,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,582,7961246123249962768,96,0,0.5699,17.6368,0.3460,0.5378,0.6249,0.4478,0.5408,0.3698,0.5695,0.6746,0.3397,0.6710,0.4492,0.4710,0.5161,0.5263
slope-off,587,15408554498715299067,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,594,13533138689147221851,100,0,0.8213,5.9256,0.7324,0.5447,0.6269,0.4616,0.5272,0.4389,0.4388,0.7321,0.5980,0.8402,0.4334,0.4866,0.4921,0.5164
slope-off,598,4921808181236523035,100,0,0.7712,7.3684,0.3635,0.4156,0.4929,0.5296,0.5526,0.5257,0.5150,0.7884,0.3295,0.8653,0.4603,0.4844,0.5304,0.4859
slope-off,604,2339694203337283286,98,0,0.8185,0.9159,0.1071,0.3622,0.6227,0.5925,0.4309,0.5015,0.5398,0.8225,0.5553,0.6240,0.4683,0.4828,0.5283,0.5071
slope-off,611,9692073764002978251,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,618,13453470639059488830,100,0,0.7841,2.2309,0.3146,0.4396,0.4119,0.5388,0.4183,0.5713,0.6445,0.9013,0.5190,0.8796,0.4840,0.5059,0.4931,0.5158
slope-on,42,2643390065164789641,99,0,0.8037,5.2233,0.6109,0.4309,0.6348,0.4824,0.4354,0.3921,0.5380,0.7130,0.8382,0.8232,0.4700,0.4572,0.4959,0.5167
slope-on,52,11797106924306445106,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,53,4483477888889431054,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,55,2781806217755695680,99,0,0.8161,7.5571,0.6352,0.4691,0.3367,0.4313,0.6058,0.4616,0.5314,0.8214,0.0785,0.9301,0.4320,0.5200,0.5159,0.5183
slope-on,58,9935301036984053035,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,69,6933134629128532508,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,74,3587929002032180235,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,80,9414122637510221587,88,0,0.3997,4.0700,0.4409,0.5023,0.5497,0.5300,0.7418,0.5882,0.6152,0.8171,0.7332,0.6225,0.4185,0.5031,0.4827,0.5457
slope-on,98,3580363418961359495,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,101,17062524676056643033,100,0,0.6823,0.7825,0.1303,0.5957,0.6061,0.4857,0.6173,0.4436,0.5305,0.7046,0.7045,0.6591,0.4156,0.5009,0.4788,0.4883
slope-on,107,1627183390591890750,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,114,7351697827597645433,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,118,17321917602487115136,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,120,7429164343643879930,100,0,0.7854,2.2551,0.5914,0.3683,0.5488,0.4455,0.5450,0.5254,0.6358,0.9219,0.4867,0.7743,0.4567,0.4392,0.5085,0.4955
slope-on,128,9498611911132555446,100,0,0.7725,8.8643,0.8041,0.4005,0.5035,0.3637,0.5482,0.3374,0.5722,0.7250,0.9260,0.7126,0.3948,0.4966,0.5292,0.5267
slope-on,135,5883799216907903768,1,0,0.0083,1.5298,0.5682,0.3292,0.5813,0.2384,0.5763,0.5733,0.4132,0.7673,0.6122,0.7595,0.5128,0.4063,0.5637,0.4028
slope-on,147,10432121811379925449,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,148,6503680192342999379,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,150,300910314920463916,97,0,0.7306,3.8852,0.3656,0.4806,0.4824,0.5498,0.5930,0.5648,0.3682,0.7503,0.7769,0.4539,0.4473,0.4960,0.4881,0.5021
slope-on,152,8062387050743043868,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,153,8347386281291358705,99,0,0.7934,0.2045,0.0794,0.5375,0.5594,0.3965,0.5129,0.5353,0.5184,0.8042,0.6972,0.8021,0.4420,0.4979,0.4988,0.4838
slope-on,167,2654707516967357307,99,0,0.7450,3.6446,0.2693,0.4161,0.4948,0.3438,0.5897,0.4783,0.6692,0.8314,0.5068,0.7963,0.4288,0.4904,0.5231,0.4852
slope-on,176,253195300192911390,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,187,14755938806219686757,83,0,0.4524,2.4323,0.4359,0.3988,0.4993,0.4515,0.6006,0.4831,0.4944,0.7066,0.4569,0.7610,0.4533,0.5285,0.5713,0.5230
slope-on,193,17498485523958320226,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
