schema=1
code_revision=d99b854
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=false
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,neutral_marker
slope-off,152,17904399973059833825,450,0,0.0781,1.9532,0.3534,0.5066,0.4927,0.4849,0.4564,0.4891,0.5237,0.5171,0.5304,0.5069,0.4914,0.5405,0.4867,0.1790,0.8395,0.4294,0.4318,0.4746
slope-off,153,10976128878591030400,33,0,0.6969,0.7097,0.2083,0.5442,0.4827,0.4651,0.3865,0.5251,0.5087,0.5113,0.5783,0.6026,0.5562,0.4920,0.4267,0.3089,0.9188,0.2666,0.4644,0.5421
slope-off,167,5503647952515579687,48,0,0.6014,3.8659,0.2909,0.5146,0.4611,0.4606,0.4746,0.4791,0.4732,0.4395,0.5072,0.4807,0.5739,0.5233,0.5512,0.1425,0.5645,0.3420,0.8772,0.5305
slope-off,176,11191751076749611586,161,0,0.6904,11.1394,0.1825,0.5277,0.4844,0.5201,0.4809,0.4108,0.4328,0.4596,0.5293,0.5533,0.3090,0.5056,0.4037,0.1706,0.9412,0.2615,0.3611,0.4934
slope-off,187,104588658449687511,42,0,0.7271,0.0204,0.0556,0.4427,0.4690,0.5257,0.6001,0.5757,0.4298,0.5092,0.5756,0.4041,0.5569,0.5118,0.5808,0.0271,0.1966,0.8115,0.7797,0.4338
slope-off,193,2986664848226085932,423,0,0.4817,13.0933,0.4342,0.4765,0.5401,0.5133,0.5050,0.5061,0.5112,0.5579,0.4610,0.4809,0.4636,0.4826,0.4902,0.0800,0.7862,0.4057,0.4644,0.5276
slope-off,221,14994574101721835334,171,0,0.6808,1.7658,0.3603,0.5764,0.5029,0.4907,0.4363,0.4918,0.5040,0.4831,0.5022,0.4544,0.4816,0.4652,0.4686,0.0547,0.3028,0.2441,0.3400,0.5136
slope-off,228,916407738286500485,270,0,0.6674,21.5346,0.3867,0.4619,0.5003,0.5191,0.5097,0.5036,0.5606,0.5128,0.4624,0.4952,0.5095,0.4941,0.5127,0.1130,0.3644,0.2962,0.4659,0.4959
slope-off,229,2294974924500358717,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,238,11123158956733798760,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-off,243,16431183711978069152,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,42,2756935402418582022,4,0,0.7045,11.1735,1.3034,0.4605,0.4326,0.5687,0.3974,0.5786,0.4668,0.5266,0.5577,0.3912,0.5500,0.5011,0.4107,0.2292,0.9367,0.7682,0.4187,0.4684
