arm,seed,sample,sample_count,tick,population,extinct_at_end,at_cap,peak_population,starvation_deaths,dehydration_deaths,age_deaths,health_deaths,predation_deaths,starvation_deaths_interval,total_deaths_interval,plant_patches,seed_eligible_patches,plant_biomass,plant_growth_cumulative,plant_offtake_cumulative,plant_mortality_cumulative,mean_energy_fraction,behavior_hash
graded-seeding,42,1,9,2666,32,1,0,355,0,0,7,0,0,0,7,23,22,1610.2827,2927.3279,467.6041,1281.4469,0.6505,5782621408928730873
graded-seeding,42,2,9,5333,26,1,0,355,0,0,34,0,0,0,27,23,23,1646.1948,5576.3052,1077.9125,3284.2017,0.8006,5671791296449314640
graded-seeding,42,3,9,8000,46,1,0,355,0,0,53,0,0,0,19,24,24,1720.3307,8356.1318,1916.0194,5151.8159,0.7792,17084652000790554414
graded-seeding,42,4,9,10666,137,1,0,355,0,0,75,0,0,0,22,20,17,1247.4199,12201.4395,3934.354,7451.6104,0.7753,14897708523942661998
graded-seeding,42,5,9,13333,355,1,0,355,0,0,134,0,0,0,59,24,13,1038.2856,19766.3242,9892.5938,9267.9639,0.7864,15134384632609797211
graded-seeding,42,6,9,16000,322,1,0,355,105,1,277,1,0,105,250,22,0,14.8604,27040.8652,17353.8691,10104.4834,0.0286,2972956793620291070
graded-seeding,42,7,9,18666,22,1,0,355,353,1,328,3,0,248,301,23,22,1563.8977,31698.6934,18679.4102,11885.6436,0.8203,16910414456672466738
graded-seeding,42,8,9,21333,0,1,0,355,353,1,347,6,0,0,22,23,20,1480.7494,34114.9258,18875.5898,14189.0313,,18293158299079947350
graded-seeding,42,9,9,24000,0,1,0,355,353,1,347,6,0,0,0,22,19,1377.8405,36892.0117,18875.5898,17069.0273,,6553711429649201217
graded-seeding,43,1,9,2666,37,0,0,497,0,0,2,0,0,0,2,20,19,1409.7474,3042.4695,486.5682,1578.1555,0.783,12721138720274724374
graded-seeding,43,2,9,5333,71,0,0,497,0,0,29,0,0,0,27,24,24,1705.2518,6400.9912,1756.5378,3371.2136,0.7963,2576266849539449168
graded-seeding,43,3,9,8000,126,0,0,497,0,0,68,1,0,0,40,21,17,1293.0988,10372.9023,4102.5044,5409.1694,0.7396,303984812431724499
graded-seeding,43,4,9,10666,243,0,0,497,0,0,141,4,0,0,76,23,20,1463.6613,16926.3398,8215.7637,7678.0698,0.8188,756298844522922811
graded-seeding,43,5,9,13333,497,0,0,497,0,0,248,4,0,0,107,20,0,7.6473,26500.0684,17298.4922,9624.9922,0.4953,16745054643248130877
graded-seeding,43,6,9,16000,39,0,0,497,346,0,362,5,0,346,461,24,23,1653.4779,30318.5684,19398.125,9698.5488,0.798,7160461036758354907
graded-seeding,43,7,9,18666,7,0,0,497,346,0,399,5,0,0,37,22,18,1371.6294,32883.207,19804.5566,12135.958,0.8573,2595996802150791175
graded-seeding,43,8,9,21333,12,0,0,497,346,0,404,5,0,0,5,23,21,1556.3749,35730.8047,20027.9492,14576.166,0.8079,6896900706263233887
graded-seeding,43,9,9,24000,40,0,0,497,346,0,410,5,0,0,6,24,22,1572.1648,38459.0195,20584.8633,16732.7168,0.819,12423650918182058780
graded-seeding,44,1,9,2666,35,0,0,405,0,0,4,0,0,0,4,17,16,1145.2468,2681.4905,478.2767,1489.9653,0.7614,4724390661766093037
graded-seeding,44,2,9,5333,54,0,0,405,0,0,29,0,0,0,25,23,21,1564.7958,5883.9863,1400.3018,3350.8962,0.8154,4844446336487111945
graded-seeding,44,3,9,8000,137,0,0,405,0,0,57,0,0,0,28,22,20,1442.4833,9796.2783,3588.9856,5196.9854,0.7834,13797400679696921953
graded-seeding,44,4,9,10666,334,0,0,405,0,0,121,0,0,0,64,24,13,933.8495,16695.002,9155.9648,7037.498,0.6659,6761412083156952599
graded-seeding,44,5,9,13333,219,0,0,405,117,0,253,0,0,117,249,24,1,74.1641,22065.4824,14876.2637,7548.8433,0.1032,15727940888826554202
